"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Clarisimo, Ciudad de Buenos Aires","lunes",6,0,-34.590649,-58.385016,2021-03-27
"2","Clarisimo, Ciudad de Buenos Aires","lunes",7,0,-34.590649,-58.385016,2021-03-27
"3","Clarisimo, Ciudad de Buenos Aires","lunes",8,3.75,-34.590649,-58.385016,2021-03-27
"4","Clarisimo, Ciudad de Buenos Aires","lunes",9,16.5,-34.590649,-58.385016,2021-03-27
"5","Clarisimo, Ciudad de Buenos Aires","lunes",10,21,-34.590649,-58.385016,2021-03-27
"6","Clarisimo, Ciudad de Buenos Aires","lunes",11,16.5,-34.590649,-58.385016,2021-03-27
"7","Clarisimo, Ciudad de Buenos Aires","lunes",12,40.5,-34.590649,-58.385016,2021-03-27
"8","Clarisimo, Ciudad de Buenos Aires","lunes",13,61.5,-34.590649,-58.385016,2021-03-27
"9","Clarisimo, Ciudad de Buenos Aires","lunes",14,42.75,-34.590649,-58.385016,2021-03-27
"10","Clarisimo, Ciudad de Buenos Aires","lunes",15,27,-34.590649,-58.385016,2021-03-27
"11","Clarisimo, Ciudad de Buenos Aires","lunes",16,28.5,-34.590649,-58.385016,2021-03-27
"12","Clarisimo, Ciudad de Buenos Aires","lunes",17,31.5,-34.590649,-58.385016,2021-03-27
"13","Clarisimo, Ciudad de Buenos Aires","lunes",18,31.5,-34.590649,-58.385016,2021-03-27
"14","Clarisimo, Ciudad de Buenos Aires","lunes",19,27,-34.590649,-58.385016,2021-03-27
"15","Clarisimo, Ciudad de Buenos Aires","lunes",20,21.75,-34.590649,-58.385016,2021-03-27
"16","Clarisimo, Ciudad de Buenos Aires","lunes",21,16.5,-34.590649,-58.385016,2021-03-27
"17","Clarisimo, Ciudad de Buenos Aires","lunes",22,11.25,-34.590649,-58.385016,2021-03-27
"18","Clarisimo, Ciudad de Buenos Aires","lunes",23,6,-34.590649,-58.385016,2021-03-27
"19","Clarisimo, Ciudad de Buenos Aires","martes",6,0,-34.590649,-58.385016,2021-03-27
"20","Clarisimo, Ciudad de Buenos Aires","martes",7,0,-34.590649,-58.385016,2021-03-27
"21","Clarisimo, Ciudad de Buenos Aires","martes",8,14.25,-34.590649,-58.385016,2021-03-27
