"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Club Sueco, Ciudad de Buenos Aires","viernes",6,0,-34.6242672,-58.3663944,2021-03-26
"2","Club Sueco, Ciudad de Buenos Aires","viernes",7,0,-34.6242672,-58.3663944,2021-03-26
"3","Club Sueco, Ciudad de Buenos Aires","viernes",8,0,-34.6242672,-58.3663944,2021-03-26
"4","Club Sueco, Ciudad de Buenos Aires","viernes",9,0,-34.6242672,-58.3663944,2021-03-26
"5","Club Sueco, Ciudad de Buenos Aires","viernes",10,0,-34.6242672,-58.3663944,2021-03-26
"6","Club Sueco, Ciudad de Buenos Aires","viernes",11,0,-34.6242672,-58.3663944,2021-03-26
"7","Club Sueco, Ciudad de Buenos Aires","viernes",12,10.5,-34.6242672,-58.3663944,2021-03-26
"8","Club Sueco, Ciudad de Buenos Aires","viernes",13,11.25,-34.6242672,-58.3663944,2021-03-26
"9","Club Sueco, Ciudad de Buenos Aires","viernes",14,10.5,-34.6242672,-58.3663944,2021-03-26
"10","Club Sueco, Ciudad de Buenos Aires","viernes",15,0,-34.6242672,-58.3663944,2021-03-26
"11","Club Sueco, Ciudad de Buenos Aires","viernes",16,0,-34.6242672,-58.3663944,2021-03-26
"12","Club Sueco, Ciudad de Buenos Aires","viernes",17,0,-34.6242672,-58.3663944,2021-03-26
"13","Club Sueco, Ciudad de Buenos Aires","viernes",18,0,-34.6242672,-58.3663944,2021-03-26
"14","Club Sueco, Ciudad de Buenos Aires","viernes",19,0,-34.6242672,-58.3663944,2021-03-26
"15","Club Sueco, Ciudad de Buenos Aires","viernes",20,18,-34.6242672,-58.3663944,2021-03-26
"16","Club Sueco, Ciudad de Buenos Aires","viernes",21,28.5,-34.6242672,-58.3663944,2021-03-26
"17","Club Sueco, Ciudad de Buenos Aires","viernes",22,32.25,-34.6242672,-58.3663944,2021-03-26
"18","Club Sueco, Ciudad de Buenos Aires","viernes",23,0,-34.6242672,-58.3663944,2021-03-26
"19","Club Sueco, Ciudad de Buenos Aires","sabado",6,0,-34.6242672,-58.3663944,2021-03-26
"20","Club Sueco, Ciudad de Buenos Aires","sabado",7,0,-34.6242672,-58.3663944,2021-03-26
"21","Club Sueco, Ciudad de Buenos Aires","sabado",8,0,-34.6242672,-58.3663944,2021-03-26
"22","Club Sueco, Ciudad de Buenos Aires","sabado",9,0,-34.6242672,-58.3663944,2021-03-26
"23","Club Sueco, Ciudad de Buenos Aires","sabado",10,0,-34.6242672,-58.3663944,2021-03-26
"24","Club Sueco, Ciudad de Buenos Aires","sabado",11,0,-34.6242672,-58.3663944,2021-03-26
"25","Club Sueco, Ciudad de Buenos Aires","sabado",12,29.25,-34.6242672,-58.3663944,2021-03-26
"26","Club Sueco, Ciudad de Buenos Aires","sabado",13,59.25,-34.6242672,-58.3663944,2021-03-26
"27","Club Sueco, Ciudad de Buenos Aires","sabado",14,75,-34.6242672,-58.3663944,2021-03-26
"28","Club Sueco, Ciudad de Buenos Aires","sabado",15,0,-34.6242672,-58.3663944,2021-03-26
"29","Club Sueco, Ciudad de Buenos Aires","sabado",16,0,-34.6242672,-58.3663944,2021-03-26
"30","Club Sueco, Ciudad de Buenos Aires","sabado",17,0,-34.6242672,-58.3663944,2021-03-26
"31","Club Sueco, Ciudad de Buenos Aires","sabado",18,0,-34.6242672,-58.3663944,2021-03-26
"32","Club Sueco, Ciudad de Buenos Aires","sabado",19,0,-34.6242672,-58.3663944,2021-03-26
"33","Club Sueco, Ciudad de Buenos Aires","sabado",20,36,-34.6242672,-58.3663944,2021-03-26
"34","Club Sueco, Ciudad de Buenos Aires","sabado",21,58.5,-34.6242672,-58.3663944,2021-03-26
"35","Club Sueco, Ciudad de Buenos Aires","sabado",22,67.5,-34.6242672,-58.3663944,2021-03-26
"36","Club Sueco, Ciudad de Buenos Aires","sabado",23,0,-34.6242672,-58.3663944,2021-03-26
"37","Club Sueco, Ciudad de Buenos Aires","domingo",6,0,-34.6242672,-58.3663944,2021-03-26
"38","Club Sueco, Ciudad de Buenos Aires","domingo",7,0,-34.6242672,-58.3663944,2021-03-26
"39","Club Sueco, Ciudad de Buenos Aires","domingo",8,0,-34.6242672,-58.3663944,2021-03-26
"40","Club Sueco, Ciudad de Buenos Aires","domingo",9,0,-34.6242672,-58.3663944,2021-03-26
"41","Club Sueco, Ciudad de Buenos Aires","domingo",10,0,-34.6242672,-58.3663944,2021-03-26
"42","Club Sueco, Ciudad de Buenos Aires","domingo",11,0,-34.6242672,-58.3663944,2021-03-26
"43","Club Sueco, Ciudad de Buenos Aires","domingo",12,27.75,-34.6242672,-58.3663944,2021-03-26
"44","Club Sueco, Ciudad de Buenos Aires","domingo",13,43.5,-34.6242672,-58.3663944,2021-03-26
"45","Club Sueco, Ciudad de Buenos Aires","domingo",14,45,-34.6242672,-58.3663944,2021-03-26
"46","Club Sueco, Ciudad de Buenos Aires","domingo",15,0,-34.6242672,-58.3663944,2021-03-26
"47","Club Sueco, Ciudad de Buenos Aires","domingo",16,0,-34.6242672,-58.3663944,2021-03-26
"48","Club Sueco, Ciudad de Buenos Aires","domingo",17,0,-34.6242672,-58.3663944,2021-03-26
"49","Club Sueco, Ciudad de Buenos Aires","domingo",18,0,-34.6242672,-58.3663944,2021-03-26
"50","Club Sueco, Ciudad de Buenos Aires","domingo",19,0,-34.6242672,-58.3663944,2021-03-26
"51","Club Sueco, Ciudad de Buenos Aires","domingo",20,0,-34.6242672,-58.3663944,2021-03-26
"52","Club Sueco, Ciudad de Buenos Aires","domingo",21,0,-34.6242672,-58.3663944,2021-03-26
"53","Club Sueco, Ciudad de Buenos Aires","domingo",22,0,-34.6242672,-58.3663944,2021-03-26
"54","Club Sueco, Ciudad de Buenos Aires","domingo",23,0,-34.6242672,-58.3663944,2021-03-26
