"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Condor Clift, Ciudad de Buenos Aires","lunes",6,0,-34.6495694,-58.7917819,2021-03-29
"2","Condor Clift, Ciudad de Buenos Aires","lunes",7,18.75,-34.6495694,-58.7917819,2021-03-29
"3","Condor Clift, Ciudad de Buenos Aires","lunes",8,33,-34.6495694,-58.7917819,2021-03-29
"4","Condor Clift, Ciudad de Buenos Aires","lunes",9,42,-34.6495694,-58.7917819,2021-03-29
"5","Condor Clift, Ciudad de Buenos Aires","lunes",10,45.75,-34.6495694,-58.7917819,2021-03-29
"6","Condor Clift, Ciudad de Buenos Aires","lunes",11,49.5,-34.6495694,-58.7917819,2021-03-29
"7","Condor Clift, Ciudad de Buenos Aires","lunes",12,53.25,-34.6495694,-58.7917819,2021-03-29
"8","Condor Clift, Ciudad de Buenos Aires","lunes",13,54,-34.6495694,-58.7917819,2021-03-29
"9","Condor Clift, Ciudad de Buenos Aires","lunes",14,49.5,-34.6495694,-58.7917819,2021-03-29
"10","Condor Clift, Ciudad de Buenos Aires","lunes",15,42,-34.6495694,-58.7917819,2021-03-29
"11","Condor Clift, Ciudad de Buenos Aires","lunes",16,34.5,-34.6495694,-58.7917819,2021-03-29
"12","Condor Clift, Ciudad de Buenos Aires","lunes",17,30.75,-34.6495694,-58.7917819,2021-03-29
"13","Condor Clift, Ciudad de Buenos Aires","lunes",18,29.25,-34.6495694,-58.7917819,2021-03-29
"14","Condor Clift, Ciudad de Buenos Aires","lunes",19,27.75,-34.6495694,-58.7917819,2021-03-29
"15","Condor Clift, Ciudad de Buenos Aires","lunes",20,0,-34.6495694,-58.7917819,2021-03-29
"16","Condor Clift, Ciudad de Buenos Aires","lunes",21,0,-34.6495694,-58.7917819,2021-03-29
"17","Condor Clift, Ciudad de Buenos Aires","lunes",22,0,-34.6495694,-58.7917819,2021-03-29
"18","Condor Clift, Ciudad de Buenos Aires","lunes",23,0,-34.6495694,-58.7917819,2021-03-29
"19","Condor Clift, Ciudad de Buenos Aires","martes",6,0,-34.6495694,-58.7917819,2021-03-29
"20","Condor Clift, Ciudad de Buenos Aires","martes",7,15,-34.6495694,-58.7917819,2021-03-29
"21","Condor Clift, Ciudad de Buenos Aires","martes",8,31.5,-34.6495694,-58.7917819,2021-03-29
"22","Condor Clift, Ciudad de Buenos Aires","martes",9,43.5,-34.6495694,-58.7917819,2021-03-29
"23","Condor Clift, Ciudad de Buenos Aires","martes",10,46.5,-34.6495694,-58.7917819,2021-03-29
"24","Condor Clift, Ciudad de Buenos Aires","martes",11,46.5,-34.6495694,-58.7917819,2021-03-29
"25","Condor Clift, Ciudad de Buenos Aires","martes",12,49.5,-34.6495694,-58.7917819,2021-03-29
"26","Condor Clift, Ciudad de Buenos Aires","martes",13,54,-34.6495694,-58.7917819,2021-03-29
"27","Condor Clift, Ciudad de Buenos Aires","martes",14,51.75,-34.6495694,-58.7917819,2021-03-29
"28","Condor Clift, Ciudad de Buenos Aires","martes",15,43.5,-34.6495694,-58.7917819,2021-03-29
