"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",6,0,-34.562149,-58.4562399,2021-03-27
"2","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",7,3,-34.562149,-58.4562399,2021-03-27
"3","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",8,9.75,-34.562149,-58.4562399,2021-03-27
"4","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",9,18,-34.562149,-58.4562399,2021-03-27
"5","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",10,24.75,-34.562149,-58.4562399,2021-03-27
"6","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",11,27.75,-34.562149,-58.4562399,2021-03-27
"7","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",12,26.25,-34.562149,-58.4562399,2021-03-27
"8","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",13,20.25,-34.562149,-58.4562399,2021-03-27
"9","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",14,13.5,-34.562149,-58.4562399,2021-03-27
"10","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",15,12,-34.562149,-58.4562399,2021-03-27
"11","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",16,15,-34.562149,-58.4562399,2021-03-27
"12","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",17,16.5,-34.562149,-58.4562399,2021-03-27
"13","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",18,13.5,-34.562149,-58.4562399,2021-03-27
"14","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",19,6.75,-34.562149,-58.4562399,2021-03-27
"15","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",20,0,-34.562149,-58.4562399,2021-03-27
"16","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",21,0,-34.562149,-58.4562399,2021-03-27
"17","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",22,0,-34.562149,-58.4562399,2021-03-27
"18","Confiteria Antigua Belgrano, Ciudad de Buenos Aires","lunes",23,0,-34.562149,-58.4562399,2021-03-27
