"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",6,0,-34.62516,-58.5129208,2021-03-29
"2","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",7,0,-34.62516,-58.5129208,2021-03-29
"3","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",8,32.25,-34.62516,-58.5129208,2021-03-29
"4","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",9,45,-34.62516,-58.5129208,2021-03-29
"5","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",10,39,-34.62516,-58.5129208,2021-03-29
"6","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",11,31.5,-34.62516,-58.5129208,2021-03-29
"7","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",12,33,-34.62516,-58.5129208,2021-03-29
"8","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",13,36,-34.62516,-58.5129208,2021-03-29
"9","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",14,33.75,-34.62516,-58.5129208,2021-03-29
"10","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",15,30.75,-34.62516,-58.5129208,2021-03-29
"11","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",16,27.75,-34.62516,-58.5129208,2021-03-29
"12","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",17,24.75,-34.62516,-58.5129208,2021-03-29
"13","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",18,22.5,-34.62516,-58.5129208,2021-03-29
"14","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",19,19.5,-34.62516,-58.5129208,2021-03-29
"15","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",20,0,-34.62516,-58.5129208,2021-03-29
"16","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",21,0,-34.62516,-58.5129208,2021-03-29
"17","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",22,0,-34.62516,-58.5129208,2021-03-29
"18","Confiteria La Renaciente, Ciudad de Buenos Aires","lunes",23,0,-34.62516,-58.5129208,2021-03-29
"19","Confiteria La Renaciente, Ciudad de Buenos Aires","martes",6,0,-34.62516,-58.5129208,2021-03-29
"20","Confiteria La Renaciente, Ciudad de Buenos Aires","martes",7,0,-34.62516,-58.5129208,2021-03-29
"21","Confiteria La Renaciente, Ciudad de Buenos Aires","martes",8,32.25,-34.62516,-58.5129208,2021-03-29
"22","Confiteria La Renaciente, Ciudad de Buenos Aires","martes",9,41.25,-34.62516,-58.5129208,2021-03-29
"23","Confiteria La Renaciente, Ciudad de Buenos Aires","martes",10,45,-34.62516,-58.5129208,2021-03-29
"24","Confiteria La Renaciente, Ciudad de Buenos Aires","martes",11,47.25,-34.62516,-58.5129208,2021-03-29
"25","Confiteria La Renaciente, Ciudad de Buenos Aires","martes",12,49.5,-34.62516,-58.5129208,2021-03-29
"26","Confiteria La Renaciente, Ciudad de Buenos Aires","martes",13,49.5,-34.62516,-58.5129208,2021-03-29
