"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Confiteria Norte, Ciudad de Buenos Aires","lunes",6,0,-34.5922172,-58.3891917,2021-03-27
"2","Confiteria Norte, Ciudad de Buenos Aires","lunes",7,12.75,-34.5922172,-58.3891917,2021-03-27
"3","Confiteria Norte, Ciudad de Buenos Aires","lunes",8,24.75,-34.5922172,-58.3891917,2021-03-27
"4","Confiteria Norte, Ciudad de Buenos Aires","lunes",9,24,-34.5922172,-58.3891917,2021-03-27
"5","Confiteria Norte, Ciudad de Buenos Aires","lunes",10,24.75,-34.5922172,-58.3891917,2021-03-27
"6","Confiteria Norte, Ciudad de Buenos Aires","lunes",11,42.75,-34.5922172,-58.3891917,2021-03-27
"7","Confiteria Norte, Ciudad de Buenos Aires","lunes",12,58.5,-34.5922172,-58.3891917,2021-03-27
"8","Confiteria Norte, Ciudad de Buenos Aires","lunes",13,58.5,-34.5922172,-58.3891917,2021-03-27
"9","Confiteria Norte, Ciudad de Buenos Aires","lunes",14,46.5,-34.5922172,-58.3891917,2021-03-27
"10","Confiteria Norte, Ciudad de Buenos Aires","lunes",15,36,-34.5922172,-58.3891917,2021-03-27
"11","Confiteria Norte, Ciudad de Buenos Aires","lunes",16,34.5,-34.5922172,-58.3891917,2021-03-27
"12","Confiteria Norte, Ciudad de Buenos Aires","lunes",17,33,-34.5922172,-58.3891917,2021-03-27
"13","Confiteria Norte, Ciudad de Buenos Aires","lunes",18,24.75,-34.5922172,-58.3891917,2021-03-27
"14","Confiteria Norte, Ciudad de Buenos Aires","lunes",19,12.75,-34.5922172,-58.3891917,2021-03-27
"15","Confiteria Norte, Ciudad de Buenos Aires","lunes",20,0,-34.5922172,-58.3891917,2021-03-27
"16","Confiteria Norte, Ciudad de Buenos Aires","lunes",21,0,-34.5922172,-58.3891917,2021-03-27
"17","Confiteria Norte, Ciudad de Buenos Aires","lunes",22,0,-34.5922172,-58.3891917,2021-03-27
"18","Confiteria Norte, Ciudad de Buenos Aires","lunes",23,0,-34.5922172,-58.3891917,2021-03-27
"19","Confiteria Norte, Ciudad de Buenos Aires","martes",6,0,-34.5922172,-58.3891917,2021-03-27
"20","Confiteria Norte, Ciudad de Buenos Aires","martes",7,12,-34.5922172,-58.3891917,2021-03-27
"21","Confiteria Norte, Ciudad de Buenos Aires","martes",8,22.5,-34.5922172,-58.3891917,2021-03-27
"22","Confiteria Norte, Ciudad de Buenos Aires","martes",9,34.5,-34.5922172,-58.3891917,2021-03-27
"23","Confiteria Norte, Ciudad de Buenos Aires","martes",10,42.75,-34.5922172,-58.3891917,2021-03-27
"24","Confiteria Norte, Ciudad de Buenos Aires","martes",11,45,-34.5922172,-58.3891917,2021-03-27
"25","Confiteria Norte, Ciudad de Buenos Aires","martes",12,42.75,-34.5922172,-58.3891917,2021-03-27
"26","Confiteria Norte, Ciudad de Buenos Aires","martes",13,38.25,-34.5922172,-58.3891917,2021-03-27
"27","Confiteria Norte, Ciudad de Buenos Aires","martes",14,33,-34.5922172,-58.3891917,2021-03-27
"28","Confiteria Norte, Ciudad de Buenos Aires","martes",15,31.5,-34.5922172,-58.3891917,2021-03-27
"29","Confiteria Norte, Ciudad de Buenos Aires","martes",16,36,-34.5922172,-58.3891917,2021-03-27
"30","Confiteria Norte, Ciudad de Buenos Aires","martes",17,38.25,-34.5922172,-58.3891917,2021-03-27
"31","Confiteria Norte, Ciudad de Buenos Aires","martes",18,31.5,-34.5922172,-58.3891917,2021-03-27
"32","Confiteria Norte, Ciudad de Buenos Aires","martes",19,15.75,-34.5922172,-58.3891917,2021-03-27
"33","Confiteria Norte, Ciudad de Buenos Aires","martes",20,0,-34.5922172,-58.3891917,2021-03-27
"34","Confiteria Norte, Ciudad de Buenos Aires","martes",21,0,-34.5922172,-58.3891917,2021-03-27
"35","Confiteria Norte, Ciudad de Buenos Aires","martes",22,0,-34.5922172,-58.3891917,2021-03-27
"36","Confiteria Norte, Ciudad de Buenos Aires","martes",23,0,-34.5922172,-58.3891917,2021-03-27
"37","Confiteria Norte, Ciudad de Buenos Aires","miercoles",6,0,-34.5922172,-58.3891917,2021-03-27
"38","Confiteria Norte, Ciudad de Buenos Aires","miercoles",7,10.5,-34.5922172,-58.3891917,2021-03-27
"39","Confiteria Norte, Ciudad de Buenos Aires","miercoles",8,19.5,-34.5922172,-58.3891917,2021-03-27
"40","Confiteria Norte, Ciudad de Buenos Aires","miercoles",9,33,-34.5922172,-58.3891917,2021-03-27
"41","Confiteria Norte, Ciudad de Buenos Aires","miercoles",10,46.5,-34.5922172,-58.3891917,2021-03-27
"42","Confiteria Norte, Ciudad de Buenos Aires","miercoles",11,54.75,-34.5922172,-58.3891917,2021-03-27
"43","Confiteria Norte, Ciudad de Buenos Aires","miercoles",12,53.25,-34.5922172,-58.3891917,2021-03-27
"44","Confiteria Norte, Ciudad de Buenos Aires","miercoles",13,43.5,-34.5922172,-58.3891917,2021-03-27
"45","Confiteria Norte, Ciudad de Buenos Aires","miercoles",14,34.5,-34.5922172,-58.3891917,2021-03-27
"46","Confiteria Norte, Ciudad de Buenos Aires","miercoles",15,30.75,-34.5922172,-58.3891917,2021-03-27
"47","Confiteria Norte, Ciudad de Buenos Aires","miercoles",16,33,-34.5922172,-58.3891917,2021-03-27
"48","Confiteria Norte, Ciudad de Buenos Aires","miercoles",17,34.5,-34.5922172,-58.3891917,2021-03-27
"49","Confiteria Norte, Ciudad de Buenos Aires","miercoles",18,29.25,-34.5922172,-58.3891917,2021-03-27
"50","Confiteria Norte, Ciudad de Buenos Aires","miercoles",19,18.75,-34.5922172,-58.3891917,2021-03-27
"51","Confiteria Norte, Ciudad de Buenos Aires","miercoles",20,0,-34.5922172,-58.3891917,2021-03-27
"52","Confiteria Norte, Ciudad de Buenos Aires","miercoles",21,0,-34.5922172,-58.3891917,2021-03-27
"53","Confiteria Norte, Ciudad de Buenos Aires","miercoles",22,0,-34.5922172,-58.3891917,2021-03-27
"54","Confiteria Norte, Ciudad de Buenos Aires","miercoles",23,0,-34.5922172,-58.3891917,2021-03-27
"55","Confiteria Norte, Ciudad de Buenos Aires","jueves",6,0,-34.5922172,-58.3891917,2021-03-27
"56","Confiteria Norte, Ciudad de Buenos Aires","jueves",7,19.5,-34.5922172,-58.3891917,2021-03-27
"57","Confiteria Norte, Ciudad de Buenos Aires","jueves",8,26.25,-34.5922172,-58.3891917,2021-03-27
"58","Confiteria Norte, Ciudad de Buenos Aires","jueves",9,34.5,-34.5922172,-58.3891917,2021-03-27
"59","Confiteria Norte, Ciudad de Buenos Aires","jueves",10,42.75,-34.5922172,-58.3891917,2021-03-27
"60","Confiteria Norte, Ciudad de Buenos Aires","jueves",11,48,-34.5922172,-58.3891917,2021-03-27
"61","Confiteria Norte, Ciudad de Buenos Aires","jueves",12,51.75,-34.5922172,-58.3891917,2021-03-27
"62","Confiteria Norte, Ciudad de Buenos Aires","jueves",13,51.75,-34.5922172,-58.3891917,2021-03-27
"63","Confiteria Norte, Ciudad de Buenos Aires","jueves",14,51.75,-34.5922172,-58.3891917,2021-03-27
