"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Confitería La Exposición, Ciudad de Buenos Aires","lunes",6,0,-34.5930354,-58.3843084,2021-03-27
"2","Confitería La Exposición, Ciudad de Buenos Aires","lunes",7,14.25,-34.5930354,-58.3843084,2021-03-27
"3","Confitería La Exposición, Ciudad de Buenos Aires","lunes",8,28.5,-34.5930354,-58.3843084,2021-03-27
"4","Confitería La Exposición, Ciudad de Buenos Aires","lunes",9,44.25,-34.5930354,-58.3843084,2021-03-27
"5","Confitería La Exposición, Ciudad de Buenos Aires","lunes",10,57,-34.5930354,-58.3843084,2021-03-27
"6","Confitería La Exposición, Ciudad de Buenos Aires","lunes",11,63.75,-34.5930354,-58.3843084,2021-03-27
"7","Confitería La Exposición, Ciudad de Buenos Aires","lunes",12,61.5,-34.5930354,-58.3843084,2021-03-27
"8","Confitería La Exposición, Ciudad de Buenos Aires","lunes",13,54,-34.5930354,-58.3843084,2021-03-27
"9","Confitería La Exposición, Ciudad de Buenos Aires","lunes",14,43.5,-34.5930354,-58.3843084,2021-03-27
"10","Confitería La Exposición, Ciudad de Buenos Aires","lunes",15,38.25,-34.5930354,-58.3843084,2021-03-27
"11","Confitería La Exposición, Ciudad de Buenos Aires","lunes",16,39,-34.5930354,-58.3843084,2021-03-27
"12","Confitería La Exposición, Ciudad de Buenos Aires","lunes",17,39,-34.5930354,-58.3843084,2021-03-27
"13","Confitería La Exposición, Ciudad de Buenos Aires","lunes",18,31.5,-34.5930354,-58.3843084,2021-03-27
"14","Confitería La Exposición, Ciudad de Buenos Aires","lunes",19,16.5,-34.5930354,-58.3843084,2021-03-27
"15","Confitería La Exposición, Ciudad de Buenos Aires","lunes",20,3,-34.5930354,-58.3843084,2021-03-27
"16","Confitería La Exposición, Ciudad de Buenos Aires","lunes",21,0,-34.5930354,-58.3843084,2021-03-27
"17","Confitería La Exposición, Ciudad de Buenos Aires","lunes",22,0,-34.5930354,-58.3843084,2021-03-27
"18","Confitería La Exposición, Ciudad de Buenos Aires","lunes",23,0,-34.5930354,-58.3843084,2021-03-27
"19","Confitería La Exposición, Ciudad de Buenos Aires","martes",6,0,-34.5930354,-58.3843084,2021-03-27
"20","Confitería La Exposición, Ciudad de Buenos Aires","martes",7,12,-34.5930354,-58.3843084,2021-03-27
"21","Confitería La Exposición, Ciudad de Buenos Aires","martes",8,29.25,-34.5930354,-58.3843084,2021-03-27
"22","Confitería La Exposición, Ciudad de Buenos Aires","martes",9,48,-34.5930354,-58.3843084,2021-03-27
"23","Confitería La Exposición, Ciudad de Buenos Aires","martes",10,65.25,-34.5930354,-58.3843084,2021-03-27
"24","Confitería La Exposición, Ciudad de Buenos Aires","martes",11,75,-34.5930354,-58.3843084,2021-03-27
"25","Confitería La Exposición, Ciudad de Buenos Aires","martes",12,72.75,-34.5930354,-58.3843084,2021-03-27
"26","Confitería La Exposición, Ciudad de Buenos Aires","martes",13,61.5,-34.5930354,-58.3843084,2021-03-27
"27","Confitería La Exposición, Ciudad de Buenos Aires","martes",14,48,-34.5930354,-58.3843084,2021-03-27
"28","Confitería La Exposición, Ciudad de Buenos Aires","martes",15,40.5,-34.5930354,-58.3843084,2021-03-27
"29","Confitería La Exposición, Ciudad de Buenos Aires","martes",16,42.75,-34.5930354,-58.3843084,2021-03-27
"30","Confitería La Exposición, Ciudad de Buenos Aires","martes",17,48,-34.5930354,-58.3843084,2021-03-27
"31","Confitería La Exposición, Ciudad de Buenos Aires","martes",18,44.25,-34.5930354,-58.3843084,2021-03-27
"32","Confitería La Exposición, Ciudad de Buenos Aires","martes",19,28.5,-34.5930354,-58.3843084,2021-03-27
"33","Confitería La Exposición, Ciudad de Buenos Aires","martes",20,9.75,-34.5930354,-58.3843084,2021-03-27
"34","Confitería La Exposición, Ciudad de Buenos Aires","martes",21,0,-34.5930354,-58.3843084,2021-03-27
"35","Confitería La Exposición, Ciudad de Buenos Aires","martes",22,0,-34.5930354,-58.3843084,2021-03-27
"36","Confitería La Exposición, Ciudad de Buenos Aires","martes",23,0,-34.5930354,-58.3843084,2021-03-27
