"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Cote Cafe, Ciudad de Buenos Aires","lunes",6,0,-34.5598002,-58.4433774,2021-03-27
"2","Cote Cafe, Ciudad de Buenos Aires","lunes",7,0,-34.5598002,-58.4433774,2021-03-27
"3","Cote Cafe, Ciudad de Buenos Aires","lunes",8,0.75,-34.5598002,-58.4433774,2021-03-27
"4","Cote Cafe, Ciudad de Buenos Aires","lunes",9,0.75,-34.5598002,-58.4433774,2021-03-27
"5","Cote Cafe, Ciudad de Buenos Aires","lunes",10,9,-34.5598002,-58.4433774,2021-03-27
"6","Cote Cafe, Ciudad de Buenos Aires","lunes",11,20.25,-34.5598002,-58.4433774,2021-03-27
"7","Cote Cafe, Ciudad de Buenos Aires","lunes",12,31.5,-34.5598002,-58.4433774,2021-03-27
"8","Cote Cafe, Ciudad de Buenos Aires","lunes",13,38.25,-34.5598002,-58.4433774,2021-03-27
"9","Cote Cafe, Ciudad de Buenos Aires","lunes",14,40.5,-34.5598002,-58.4433774,2021-03-27
"10","Cote Cafe, Ciudad de Buenos Aires","lunes",15,39,-34.5598002,-58.4433774,2021-03-27
"11","Cote Cafe, Ciudad de Buenos Aires","lunes",16,36.75,-34.5598002,-58.4433774,2021-03-27
"12","Cote Cafe, Ciudad de Buenos Aires","lunes",17,35.25,-34.5598002,-58.4433774,2021-03-27
"13","Cote Cafe, Ciudad de Buenos Aires","lunes",18,33.75,-34.5598002,-58.4433774,2021-03-27
"14","Cote Cafe, Ciudad de Buenos Aires","lunes",19,32.25,-34.5598002,-58.4433774,2021-03-27
"15","Cote Cafe, Ciudad de Buenos Aires","lunes",20,28.5,-34.5598002,-58.4433774,2021-03-27
"16","Cote Cafe, Ciudad de Buenos Aires","lunes",21,24,-34.5598002,-58.4433774,2021-03-27
"17","Cote Cafe, Ciudad de Buenos Aires","lunes",22,17.25,-34.5598002,-58.4433774,2021-03-27
"18","Cote Cafe, Ciudad de Buenos Aires","lunes",23,9.75,-34.5598002,-58.4433774,2021-03-27
"19","Cote Cafe, Ciudad de Buenos Aires","martes",6,0,-34.5598002,-58.4433774,2021-03-27
"20","Cote Cafe, Ciudad de Buenos Aires","martes",7,0,-34.5598002,-58.4433774,2021-03-27
"21","Cote Cafe, Ciudad de Buenos Aires","martes",8,1.5,-34.5598002,-58.4433774,2021-03-27
