"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Crtti, Ciudad de Buenos Aires","martes",6,0,-34.578538,-58.492726,2021-03-29
"2","Crtti, Ciudad de Buenos Aires","martes",7,0,-34.578538,-58.492726,2021-03-29
"3","Crtti, Ciudad de Buenos Aires","martes",8,0,-34.578538,-58.492726,2021-03-29
"4","Crtti, Ciudad de Buenos Aires","martes",9,0,-34.578538,-58.492726,2021-03-29
"5","Crtti, Ciudad de Buenos Aires","martes",10,0,-34.578538,-58.492726,2021-03-29
"6","Crtti, Ciudad de Buenos Aires","martes",11,0,-34.578538,-58.492726,2021-03-29
"7","Crtti, Ciudad de Buenos Aires","martes",12,0,-34.578538,-58.492726,2021-03-29
"8","Crtti, Ciudad de Buenos Aires","martes",13,0,-34.578538,-58.492726,2021-03-29
"9","Crtti, Ciudad de Buenos Aires","martes",14,0,-34.578538,-58.492726,2021-03-29
"10","Crtti, Ciudad de Buenos Aires","martes",15,0,-34.578538,-58.492726,2021-03-29
"11","Crtti, Ciudad de Buenos Aires","martes",16,0,-34.578538,-58.492726,2021-03-29
"12","Crtti, Ciudad de Buenos Aires","martes",17,0,-34.578538,-58.492726,2021-03-29
"13","Crtti, Ciudad de Buenos Aires","martes",18,9,-34.578538,-58.492726,2021-03-29
"14","Crtti, Ciudad de Buenos Aires","martes",19,15,-34.578538,-58.492726,2021-03-29
"15","Crtti, Ciudad de Buenos Aires","martes",20,24,-34.578538,-58.492726,2021-03-29
"16","Crtti, Ciudad de Buenos Aires","martes",21,30,-34.578538,-58.492726,2021-03-29
"17","Crtti, Ciudad de Buenos Aires","martes",22,29.25,-34.578538,-58.492726,2021-03-29
"18","Crtti, Ciudad de Buenos Aires","martes",23,21.75,-34.578538,-58.492726,2021-03-29
"19","Crtti, Ciudad de Buenos Aires","miercoles",0,12,-34.578538,-58.492726,2021-03-29
"20","Crtti, Ciudad de Buenos Aires","miercoles",1,5.25,-34.578538,-58.492726,2021-03-29
"21","Crtti, Ciudad de Buenos Aires","miercoles",6,0,-34.578538,-58.492726,2021-03-29
"22","Crtti, Ciudad de Buenos Aires","miercoles",7,0,-34.578538,-58.492726,2021-03-29
"23","Crtti, Ciudad de Buenos Aires","miercoles",8,0,-34.578538,-58.492726,2021-03-29
"24","Crtti, Ciudad de Buenos Aires","miercoles",9,0,-34.578538,-58.492726,2021-03-29
"25","Crtti, Ciudad de Buenos Aires","miercoles",10,0,-34.578538,-58.492726,2021-03-29
"26","Crtti, Ciudad de Buenos Aires","miercoles",11,0,-34.578538,-58.492726,2021-03-29
"27","Crtti, Ciudad de Buenos Aires","miercoles",12,0,-34.578538,-58.492726,2021-03-29
"28","Crtti, Ciudad de Buenos Aires","miercoles",13,0,-34.578538,-58.492726,2021-03-29
"29","Crtti, Ciudad de Buenos Aires","miercoles",14,0,-34.578538,-58.492726,2021-03-29
"30","Crtti, Ciudad de Buenos Aires","miercoles",15,0,-34.578538,-58.492726,2021-03-29
"31","Crtti, Ciudad de Buenos Aires","miercoles",16,0,-34.578538,-58.492726,2021-03-29
"32","Crtti, Ciudad de Buenos Aires","miercoles",17,0,-34.578538,-58.492726,2021-03-29
"33","Crtti, Ciudad de Buenos Aires","miercoles",18,9.75,-34.578538,-58.492726,2021-03-29
"34","Crtti, Ciudad de Buenos Aires","miercoles",19,18,-34.578538,-58.492726,2021-03-29
"35","Crtti, Ciudad de Buenos Aires","miercoles",20,27.75,-34.578538,-58.492726,2021-03-29
"36","Crtti, Ciudad de Buenos Aires","miercoles",21,33,-34.578538,-58.492726,2021-03-29
"37","Crtti, Ciudad de Buenos Aires","miercoles",22,30.75,-34.578538,-58.492726,2021-03-29
"38","Crtti, Ciudad de Buenos Aires","miercoles",23,22.5,-34.578538,-58.492726,2021-03-29
"39","Crtti, Ciudad de Buenos Aires","jueves",0,12.75,-34.578538,-58.492726,2021-03-29
"40","Crtti, Ciudad de Buenos Aires","jueves",1,5.25,-34.578538,-58.492726,2021-03-29
"41","Crtti, Ciudad de Buenos Aires","jueves",6,0,-34.578538,-58.492726,2021-03-29
"42","Crtti, Ciudad de Buenos Aires","jueves",7,0,-34.578538,-58.492726,2021-03-29
"43","Crtti, Ciudad de Buenos Aires","jueves",8,0,-34.578538,-58.492726,2021-03-29
"44","Crtti, Ciudad de Buenos Aires","jueves",9,0,-34.578538,-58.492726,2021-03-29
"45","Crtti, Ciudad de Buenos Aires","jueves",10,0,-34.578538,-58.492726,2021-03-29
"46","Crtti, Ciudad de Buenos Aires","jueves",11,0,-34.578538,-58.492726,2021-03-29
"47","Crtti, Ciudad de Buenos Aires","jueves",12,0,-34.578538,-58.492726,2021-03-29
"48","Crtti, Ciudad de Buenos Aires","jueves",13,0,-34.578538,-58.492726,2021-03-29
"49","Crtti, Ciudad de Buenos Aires","jueves",14,0,-34.578538,-58.492726,2021-03-29
"50","Crtti, Ciudad de Buenos Aires","jueves",15,0,-34.578538,-58.492726,2021-03-29
"51","Crtti, Ciudad de Buenos Aires","jueves",16,0,-34.578538,-58.492726,2021-03-29
"52","Crtti, Ciudad de Buenos Aires","jueves",17,0,-34.578538,-58.492726,2021-03-29
"53","Crtti, Ciudad de Buenos Aires","jueves",18,10.5,-34.578538,-58.492726,2021-03-29
"54","Crtti, Ciudad de Buenos Aires","jueves",19,18.75,-34.578538,-58.492726,2021-03-29
"55","Crtti, Ciudad de Buenos Aires","jueves",20,31.5,-34.578538,-58.492726,2021-03-29
"56","Crtti, Ciudad de Buenos Aires","jueves",21,40.5,-34.578538,-58.492726,2021-03-29
"57","Crtti, Ciudad de Buenos Aires","jueves",22,39,-34.578538,-58.492726,2021-03-29
"58","Crtti, Ciudad de Buenos Aires","jueves",23,27.75,-34.578538,-58.492726,2021-03-29
"59","Crtti, Ciudad de Buenos Aires","viernes",0,15,-34.578538,-58.492726,2021-03-29
"60","Crtti, Ciudad de Buenos Aires","viernes",1,6,-34.578538,-58.492726,2021-03-29
"61","Crtti, Ciudad de Buenos Aires","viernes",6,0,-34.578538,-58.492726,2021-03-29
"62","Crtti, Ciudad de Buenos Aires","viernes",7,0,-34.578538,-58.492726,2021-03-29
"63","Crtti, Ciudad de Buenos Aires","viernes",8,0,-34.578538,-58.492726,2021-03-29
"64","Crtti, Ciudad de Buenos Aires","viernes",9,0,-34.578538,-58.492726,2021-03-29
"65","Crtti, Ciudad de Buenos Aires","viernes",10,0,-34.578538,-58.492726,2021-03-29
"66","Crtti, Ciudad de Buenos Aires","viernes",11,0,-34.578538,-58.492726,2021-03-29
"67","Crtti, Ciudad de Buenos Aires","viernes",12,0,-34.578538,-58.492726,2021-03-29
"68","Crtti, Ciudad de Buenos Aires","viernes",13,0,-34.578538,-58.492726,2021-03-29
"69","Crtti, Ciudad de Buenos Aires","viernes",14,0,-34.578538,-58.492726,2021-03-29
"70","Crtti, Ciudad de Buenos Aires","viernes",15,0,-34.578538,-58.492726,2021-03-29
"71","Crtti, Ciudad de Buenos Aires","viernes",16,0,-34.578538,-58.492726,2021-03-29
"72","Crtti, Ciudad de Buenos Aires","viernes",17,0,-34.578538,-58.492726,2021-03-29
"73","Crtti, Ciudad de Buenos Aires","viernes",18,14.25,-34.578538,-58.492726,2021-03-29
"74","Crtti, Ciudad de Buenos Aires","viernes",19,23.25,-34.578538,-58.492726,2021-03-29
"75","Crtti, Ciudad de Buenos Aires","viernes",20,44.25,-34.578538,-58.492726,2021-03-29
"76","Crtti, Ciudad de Buenos Aires","viernes",21,66.75,-34.578538,-58.492726,2021-03-29
"77","Crtti, Ciudad de Buenos Aires","viernes",22,75,-34.578538,-58.492726,2021-03-29
"78","Crtti, Ciudad de Buenos Aires","viernes",23,60.75,-34.578538,-58.492726,2021-03-29
"79","Crtti, Ciudad de Buenos Aires","sabado",0,36,-34.578538,-58.492726,2021-03-29
"80","Crtti, Ciudad de Buenos Aires","sabado",1,15.75,-34.578538,-58.492726,2021-03-29
"81","Crtti, Ciudad de Buenos Aires","sabado",2,6,-34.578538,-58.492726,2021-03-29
