"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",6,0,-34.6097093,-58.3749556,2021-03-26
"2","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",7,0,-34.6097093,-58.3749556,2021-03-26
"3","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",8,0,-34.6097093,-58.3749556,2021-03-26
"4","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",9,6,-34.6097093,-58.3749556,2021-03-26
"5","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",10,10.5,-34.6097093,-58.3749556,2021-03-26
"6","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",11,13.5,-34.6097093,-58.3749556,2021-03-26
"7","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",12,21,-34.6097093,-58.3749556,2021-03-26
"8","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",13,33,-34.6097093,-58.3749556,2021-03-26
"9","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",14,37.5,-34.6097093,-58.3749556,2021-03-26
"10","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",15,27,-34.6097093,-58.3749556,2021-03-26
"11","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",16,12,-34.6097093,-58.3749556,2021-03-26
"12","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",17,0,-34.6097093,-58.3749556,2021-03-26
"13","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",18,0,-34.6097093,-58.3749556,2021-03-26
"14","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",19,0,-34.6097093,-58.3749556,2021-03-26
"15","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",20,0,-34.6097093,-58.3749556,2021-03-26
"16","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",21,0,-34.6097093,-58.3749556,2021-03-26
"17","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",22,0,-34.6097093,-58.3749556,2021-03-26
"18","D'Oro Italian Bar, Ciudad de Buenos Aires","lunes",23,0,-34.6097093,-58.3749556,2021-03-26
"19","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",6,0,-34.6097093,-58.3749556,2021-03-26
"20","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",7,0,-34.6097093,-58.3749556,2021-03-26
"21","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",8,0,-34.6097093,-58.3749556,2021-03-26
"22","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",9,8.25,-34.6097093,-58.3749556,2021-03-26
"23","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",10,8.25,-34.6097093,-58.3749556,2021-03-26
"24","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",11,6.75,-34.6097093,-58.3749556,2021-03-26
"25","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",12,20.25,-34.6097093,-58.3749556,2021-03-26
"26","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",13,42,-34.6097093,-58.3749556,2021-03-26
"27","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",14,38.25,-34.6097093,-58.3749556,2021-03-26
"28","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",15,18,-34.6097093,-58.3749556,2021-03-26
"29","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",16,9,-34.6097093,-58.3749556,2021-03-26
"30","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",17,10.5,-34.6097093,-58.3749556,2021-03-26
"31","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",18,12.75,-34.6097093,-58.3749556,2021-03-26
"32","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",19,15,-34.6097093,-58.3749556,2021-03-26
"33","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",20,15,-34.6097093,-58.3749556,2021-03-26
"34","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",21,13.5,-34.6097093,-58.3749556,2021-03-26
"35","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",22,10.5,-34.6097093,-58.3749556,2021-03-26
"36","D'Oro Italian Bar, Ciudad de Buenos Aires","martes",23,0,-34.6097093,-58.3749556,2021-03-26
"37","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",6,0,-34.6097093,-58.3749556,2021-03-26
"38","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",7,0,-34.6097093,-58.3749556,2021-03-26
"39","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",8,0,-34.6097093,-58.3749556,2021-03-26
"40","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",9,3.75,-34.6097093,-58.3749556,2021-03-26
"41","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",10,12.75,-34.6097093,-58.3749556,2021-03-26
"42","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",11,27.75,-34.6097093,-58.3749556,2021-03-26
"43","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",12,44.25,-34.6097093,-58.3749556,2021-03-26
"44","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",13,58.5,-34.6097093,-58.3749556,2021-03-26
"45","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",14,62.25,-34.6097093,-58.3749556,2021-03-26
"46","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",15,54,-34.6097093,-58.3749556,2021-03-26
"47","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",16,38.25,-34.6097093,-58.3749556,2021-03-26
"48","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",17,23.25,-34.6097093,-58.3749556,2021-03-26
"49","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",18,13.5,-34.6097093,-58.3749556,2021-03-26
"50","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",19,11.25,-34.6097093,-58.3749556,2021-03-26
"51","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",20,14.25,-34.6097093,-58.3749556,2021-03-26
"52","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",21,15.75,-34.6097093,-58.3749556,2021-03-26
"53","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",22,12.75,-34.6097093,-58.3749556,2021-03-26
"54","D'Oro Italian Bar, Ciudad de Buenos Aires","miercoles",23,0,-34.6097093,-58.3749556,2021-03-26
"55","D'Oro Italian Bar, Ciudad de Buenos Aires","jueves",6,0,-34.6097093,-58.3749556,2021-03-26
"56","D'Oro Italian Bar, Ciudad de Buenos Aires","jueves",7,0,-34.6097093,-58.3749556,2021-03-26
"57","D'Oro Italian Bar, Ciudad de Buenos Aires","jueves",8,0,-34.6097093,-58.3749556,2021-03-26
"58","D'Oro Italian Bar, Ciudad de Buenos Aires","jueves",9,20.25,-34.6097093,-58.3749556,2021-03-26
"59","D'Oro Italian Bar, Ciudad de Buenos Aires","jueves",10,22.5,-34.6097093,-58.3749556,2021-03-26
"60","D'Oro Italian Bar, Ciudad de Buenos Aires","jueves",11,21.75,-34.6097093,-58.3749556,2021-03-26
"61","D'Oro Italian Bar, Ciudad de Buenos Aires","jueves",12,36.75,-34.6097093,-58.3749556,2021-03-26
