"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Daiu 1, Ciudad de Buenos Aires","lunes",4,0,-34.5705506,-58.4919308,2021-03-30
"2","Daiu 1, Ciudad de Buenos Aires","lunes",5,0.75,-34.5705506,-58.4919308,2021-03-30
"3","Daiu 1, Ciudad de Buenos Aires","lunes",6,3.75,-34.5705506,-58.4919308,2021-03-30
"4","Daiu 1, Ciudad de Buenos Aires","lunes",7,9,-34.5705506,-58.4919308,2021-03-30
"5","Daiu 1, Ciudad de Buenos Aires","lunes",8,17.25,-34.5705506,-58.4919308,2021-03-30
"6","Daiu 1, Ciudad de Buenos Aires","lunes",9,24,-34.5705506,-58.4919308,2021-03-30
"7","Daiu 1, Ciudad de Buenos Aires","lunes",10,27,-34.5705506,-58.4919308,2021-03-30
"8","Daiu 1, Ciudad de Buenos Aires","lunes",11,39.75,-34.5705506,-58.4919308,2021-03-30
"9","Daiu 1, Ciudad de Buenos Aires","lunes",12,75,-34.5705506,-58.4919308,2021-03-30
"10","Daiu 1, Ciudad de Buenos Aires","lunes",13,60,-34.5705506,-58.4919308,2021-03-30
"11","Daiu 1, Ciudad de Buenos Aires","lunes",14,24,-34.5705506,-58.4919308,2021-03-30
"12","Daiu 1, Ciudad de Buenos Aires","lunes",15,20.25,-34.5705506,-58.4919308,2021-03-30
"13","Daiu 1, Ciudad de Buenos Aires","lunes",16,24,-34.5705506,-58.4919308,2021-03-30
"14","Daiu 1, Ciudad de Buenos Aires","lunes",17,27,-34.5705506,-58.4919308,2021-03-30
"15","Daiu 1, Ciudad de Buenos Aires","lunes",18,25.5,-34.5705506,-58.4919308,2021-03-30
"16","Daiu 1, Ciudad de Buenos Aires","lunes",19,22.5,-34.5705506,-58.4919308,2021-03-30
"17","Daiu 1, Ciudad de Buenos Aires","lunes",20,17.25,-34.5705506,-58.4919308,2021-03-30
"18","Daiu 1, Ciudad de Buenos Aires","lunes",21,12,-34.5705506,-58.4919308,2021-03-30
"19","Daiu 1, Ciudad de Buenos Aires","lunes",22,6.75,-34.5705506,-58.4919308,2021-03-30
"20","Daiu 1, Ciudad de Buenos Aires","lunes",23,3.75,-34.5705506,-58.4919308,2021-03-30
"21","Daiu 1, Ciudad de Buenos Aires","martes",0,1.5,-34.5705506,-58.4919308,2021-03-30
"22","Daiu 1, Ciudad de Buenos Aires","martes",1,0.75,-34.5705506,-58.4919308,2021-03-30
"23","Daiu 1, Ciudad de Buenos Aires","martes",2,0,-34.5705506,-58.4919308,2021-03-30
"24","Daiu 1, Ciudad de Buenos Aires","martes",3,0,-34.5705506,-58.4919308,2021-03-30
"25","Daiu 1, Ciudad de Buenos Aires","martes",4,2.25,-34.5705506,-58.4919308,2021-03-30
"26","Daiu 1, Ciudad de Buenos Aires","martes",5,3.75,-34.5705506,-58.4919308,2021-03-30
"27","Daiu 1, Ciudad de Buenos Aires","martes",6,6.75,-34.5705506,-58.4919308,2021-03-30
"28","Daiu 1, Ciudad de Buenos Aires","martes",7,12,-34.5705506,-58.4919308,2021-03-30
"29","Daiu 1, Ciudad de Buenos Aires","martes",8,20.25,-34.5705506,-58.4919308,2021-03-30
"30","Daiu 1, Ciudad de Buenos Aires","martes",9,30,-34.5705506,-58.4919308,2021-03-30
"31","Daiu 1, Ciudad de Buenos Aires","martes",10,40.5,-34.5705506,-58.4919308,2021-03-30
"32","Daiu 1, Ciudad de Buenos Aires","martes",11,48,-34.5705506,-58.4919308,2021-03-30
"33","Daiu 1, Ciudad de Buenos Aires","martes",12,49.5,-34.5705506,-58.4919308,2021-03-30
"34","Daiu 1, Ciudad de Buenos Aires","martes",13,45,-34.5705506,-58.4919308,2021-03-30
"35","Daiu 1, Ciudad de Buenos Aires","martes",14,38.25,-34.5705506,-58.4919308,2021-03-30
"36","Daiu 1, Ciudad de Buenos Aires","martes",15,33.75,-34.5705506,-58.4919308,2021-03-30
