"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Damblee, Ciudad de Buenos Aires","lunes",5,0,-34.6106116,-58.414605,2021-03-26
"2","Damblee, Ciudad de Buenos Aires","lunes",6,0,-34.6106116,-58.414605,2021-03-26
"3","Damblee, Ciudad de Buenos Aires","lunes",7,4.5,-34.6106116,-58.414605,2021-03-26
"4","Damblee, Ciudad de Buenos Aires","lunes",8,8.25,-34.6106116,-58.414605,2021-03-26
"5","Damblee, Ciudad de Buenos Aires","lunes",9,12,-34.6106116,-58.414605,2021-03-26
"6","Damblee, Ciudad de Buenos Aires","lunes",10,15.75,-34.6106116,-58.414605,2021-03-26
"7","Damblee, Ciudad de Buenos Aires","lunes",11,18,-34.6106116,-58.414605,2021-03-26
"8","Damblee, Ciudad de Buenos Aires","lunes",12,21,-34.6106116,-58.414605,2021-03-26
"9","Damblee, Ciudad de Buenos Aires","lunes",13,24,-34.6106116,-58.414605,2021-03-26
"10","Damblee, Ciudad de Buenos Aires","lunes",14,26.25,-34.6106116,-58.414605,2021-03-26
"11","Damblee, Ciudad de Buenos Aires","lunes",15,25.5,-34.6106116,-58.414605,2021-03-26
"12","Damblee, Ciudad de Buenos Aires","lunes",16,21.75,-34.6106116,-58.414605,2021-03-26
"13","Damblee, Ciudad de Buenos Aires","lunes",17,18.75,-34.6106116,-58.414605,2021-03-26
"14","Damblee, Ciudad de Buenos Aires","lunes",18,18.75,-34.6106116,-58.414605,2021-03-26
"15","Damblee, Ciudad de Buenos Aires","lunes",19,24.75,-34.6106116,-58.414605,2021-03-26
"16","Damblee, Ciudad de Buenos Aires","lunes",20,33.75,-34.6106116,-58.414605,2021-03-26
"17","Damblee, Ciudad de Buenos Aires","lunes",21,37.5,-34.6106116,-58.414605,2021-03-26
"18","Damblee, Ciudad de Buenos Aires","lunes",22,31.5,-34.6106116,-58.414605,2021-03-26
"19","Damblee, Ciudad de Buenos Aires","lunes",23,18.75,-34.6106116,-58.414605,2021-03-26
"20","Damblee, Ciudad de Buenos Aires","martes",0,6.75,-34.6106116,-58.414605,2021-03-26
"21","Damblee, Ciudad de Buenos Aires","martes",5,0,-34.6106116,-58.414605,2021-03-26
"22","Damblee, Ciudad de Buenos Aires","martes",6,0.75,-34.6106116,-58.414605,2021-03-26
"23","Damblee, Ciudad de Buenos Aires","martes",7,8.25,-34.6106116,-58.414605,2021-03-26
"24","Damblee, Ciudad de Buenos Aires","martes",8,16.5,-34.6106116,-58.414605,2021-03-26
"25","Damblee, Ciudad de Buenos Aires","martes",9,24,-34.6106116,-58.414605,2021-03-26
"26","Damblee, Ciudad de Buenos Aires","martes",10,27.75,-34.6106116,-58.414605,2021-03-26
"27","Damblee, Ciudad de Buenos Aires","martes",11,28.5,-34.6106116,-58.414605,2021-03-26
"28","Damblee, Ciudad de Buenos Aires","martes",12,29.25,-34.6106116,-58.414605,2021-03-26
"29","Damblee, Ciudad de Buenos Aires","martes",13,30.75,-34.6106116,-58.414605,2021-03-26
"30","Damblee, Ciudad de Buenos Aires","martes",14,32.25,-34.6106116,-58.414605,2021-03-26
"31","Damblee, Ciudad de Buenos Aires","martes",15,30.75,-34.6106116,-58.414605,2021-03-26
"32","Damblee, Ciudad de Buenos Aires","martes",16,27,-34.6106116,-58.414605,2021-03-26
"33","Damblee, Ciudad de Buenos Aires","martes",17,24,-34.6106116,-58.414605,2021-03-26
"34","Damblee, Ciudad de Buenos Aires","martes",18,24,-34.6106116,-58.414605,2021-03-26
"35","Damblee, Ciudad de Buenos Aires","martes",19,30.75,-34.6106116,-58.414605,2021-03-26
