"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Dandy Deli, Ciudad de Buenos Aires","lunes",6,0,-34.6055898,-58.3642456,2021-03-29
"2","Dandy Deli, Ciudad de Buenos Aires","lunes",7,0,-34.6055898,-58.3642456,2021-03-29
"3","Dandy Deli, Ciudad de Buenos Aires","lunes",8,0.75,-34.6055898,-58.3642456,2021-03-29
"4","Dandy Deli, Ciudad de Buenos Aires","lunes",9,3,-34.6055898,-58.3642456,2021-03-29
"5","Dandy Deli, Ciudad de Buenos Aires","lunes",10,6,-34.6055898,-58.3642456,2021-03-29
"6","Dandy Deli, Ciudad de Buenos Aires","lunes",11,9,-34.6055898,-58.3642456,2021-03-29
"7","Dandy Deli, Ciudad de Buenos Aires","lunes",12,12,-34.6055898,-58.3642456,2021-03-29
"8","Dandy Deli, Ciudad de Buenos Aires","lunes",13,14.25,-34.6055898,-58.3642456,2021-03-29
"9","Dandy Deli, Ciudad de Buenos Aires","lunes",14,16.5,-34.6055898,-58.3642456,2021-03-29
"10","Dandy Deli, Ciudad de Buenos Aires","lunes",15,16.5,-34.6055898,-58.3642456,2021-03-29
"11","Dandy Deli, Ciudad de Buenos Aires","lunes",16,16.5,-34.6055898,-58.3642456,2021-03-29
"12","Dandy Deli, Ciudad de Buenos Aires","lunes",17,14.25,-34.6055898,-58.3642456,2021-03-29
"13","Dandy Deli, Ciudad de Buenos Aires","lunes",18,13.5,-34.6055898,-58.3642456,2021-03-29
"14","Dandy Deli, Ciudad de Buenos Aires","lunes",19,13.5,-34.6055898,-58.3642456,2021-03-29
"15","Dandy Deli, Ciudad de Buenos Aires","lunes",20,17.25,-34.6055898,-58.3642456,2021-03-29
"16","Dandy Deli, Ciudad de Buenos Aires","lunes",21,20.25,-34.6055898,-58.3642456,2021-03-29
"17","Dandy Deli, Ciudad de Buenos Aires","lunes",22,19.5,-34.6055898,-58.3642456,2021-03-29
"18","Dandy Deli, Ciudad de Buenos Aires","lunes",23,13.5,-34.6055898,-58.3642456,2021-03-29
"19","Dandy Deli, Ciudad de Buenos Aires","martes",6,0,-34.6055898,-58.3642456,2021-03-29
"20","Dandy Deli, Ciudad de Buenos Aires","martes",7,0,-34.6055898,-58.3642456,2021-03-29
"21","Dandy Deli, Ciudad de Buenos Aires","martes",8,0.75,-34.6055898,-58.3642456,2021-03-29
"22","Dandy Deli, Ciudad de Buenos Aires","martes",9,3,-34.6055898,-58.3642456,2021-03-29
"23","Dandy Deli, Ciudad de Buenos Aires","martes",10,6,-34.6055898,-58.3642456,2021-03-29
"24","Dandy Deli, Ciudad de Buenos Aires","martes",11,9,-34.6055898,-58.3642456,2021-03-29
"25","Dandy Deli, Ciudad de Buenos Aires","martes",12,12,-34.6055898,-58.3642456,2021-03-29
"26","Dandy Deli, Ciudad de Buenos Aires","martes",13,15,-34.6055898,-58.3642456,2021-03-29
"27","Dandy Deli, Ciudad de Buenos Aires","martes",14,16.5,-34.6055898,-58.3642456,2021-03-29
"28","Dandy Deli, Ciudad de Buenos Aires","martes",15,18,-34.6055898,-58.3642456,2021-03-29
"29","Dandy Deli, Ciudad de Buenos Aires","martes",16,18,-34.6055898,-58.3642456,2021-03-29
"30","Dandy Deli, Ciudad de Buenos Aires","martes",17,16.5,-34.6055898,-58.3642456,2021-03-29
"31","Dandy Deli, Ciudad de Buenos Aires","martes",18,15,-34.6055898,-58.3642456,2021-03-29
"32","Dandy Deli, Ciudad de Buenos Aires","martes",19,14.25,-34.6055898,-58.3642456,2021-03-29
"33","Dandy Deli, Ciudad de Buenos Aires","martes",20,16.5,-34.6055898,-58.3642456,2021-03-29
"34","Dandy Deli, Ciudad de Buenos Aires","martes",21,20.25,-34.6055898,-58.3642456,2021-03-29
"35","Dandy Deli, Ciudad de Buenos Aires","martes",22,20.25,-34.6055898,-58.3642456,2021-03-29
"36","Dandy Deli, Ciudad de Buenos Aires","martes",23,14.25,-34.6055898,-58.3642456,2021-03-29
"37","Dandy Deli, Ciudad de Buenos Aires","miercoles",6,0,-34.6055898,-58.3642456,2021-03-29
"38","Dandy Deli, Ciudad de Buenos Aires","miercoles",7,0,-34.6055898,-58.3642456,2021-03-29
"39","Dandy Deli, Ciudad de Buenos Aires","miercoles",8,0.75,-34.6055898,-58.3642456,2021-03-29
"40","Dandy Deli, Ciudad de Buenos Aires","miercoles",9,4.5,-34.6055898,-58.3642456,2021-03-29
"41","Dandy Deli, Ciudad de Buenos Aires","miercoles",10,6.75,-34.6055898,-58.3642456,2021-03-29
"42","Dandy Deli, Ciudad de Buenos Aires","miercoles",11,8.25,-34.6055898,-58.3642456,2021-03-29
"43","Dandy Deli, Ciudad de Buenos Aires","miercoles",12,12.75,-34.6055898,-58.3642456,2021-03-29
"44","Dandy Deli, Ciudad de Buenos Aires","miercoles",13,18,-34.6055898,-58.3642456,2021-03-29
"45","Dandy Deli, Ciudad de Buenos Aires","miercoles",14,19.5,-34.6055898,-58.3642456,2021-03-29
"46","Dandy Deli, Ciudad de Buenos Aires","miercoles",15,16.5,-34.6055898,-58.3642456,2021-03-29
"47","Dandy Deli, Ciudad de Buenos Aires","miercoles",16,12,-34.6055898,-58.3642456,2021-03-29
"48","Dandy Deli, Ciudad de Buenos Aires","miercoles",17,9,-34.6055898,-58.3642456,2021-03-29
"49","Dandy Deli, Ciudad de Buenos Aires","miercoles",18,11.25,-34.6055898,-58.3642456,2021-03-29
"50","Dandy Deli, Ciudad de Buenos Aires","miercoles",19,16.5,-34.6055898,-58.3642456,2021-03-29
"51","Dandy Deli, Ciudad de Buenos Aires","miercoles",20,21,-34.6055898,-58.3642456,2021-03-29
"52","Dandy Deli, Ciudad de Buenos Aires","miercoles",21,22.5,-34.6055898,-58.3642456,2021-03-29
"53","Dandy Deli, Ciudad de Buenos Aires","miercoles",22,18.75,-34.6055898,-58.3642456,2021-03-29
"54","Dandy Deli, Ciudad de Buenos Aires","miercoles",23,12.75,-34.6055898,-58.3642456,2021-03-29
"55","Dandy Deli, Ciudad de Buenos Aires","jueves",6,0,-34.6055898,-58.3642456,2021-03-29
"56","Dandy Deli, Ciudad de Buenos Aires","jueves",7,0,-34.6055898,-58.3642456,2021-03-29
"57","Dandy Deli, Ciudad de Buenos Aires","jueves",8,2.25,-34.6055898,-58.3642456,2021-03-29
"58","Dandy Deli, Ciudad de Buenos Aires","jueves",9,5.25,-34.6055898,-58.3642456,2021-03-29
"59","Dandy Deli, Ciudad de Buenos Aires","jueves",10,9.75,-34.6055898,-58.3642456,2021-03-29
"60","Dandy Deli, Ciudad de Buenos Aires","jueves",11,13.5,-34.6055898,-58.3642456,2021-03-29
"61","Dandy Deli, Ciudad de Buenos Aires","jueves",12,17.25,-34.6055898,-58.3642456,2021-03-29
"62","Dandy Deli, Ciudad de Buenos Aires","jueves",13,20.25,-34.6055898,-58.3642456,2021-03-29
"63","Dandy Deli, Ciudad de Buenos Aires","jueves",14,21,-34.6055898,-58.3642456,2021-03-29
"64","Dandy Deli, Ciudad de Buenos Aires","jueves",15,19.5,-34.6055898,-58.3642456,2021-03-29
"65","Dandy Deli, Ciudad de Buenos Aires","jueves",16,17.25,-34.6055898,-58.3642456,2021-03-29
"66","Dandy Deli, Ciudad de Buenos Aires","jueves",17,15,-34.6055898,-58.3642456,2021-03-29
"67","Dandy Deli, Ciudad de Buenos Aires","jueves",18,12,-34.6055898,-58.3642456,2021-03-29
"68","Dandy Deli, Ciudad de Buenos Aires","jueves",19,12,-34.6055898,-58.3642456,2021-03-29
"69","Dandy Deli, Ciudad de Buenos Aires","jueves",20,15.75,-34.6055898,-58.3642456,2021-03-29
"70","Dandy Deli, Ciudad de Buenos Aires","jueves",21,20.25,-34.6055898,-58.3642456,2021-03-29
"71","Dandy Deli, Ciudad de Buenos Aires","jueves",22,21.75,-34.6055898,-58.3642456,2021-03-29
"72","Dandy Deli, Ciudad de Buenos Aires","jueves",23,16.5,-34.6055898,-58.3642456,2021-03-29
"73","Dandy Deli, Ciudad de Buenos Aires","viernes",6,0,-34.6055898,-58.3642456,2021-03-29
"74","Dandy Deli, Ciudad de Buenos Aires","viernes",7,0,-34.6055898,-58.3642456,2021-03-29
"75","Dandy Deli, Ciudad de Buenos Aires","viernes",8,0,-34.6055898,-58.3642456,2021-03-29
"76","Dandy Deli, Ciudad de Buenos Aires","viernes",9,3.75,-34.6055898,-58.3642456,2021-03-29
"77","Dandy Deli, Ciudad de Buenos Aires","viernes",10,6,-34.6055898,-58.3642456,2021-03-29
"78","Dandy Deli, Ciudad de Buenos Aires","viernes",11,7.5,-34.6055898,-58.3642456,2021-03-29
"79","Dandy Deli, Ciudad de Buenos Aires","viernes",12,10.5,-34.6055898,-58.3642456,2021-03-29
"80","Dandy Deli, Ciudad de Buenos Aires","viernes",13,13.5,-34.6055898,-58.3642456,2021-03-29
"81","Dandy Deli, Ciudad de Buenos Aires","viernes",14,16.5,-34.6055898,-58.3642456,2021-03-29
