"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",6,0,-34.5641046,-58.4562328,2021-03-28
"2","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",7,0,-34.5641046,-58.4562328,2021-03-28
"3","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",8,0,-34.5641046,-58.4562328,2021-03-28
"4","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",9,0,-34.5641046,-58.4562328,2021-03-28
"5","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",10,0,-34.5641046,-58.4562328,2021-03-28
"6","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",11,13.5,-34.5641046,-58.4562328,2021-03-28
"7","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",12,40.5,-34.5641046,-58.4562328,2021-03-28
"8","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",13,39.75,-34.5641046,-58.4562328,2021-03-28
"9","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",14,14.25,-34.5641046,-58.4562328,2021-03-28
"10","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",15,3,-34.5641046,-58.4562328,2021-03-28
"11","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",16,0,-34.5641046,-58.4562328,2021-03-28
"12","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",17,0,-34.5641046,-58.4562328,2021-03-28
"13","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",18,0,-34.5641046,-58.4562328,2021-03-28
"14","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",19,0,-34.5641046,-58.4562328,2021-03-28
"15","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",20,0,-34.5641046,-58.4562328,2021-03-28
"16","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",21,0,-34.5641046,-58.4562328,2021-03-28
"17","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",22,0,-34.5641046,-58.4562328,2021-03-28
"18","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","lunes",23,0,-34.5641046,-58.4562328,2021-03-28
"19","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","martes",6,0,-34.5641046,-58.4562328,2021-03-28
"20","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","martes",7,0,-34.5641046,-58.4562328,2021-03-28
"21","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","martes",8,0,-34.5641046,-58.4562328,2021-03-28
"22","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","martes",9,0,-34.5641046,-58.4562328,2021-03-28
"23","Delia - Cocina en Movimiento, Ciudad de Buenos Aires","martes",10,0,-34.5641046,-58.4562328,2021-03-28
