"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Dellepiane Bar, Ciudad de Buenos Aires","lunes",6,0,-34.6008859,-58.390924,2021-03-26
"2","Dellepiane Bar, Ciudad de Buenos Aires","lunes",7,0,-34.6008859,-58.390924,2021-03-26
"3","Dellepiane Bar, Ciudad de Buenos Aires","lunes",8,0,-34.6008859,-58.390924,2021-03-26
"4","Dellepiane Bar, Ciudad de Buenos Aires","lunes",9,0,-34.6008859,-58.390924,2021-03-26
"5","Dellepiane Bar, Ciudad de Buenos Aires","lunes",10,0,-34.6008859,-58.390924,2021-03-26
"6","Dellepiane Bar, Ciudad de Buenos Aires","lunes",11,0,-34.6008859,-58.390924,2021-03-26
"7","Dellepiane Bar, Ciudad de Buenos Aires","lunes",12,22.5,-34.6008859,-58.390924,2021-03-26
"8","Dellepiane Bar, Ciudad de Buenos Aires","lunes",13,31.5,-34.6008859,-58.390924,2021-03-26
"9","Dellepiane Bar, Ciudad de Buenos Aires","lunes",14,35.25,-34.6008859,-58.390924,2021-03-26
"10","Dellepiane Bar, Ciudad de Buenos Aires","lunes",15,30.75,-34.6008859,-58.390924,2021-03-26
"11","Dellepiane Bar, Ciudad de Buenos Aires","lunes",16,23.25,-34.6008859,-58.390924,2021-03-26
"12","Dellepiane Bar, Ciudad de Buenos Aires","lunes",17,20.25,-34.6008859,-58.390924,2021-03-26
"13","Dellepiane Bar, Ciudad de Buenos Aires","lunes",18,21,-34.6008859,-58.390924,2021-03-26
"14","Dellepiane Bar, Ciudad de Buenos Aires","lunes",19,25.5,-34.6008859,-58.390924,2021-03-26
"15","Dellepiane Bar, Ciudad de Buenos Aires","lunes",20,28.5,-34.6008859,-58.390924,2021-03-26
"16","Dellepiane Bar, Ciudad de Buenos Aires","lunes",21,28.5,-34.6008859,-58.390924,2021-03-26
"17","Dellepiane Bar, Ciudad de Buenos Aires","lunes",22,25.5,-34.6008859,-58.390924,2021-03-26
"18","Dellepiane Bar, Ciudad de Buenos Aires","lunes",23,0,-34.6008859,-58.390924,2021-03-26
"19","Dellepiane Bar, Ciudad de Buenos Aires","martes",6,0,-34.6008859,-58.390924,2021-03-26
"20","Dellepiane Bar, Ciudad de Buenos Aires","martes",7,0,-34.6008859,-58.390924,2021-03-26
"21","Dellepiane Bar, Ciudad de Buenos Aires","martes",8,0,-34.6008859,-58.390924,2021-03-26
"22","Dellepiane Bar, Ciudad de Buenos Aires","martes",9,0,-34.6008859,-58.390924,2021-03-26
"23","Dellepiane Bar, Ciudad de Buenos Aires","martes",10,0,-34.6008859,-58.390924,2021-03-26
"24","Dellepiane Bar, Ciudad de Buenos Aires","martes",11,0,-34.6008859,-58.390924,2021-03-26
"25","Dellepiane Bar, Ciudad de Buenos Aires","martes",12,34.5,-34.6008859,-58.390924,2021-03-26
"26","Dellepiane Bar, Ciudad de Buenos Aires","martes",13,41.25,-34.6008859,-58.390924,2021-03-26
"27","Dellepiane Bar, Ciudad de Buenos Aires","martes",14,41.25,-34.6008859,-58.390924,2021-03-26
"28","Dellepiane Bar, Ciudad de Buenos Aires","martes",15,35.25,-34.6008859,-58.390924,2021-03-26
"29","Dellepiane Bar, Ciudad de Buenos Aires","martes",16,27,-34.6008859,-58.390924,2021-03-26
"30","Dellepiane Bar, Ciudad de Buenos Aires","martes",17,23.25,-34.6008859,-58.390924,2021-03-26
"31","Dellepiane Bar, Ciudad de Buenos Aires","martes",18,28.5,-34.6008859,-58.390924,2021-03-26
"32","Dellepiane Bar, Ciudad de Buenos Aires","martes",19,41.25,-34.6008859,-58.390924,2021-03-26
"33","Dellepiane Bar, Ciudad de Buenos Aires","martes",20,54,-34.6008859,-58.390924,2021-03-26
"34","Dellepiane Bar, Ciudad de Buenos Aires","martes",21,57.75,-34.6008859,-58.390924,2021-03-26
"35","Dellepiane Bar, Ciudad de Buenos Aires","martes",22,48,-34.6008859,-58.390924,2021-03-26
"36","Dellepiane Bar, Ciudad de Buenos Aires","martes",23,0,-34.6008859,-58.390924,2021-03-26
"37","Dellepiane Bar, Ciudad de Buenos Aires","miercoles",6,0,-34.6008859,-58.390924,2021-03-26
"38","Dellepiane Bar, Ciudad de Buenos Aires","miercoles",7,0,-34.6008859,-58.390924,2021-03-26
"39","Dellepiane Bar, Ciudad de Buenos Aires","miercoles",8,0,-34.6008859,-58.390924,2021-03-26
"40","Dellepiane Bar, Ciudad de Buenos Aires","miercoles",9,0,-34.6008859,-58.390924,2021-03-26
"41","Dellepiane Bar, Ciudad de Buenos Aires","miercoles",10,0,-34.6008859,-58.390924,2021-03-26
