"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Demetria, Ciudad de Buenos Aires","lunes",6,0,-34.543936,-58.4748732,2021-03-26
"2","Demetria, Ciudad de Buenos Aires","lunes",7,0,-34.543936,-58.4748732,2021-03-26
"3","Demetria, Ciudad de Buenos Aires","lunes",8,0,-34.543936,-58.4748732,2021-03-26
"4","Demetria, Ciudad de Buenos Aires","lunes",9,7.5,-34.543936,-58.4748732,2021-03-26
"5","Demetria, Ciudad de Buenos Aires","lunes",10,12.75,-34.543936,-58.4748732,2021-03-26
"6","Demetria, Ciudad de Buenos Aires","lunes",11,19.5,-34.543936,-58.4748732,2021-03-26
"7","Demetria, Ciudad de Buenos Aires","lunes",12,24.75,-34.543936,-58.4748732,2021-03-26
"8","Demetria, Ciudad de Buenos Aires","lunes",13,28.5,-34.543936,-58.4748732,2021-03-26
"9","Demetria, Ciudad de Buenos Aires","lunes",14,27.75,-34.543936,-58.4748732,2021-03-26
"10","Demetria, Ciudad de Buenos Aires","lunes",15,0,-34.543936,-58.4748732,2021-03-26
"11","Demetria, Ciudad de Buenos Aires","lunes",16,0,-34.543936,-58.4748732,2021-03-26
"12","Demetria, Ciudad de Buenos Aires","lunes",17,0,-34.543936,-58.4748732,2021-03-26
"13","Demetria, Ciudad de Buenos Aires","lunes",18,0,-34.543936,-58.4748732,2021-03-26
"14","Demetria, Ciudad de Buenos Aires","lunes",19,0,-34.543936,-58.4748732,2021-03-26
"15","Demetria, Ciudad de Buenos Aires","lunes",20,32.25,-34.543936,-58.4748732,2021-03-26
"16","Demetria, Ciudad de Buenos Aires","lunes",21,40.5,-34.543936,-58.4748732,2021-03-26
"17","Demetria, Ciudad de Buenos Aires","lunes",22,30.75,-34.543936,-58.4748732,2021-03-26
"18","Demetria, Ciudad de Buenos Aires","lunes",23,0,-34.543936,-58.4748732,2021-03-26
"19","Demetria, Ciudad de Buenos Aires","martes",6,0,-34.543936,-58.4748732,2021-03-26
"20","Demetria, Ciudad de Buenos Aires","martes",7,0,-34.543936,-58.4748732,2021-03-26
"21","Demetria, Ciudad de Buenos Aires","martes",8,0,-34.543936,-58.4748732,2021-03-26
"22","Demetria, Ciudad de Buenos Aires","martes",9,5.25,-34.543936,-58.4748732,2021-03-26
"23","Demetria, Ciudad de Buenos Aires","martes",10,9,-34.543936,-58.4748732,2021-03-26
"24","Demetria, Ciudad de Buenos Aires","martes",11,18.75,-34.543936,-58.4748732,2021-03-26
"25","Demetria, Ciudad de Buenos Aires","martes",12,33.75,-34.543936,-58.4748732,2021-03-26
"26","Demetria, Ciudad de Buenos Aires","martes",13,42.75,-34.543936,-58.4748732,2021-03-26
"27","Demetria, Ciudad de Buenos Aires","martes",14,36.75,-34.543936,-58.4748732,2021-03-26
"28","Demetria, Ciudad de Buenos Aires","martes",15,0,-34.543936,-58.4748732,2021-03-26
"29","Demetria, Ciudad de Buenos Aires","martes",16,0,-34.543936,-58.4748732,2021-03-26
"30","Demetria, Ciudad de Buenos Aires","martes",17,0,-34.543936,-58.4748732,2021-03-26
"31","Demetria, Ciudad de Buenos Aires","martes",18,0,-34.543936,-58.4748732,2021-03-26
"32","Demetria, Ciudad de Buenos Aires","martes",19,0,-34.543936,-58.4748732,2021-03-26
"33","Demetria, Ciudad de Buenos Aires","martes",20,30.75,-34.543936,-58.4748732,2021-03-26
"34","Demetria, Ciudad de Buenos Aires","martes",21,42.75,-34.543936,-58.4748732,2021-03-26
"35","Demetria, Ciudad de Buenos Aires","martes",22,33.75,-34.543936,-58.4748732,2021-03-26
"36","Demetria, Ciudad de Buenos Aires","martes",23,0,-34.543936,-58.4748732,2021-03-26
"37","Demetria, Ciudad de Buenos Aires","miercoles",6,0,-34.543936,-58.4748732,2021-03-26
"38","Demetria, Ciudad de Buenos Aires","miercoles",7,0,-34.543936,-58.4748732,2021-03-26
"39","Demetria, Ciudad de Buenos Aires","miercoles",8,0,-34.543936,-58.4748732,2021-03-26
"40","Demetria, Ciudad de Buenos Aires","miercoles",9,6.75,-34.543936,-58.4748732,2021-03-26
"41","Demetria, Ciudad de Buenos Aires","miercoles",10,6,-34.543936,-58.4748732,2021-03-26
"42","Demetria, Ciudad de Buenos Aires","miercoles",11,9.75,-34.543936,-58.4748732,2021-03-26
"43","Demetria, Ciudad de Buenos Aires","miercoles",12,25.5,-34.543936,-58.4748732,2021-03-26
"44","Demetria, Ciudad de Buenos Aires","miercoles",13,42.75,-34.543936,-58.4748732,2021-03-26
"45","Demetria, Ciudad de Buenos Aires","miercoles",14,39.75,-34.543936,-58.4748732,2021-03-26
"46","Demetria, Ciudad de Buenos Aires","miercoles",15,0,-34.543936,-58.4748732,2021-03-26
