"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Deniro Boedo, Ciudad de Buenos Aires","lunes",6,0,-34.6210795,-58.4158606,2021-03-29
"2","Deniro Boedo, Ciudad de Buenos Aires","lunes",7,0,-34.6210795,-58.4158606,2021-03-29
"3","Deniro Boedo, Ciudad de Buenos Aires","lunes",8,0,-34.6210795,-58.4158606,2021-03-29
"4","Deniro Boedo, Ciudad de Buenos Aires","lunes",9,0,-34.6210795,-58.4158606,2021-03-29
"5","Deniro Boedo, Ciudad de Buenos Aires","lunes",10,0,-34.6210795,-58.4158606,2021-03-29
"6","Deniro Boedo, Ciudad de Buenos Aires","lunes",11,0,-34.6210795,-58.4158606,2021-03-29
"7","Deniro Boedo, Ciudad de Buenos Aires","lunes",12,7.5,-34.6210795,-58.4158606,2021-03-29
"8","Deniro Boedo, Ciudad de Buenos Aires","lunes",13,9.75,-34.6210795,-58.4158606,2021-03-29
"9","Deniro Boedo, Ciudad de Buenos Aires","lunes",14,10.5,-34.6210795,-58.4158606,2021-03-29
"10","Deniro Boedo, Ciudad de Buenos Aires","lunes",15,9.75,-34.6210795,-58.4158606,2021-03-29
"11","Deniro Boedo, Ciudad de Buenos Aires","lunes",16,7.5,-34.6210795,-58.4158606,2021-03-29
"12","Deniro Boedo, Ciudad de Buenos Aires","lunes",17,4.5,-34.6210795,-58.4158606,2021-03-29
"13","Deniro Boedo, Ciudad de Buenos Aires","lunes",18,3,-34.6210795,-58.4158606,2021-03-29
"14","Deniro Boedo, Ciudad de Buenos Aires","lunes",19,4.5,-34.6210795,-58.4158606,2021-03-29
"15","Deniro Boedo, Ciudad de Buenos Aires","lunes",20,11.25,-34.6210795,-58.4158606,2021-03-29
"16","Deniro Boedo, Ciudad de Buenos Aires","lunes",21,19.5,-34.6210795,-58.4158606,2021-03-29
"17","Deniro Boedo, Ciudad de Buenos Aires","lunes",22,23.25,-34.6210795,-58.4158606,2021-03-29
"18","Deniro Boedo, Ciudad de Buenos Aires","lunes",23,17.25,-34.6210795,-58.4158606,2021-03-29
"19","Deniro Boedo, Ciudad de Buenos Aires","martes",6,0,-34.6210795,-58.4158606,2021-03-29
"20","Deniro Boedo, Ciudad de Buenos Aires","martes",7,0,-34.6210795,-58.4158606,2021-03-29
"21","Deniro Boedo, Ciudad de Buenos Aires","martes",8,0,-34.6210795,-58.4158606,2021-03-29
"22","Deniro Boedo, Ciudad de Buenos Aires","martes",9,0,-34.6210795,-58.4158606,2021-03-29
"23","Deniro Boedo, Ciudad de Buenos Aires","martes",10,0,-34.6210795,-58.4158606,2021-03-29
"24","Deniro Boedo, Ciudad de Buenos Aires","martes",11,0,-34.6210795,-58.4158606,2021-03-29
"25","Deniro Boedo, Ciudad de Buenos Aires","martes",12,6,-34.6210795,-58.4158606,2021-03-29
"26","Deniro Boedo, Ciudad de Buenos Aires","martes",13,7.5,-34.6210795,-58.4158606,2021-03-29
"27","Deniro Boedo, Ciudad de Buenos Aires","martes",14,8.25,-34.6210795,-58.4158606,2021-03-29
"28","Deniro Boedo, Ciudad de Buenos Aires","martes",15,7.5,-34.6210795,-58.4158606,2021-03-29
"29","Deniro Boedo, Ciudad de Buenos Aires","martes",16,6,-34.6210795,-58.4158606,2021-03-29
"30","Deniro Boedo, Ciudad de Buenos Aires","martes",17,6.75,-34.6210795,-58.4158606,2021-03-29
"31","Deniro Boedo, Ciudad de Buenos Aires","martes",18,11.25,-34.6210795,-58.4158606,2021-03-29
"32","Deniro Boedo, Ciudad de Buenos Aires","martes",19,18.75,-34.6210795,-58.4158606,2021-03-29
"33","Deniro Boedo, Ciudad de Buenos Aires","martes",20,25.5,-34.6210795,-58.4158606,2021-03-29
"34","Deniro Boedo, Ciudad de Buenos Aires","martes",21,28.5,-34.6210795,-58.4158606,2021-03-29
"35","Deniro Boedo, Ciudad de Buenos Aires","martes",22,24.75,-34.6210795,-58.4158606,2021-03-29
"36","Deniro Boedo, Ciudad de Buenos Aires","martes",23,16.5,-34.6210795,-58.4158606,2021-03-29
"37","Deniro Boedo, Ciudad de Buenos Aires","miercoles",6,0,-34.6210795,-58.4158606,2021-03-29
"38","Deniro Boedo, Ciudad de Buenos Aires","miercoles",7,0,-34.6210795,-58.4158606,2021-03-29
"39","Deniro Boedo, Ciudad de Buenos Aires","miercoles",8,0,-34.6210795,-58.4158606,2021-03-29
"40","Deniro Boedo, Ciudad de Buenos Aires","miercoles",9,0,-34.6210795,-58.4158606,2021-03-29
"41","Deniro Boedo, Ciudad de Buenos Aires","miercoles",10,0,-34.6210795,-58.4158606,2021-03-29
"42","Deniro Boedo, Ciudad de Buenos Aires","miercoles",11,0,-34.6210795,-58.4158606,2021-03-29
"43","Deniro Boedo, Ciudad de Buenos Aires","miercoles",12,3.75,-34.6210795,-58.4158606,2021-03-29
"44","Deniro Boedo, Ciudad de Buenos Aires","miercoles",13,4.5,-34.6210795,-58.4158606,2021-03-29
"45","Deniro Boedo, Ciudad de Buenos Aires","miercoles",14,6,-34.6210795,-58.4158606,2021-03-29
"46","Deniro Boedo, Ciudad de Buenos Aires","miercoles",15,6,-34.6210795,-58.4158606,2021-03-29
"47","Deniro Boedo, Ciudad de Buenos Aires","miercoles",16,6,-34.6210795,-58.4158606,2021-03-29
"48","Deniro Boedo, Ciudad de Buenos Aires","miercoles",17,5.25,-34.6210795,-58.4158606,2021-03-29
