"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Deniro Recoleta, Ciudad de Buenos Aires","lunes",6,0,-34.5985542,-58.3944784,2021-03-28
"2","Deniro Recoleta, Ciudad de Buenos Aires","lunes",7,0,-34.5985542,-58.3944784,2021-03-28
"3","Deniro Recoleta, Ciudad de Buenos Aires","lunes",8,0,-34.5985542,-58.3944784,2021-03-28
"4","Deniro Recoleta, Ciudad de Buenos Aires","lunes",9,0,-34.5985542,-58.3944784,2021-03-28
"5","Deniro Recoleta, Ciudad de Buenos Aires","lunes",10,0,-34.5985542,-58.3944784,2021-03-28
"6","Deniro Recoleta, Ciudad de Buenos Aires","lunes",11,0,-34.5985542,-58.3944784,2021-03-28
"7","Deniro Recoleta, Ciudad de Buenos Aires","lunes",12,13.5,-34.5985542,-58.3944784,2021-03-28
"8","Deniro Recoleta, Ciudad de Buenos Aires","lunes",13,18.75,-34.5985542,-58.3944784,2021-03-28
"9","Deniro Recoleta, Ciudad de Buenos Aires","lunes",14,18.75,-34.5985542,-58.3944784,2021-03-28
"10","Deniro Recoleta, Ciudad de Buenos Aires","lunes",15,15,-34.5985542,-58.3944784,2021-03-28
"11","Deniro Recoleta, Ciudad de Buenos Aires","lunes",16,14.25,-34.5985542,-58.3944784,2021-03-28
"12","Deniro Recoleta, Ciudad de Buenos Aires","lunes",17,21,-34.5985542,-58.3944784,2021-03-28
"13","Deniro Recoleta, Ciudad de Buenos Aires","lunes",18,26.25,-34.5985542,-58.3944784,2021-03-28
"14","Deniro Recoleta, Ciudad de Buenos Aires","lunes",19,24.75,-34.5985542,-58.3944784,2021-03-28
"15","Deniro Recoleta, Ciudad de Buenos Aires","lunes",20,30,-34.5985542,-58.3944784,2021-03-28
"16","Deniro Recoleta, Ciudad de Buenos Aires","lunes",21,37.5,-34.5985542,-58.3944784,2021-03-28
"17","Deniro Recoleta, Ciudad de Buenos Aires","lunes",22,36,-34.5985542,-58.3944784,2021-03-28
"18","Deniro Recoleta, Ciudad de Buenos Aires","lunes",23,24,-34.5985542,-58.3944784,2021-03-28
"19","Deniro Recoleta, Ciudad de Buenos Aires","martes",6,0,-34.5985542,-58.3944784,2021-03-28
"20","Deniro Recoleta, Ciudad de Buenos Aires","martes",7,0,-34.5985542,-58.3944784,2021-03-28
"21","Deniro Recoleta, Ciudad de Buenos Aires","martes",8,0,-34.5985542,-58.3944784,2021-03-28
"22","Deniro Recoleta, Ciudad de Buenos Aires","martes",9,0,-34.5985542,-58.3944784,2021-03-28
"23","Deniro Recoleta, Ciudad de Buenos Aires","martes",10,0,-34.5985542,-58.3944784,2021-03-28
"24","Deniro Recoleta, Ciudad de Buenos Aires","martes",11,0,-34.5985542,-58.3944784,2021-03-28
"25","Deniro Recoleta, Ciudad de Buenos Aires","martes",12,28.5,-34.5985542,-58.3944784,2021-03-28
"26","Deniro Recoleta, Ciudad de Buenos Aires","martes",13,34.5,-34.5985542,-58.3944784,2021-03-28
"27","Deniro Recoleta, Ciudad de Buenos Aires","martes",14,33,-34.5985542,-58.3944784,2021-03-28
"28","Deniro Recoleta, Ciudad de Buenos Aires","martes",15,24,-34.5985542,-58.3944784,2021-03-28
"29","Deniro Recoleta, Ciudad de Buenos Aires","martes",16,15,-34.5985542,-58.3944784,2021-03-28
"30","Deniro Recoleta, Ciudad de Buenos Aires","martes",17,10.5,-34.5985542,-58.3944784,2021-03-28
"31","Deniro Recoleta, Ciudad de Buenos Aires","martes",18,13.5,-34.5985542,-58.3944784,2021-03-28
"32","Deniro Recoleta, Ciudad de Buenos Aires","martes",19,21.75,-34.5985542,-58.3944784,2021-03-28
