"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",6,0,-34.5841272,-58.436565,2021-03-28
"2","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",7,0,-34.5841272,-58.436565,2021-03-28
"3","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",8,0,-34.5841272,-58.436565,2021-03-28
"4","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",9,0,-34.5841272,-58.436565,2021-03-28
"5","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",10,0,-34.5841272,-58.436565,2021-03-28
"6","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",11,0,-34.5841272,-58.436565,2021-03-28
"7","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",12,0,-34.5841272,-58.436565,2021-03-28
"8","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",13,0,-34.5841272,-58.436565,2021-03-28
"9","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",14,0,-34.5841272,-58.436565,2021-03-28
"10","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",15,0,-34.5841272,-58.436565,2021-03-28
"11","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",16,0,-34.5841272,-58.436565,2021-03-28
"12","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",17,0,-34.5841272,-58.436565,2021-03-28
"13","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",18,5.25,-34.5841272,-58.436565,2021-03-28
"14","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",19,10.5,-34.5841272,-58.436565,2021-03-28
"15","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",20,15.75,-34.5841272,-58.436565,2021-03-28
"16","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",21,20.25,-34.5841272,-58.436565,2021-03-28
"17","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",22,23.25,-34.5841272,-58.436565,2021-03-28
"18","Distrito Federal Cerveceria, Ciudad de Buenos Aires","lunes",23,24,-34.5841272,-58.436565,2021-03-28
"19","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",0,18,-34.5841272,-58.436565,2021-03-28
"20","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",1,0,-34.5841272,-58.436565,2021-03-28
"21","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",6,0,-34.5841272,-58.436565,2021-03-28
"22","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",7,0,-34.5841272,-58.436565,2021-03-28
"23","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",8,0,-34.5841272,-58.436565,2021-03-28
"24","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",9,0,-34.5841272,-58.436565,2021-03-28
"25","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",10,0,-34.5841272,-58.436565,2021-03-28
"26","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",11,0,-34.5841272,-58.436565,2021-03-28
"27","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",12,0,-34.5841272,-58.436565,2021-03-28
"28","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",13,0,-34.5841272,-58.436565,2021-03-28
"29","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",14,0,-34.5841272,-58.436565,2021-03-28
"30","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",15,0,-34.5841272,-58.436565,2021-03-28
"31","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",16,0,-34.5841272,-58.436565,2021-03-28
"32","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",17,0,-34.5841272,-58.436565,2021-03-28
"33","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",18,6,-34.5841272,-58.436565,2021-03-28
"34","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",19,8.25,-34.5841272,-58.436565,2021-03-28
"35","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",20,9.75,-34.5841272,-58.436565,2021-03-28
"36","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",21,12,-34.5841272,-58.436565,2021-03-28
"37","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",22,12.75,-34.5841272,-58.436565,2021-03-28
"38","Distrito Federal Cerveceria, Ciudad de Buenos Aires","martes",23,12,-34.5841272,-58.436565,2021-03-28
"39","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",0,7.5,-34.5841272,-58.436565,2021-03-28
"40","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",1,0,-34.5841272,-58.436565,2021-03-28
"41","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",6,0,-34.5841272,-58.436565,2021-03-28
"42","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",7,0,-34.5841272,-58.436565,2021-03-28
"43","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",8,0,-34.5841272,-58.436565,2021-03-28
"44","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",9,0,-34.5841272,-58.436565,2021-03-28
"45","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",10,0,-34.5841272,-58.436565,2021-03-28
"46","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",11,0,-34.5841272,-58.436565,2021-03-28
"47","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",12,0,-34.5841272,-58.436565,2021-03-28
"48","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",13,0,-34.5841272,-58.436565,2021-03-28
"49","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",14,0,-34.5841272,-58.436565,2021-03-28
"50","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",15,0,-34.5841272,-58.436565,2021-03-28
"51","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",16,0,-34.5841272,-58.436565,2021-03-28
"52","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",17,0,-34.5841272,-58.436565,2021-03-28
"53","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",18,8.25,-34.5841272,-58.436565,2021-03-28
"54","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",19,14.25,-34.5841272,-58.436565,2021-03-28
"55","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",20,25.5,-34.5841272,-58.436565,2021-03-28
"56","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",21,40.5,-34.5841272,-58.436565,2021-03-28
"57","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",22,51.75,-34.5841272,-58.436565,2021-03-28
"58","Distrito Federal Cerveceria, Ciudad de Buenos Aires","miercoles",23,49.5,-34.5841272,-58.436565,2021-03-28
"59","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",0,36,-34.5841272,-58.436565,2021-03-28
"60","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",1,0,-34.5841272,-58.436565,2021-03-28
"61","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",6,0,-34.5841272,-58.436565,2021-03-28
"62","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",7,0,-34.5841272,-58.436565,2021-03-28
"63","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",8,0,-34.5841272,-58.436565,2021-03-28
"64","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",9,0,-34.5841272,-58.436565,2021-03-28
"65","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",10,0,-34.5841272,-58.436565,2021-03-28
"66","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",11,0,-34.5841272,-58.436565,2021-03-28
"67","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",12,0,-34.5841272,-58.436565,2021-03-28
"68","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",13,0,-34.5841272,-58.436565,2021-03-28
"69","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",14,0,-34.5841272,-58.436565,2021-03-28
"70","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",15,0,-34.5841272,-58.436565,2021-03-28
"71","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",16,0,-34.5841272,-58.436565,2021-03-28
"72","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",17,0,-34.5841272,-58.436565,2021-03-28
"73","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",18,13.5,-34.5841272,-58.436565,2021-03-28
"74","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",19,23.25,-34.5841272,-58.436565,2021-03-28
"75","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",20,34.5,-34.5841272,-58.436565,2021-03-28
"76","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",21,46.5,-34.5841272,-58.436565,2021-03-28
"77","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",22,58.5,-34.5841272,-58.436565,2021-03-28
"78","Distrito Federal Cerveceria, Ciudad de Buenos Aires","jueves",23,63,-34.5841272,-58.436565,2021-03-28
"79","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",0,51,-34.5841272,-58.436565,2021-03-28
"80","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",1,0,-34.5841272,-58.436565,2021-03-28
"81","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",6,0,-34.5841272,-58.436565,2021-03-28
"82","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",7,0,-34.5841272,-58.436565,2021-03-28
"83","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",8,0,-34.5841272,-58.436565,2021-03-28
"84","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",9,0,-34.5841272,-58.436565,2021-03-28
"85","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",10,0,-34.5841272,-58.436565,2021-03-28
"86","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",11,0,-34.5841272,-58.436565,2021-03-28
"87","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",12,0,-34.5841272,-58.436565,2021-03-28
"88","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",13,0,-34.5841272,-58.436565,2021-03-28
"89","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",14,0,-34.5841272,-58.436565,2021-03-28
"90","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",15,0,-34.5841272,-58.436565,2021-03-28
"91","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",16,0,-34.5841272,-58.436565,2021-03-28
"92","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",17,0,-34.5841272,-58.436565,2021-03-28
"93","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",18,9.75,-34.5841272,-58.436565,2021-03-28
"94","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",19,13.5,-34.5841272,-58.436565,2021-03-28
"95","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",20,20.25,-34.5841272,-58.436565,2021-03-28
"96","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",21,35.25,-34.5841272,-58.436565,2021-03-28
"97","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",22,55.5,-34.5841272,-58.436565,2021-03-28
"98","Distrito Federal Cerveceria, Ciudad de Buenos Aires","viernes",23,68.25,-34.5841272,-58.436565,2021-03-28
"99","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",0,63,-34.5841272,-58.436565,2021-03-28
"100","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",1,0,-34.5841272,-58.436565,2021-03-28
"101","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",6,0,-34.5841272,-58.436565,2021-03-28
"102","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",7,0,-34.5841272,-58.436565,2021-03-28
"103","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",8,0,-34.5841272,-58.436565,2021-03-28
"104","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",9,0,-34.5841272,-58.436565,2021-03-28
"105","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",10,0,-34.5841272,-58.436565,2021-03-28
"106","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",11,0,-34.5841272,-58.436565,2021-03-28
"107","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",12,0,-34.5841272,-58.436565,2021-03-28
"108","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",13,0,-34.5841272,-58.436565,2021-03-28
"109","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",14,0,-34.5841272,-58.436565,2021-03-28
"110","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",15,0,-34.5841272,-58.436565,2021-03-28
"111","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",16,0,-34.5841272,-58.436565,2021-03-28
"112","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",17,0,-34.5841272,-58.436565,2021-03-28
"113","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",18,8.25,-34.5841272,-58.436565,2021-03-28
"114","Distrito Federal Cerveceria, Ciudad de Buenos Aires","sabado",19,12,-34.5841272,-58.436565,2021-03-28
