"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Don Boedo, Ciudad de Buenos Aires","lunes",6,0,-34.6231525,-58.4164705,2021-03-26
"2","Don Boedo, Ciudad de Buenos Aires","lunes",7,0,-34.6231525,-58.4164705,2021-03-26
"3","Don Boedo, Ciudad de Buenos Aires","lunes",8,0,-34.6231525,-58.4164705,2021-03-26
"4","Don Boedo, Ciudad de Buenos Aires","lunes",9,1.5,-34.6231525,-58.4164705,2021-03-26
"5","Don Boedo, Ciudad de Buenos Aires","lunes",10,4.5,-34.6231525,-58.4164705,2021-03-26
"6","Don Boedo, Ciudad de Buenos Aires","lunes",11,7.5,-34.6231525,-58.4164705,2021-03-26
"7","Don Boedo, Ciudad de Buenos Aires","lunes",12,9.75,-34.6231525,-58.4164705,2021-03-26
"8","Don Boedo, Ciudad de Buenos Aires","lunes",13,12.75,-34.6231525,-58.4164705,2021-03-26
"9","Don Boedo, Ciudad de Buenos Aires","lunes",14,15,-34.6231525,-58.4164705,2021-03-26
"10","Don Boedo, Ciudad de Buenos Aires","lunes",15,15.75,-34.6231525,-58.4164705,2021-03-26
"11","Don Boedo, Ciudad de Buenos Aires","lunes",16,16.5,-34.6231525,-58.4164705,2021-03-26
"12","Don Boedo, Ciudad de Buenos Aires","lunes",17,17.25,-34.6231525,-58.4164705,2021-03-26
"13","Don Boedo, Ciudad de Buenos Aires","lunes",18,21,-34.6231525,-58.4164705,2021-03-26
"14","Don Boedo, Ciudad de Buenos Aires","lunes",19,30.75,-34.6231525,-58.4164705,2021-03-26
"15","Don Boedo, Ciudad de Buenos Aires","lunes",20,44.25,-34.6231525,-58.4164705,2021-03-26
"16","Don Boedo, Ciudad de Buenos Aires","lunes",21,50.25,-34.6231525,-58.4164705,2021-03-26
"17","Don Boedo, Ciudad de Buenos Aires","lunes",22,42,-34.6231525,-58.4164705,2021-03-26
"18","Don Boedo, Ciudad de Buenos Aires","lunes",23,24,-34.6231525,-58.4164705,2021-03-26
"19","Don Boedo, Ciudad de Buenos Aires","martes",6,0,-34.6231525,-58.4164705,2021-03-26
"20","Don Boedo, Ciudad de Buenos Aires","martes",7,0,-34.6231525,-58.4164705,2021-03-26
"21","Don Boedo, Ciudad de Buenos Aires","martes",8,0,-34.6231525,-58.4164705,2021-03-26
"22","Don Boedo, Ciudad de Buenos Aires","martes",9,1.5,-34.6231525,-58.4164705,2021-03-26
"23","Don Boedo, Ciudad de Buenos Aires","martes",10,5.25,-34.6231525,-58.4164705,2021-03-26
"24","Don Boedo, Ciudad de Buenos Aires","martes",11,11.25,-34.6231525,-58.4164705,2021-03-26
"25","Don Boedo, Ciudad de Buenos Aires","martes",12,15.75,-34.6231525,-58.4164705,2021-03-26
"26","Don Boedo, Ciudad de Buenos Aires","martes",13,19.5,-34.6231525,-58.4164705,2021-03-26
"27","Don Boedo, Ciudad de Buenos Aires","martes",14,19.5,-34.6231525,-58.4164705,2021-03-26
"28","Don Boedo, Ciudad de Buenos Aires","martes",15,17.25,-34.6231525,-58.4164705,2021-03-26
