"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Don Ignacio, Ciudad de Buenos Aires","martes",6,0,-34.6106569,-58.415063,2021-03-26
"2","Don Ignacio, Ciudad de Buenos Aires","martes",7,0,-34.6106569,-58.415063,2021-03-26
"3","Don Ignacio, Ciudad de Buenos Aires","martes",8,0,-34.6106569,-58.415063,2021-03-26
"4","Don Ignacio, Ciudad de Buenos Aires","martes",9,0,-34.6106569,-58.415063,2021-03-26
"5","Don Ignacio, Ciudad de Buenos Aires","martes",10,0,-34.6106569,-58.415063,2021-03-26
"6","Don Ignacio, Ciudad de Buenos Aires","martes",11,0,-34.6106569,-58.415063,2021-03-26
"7","Don Ignacio, Ciudad de Buenos Aires","martes",12,15,-34.6106569,-58.415063,2021-03-26
"8","Don Ignacio, Ciudad de Buenos Aires","martes",13,28.5,-34.6106569,-58.415063,2021-03-26
"9","Don Ignacio, Ciudad de Buenos Aires","martes",14,30.75,-34.6106569,-58.415063,2021-03-26
"10","Don Ignacio, Ciudad de Buenos Aires","martes",15,20.25,-34.6106569,-58.415063,2021-03-26
"11","Don Ignacio, Ciudad de Buenos Aires","martes",16,0,-34.6106569,-58.415063,2021-03-26
"12","Don Ignacio, Ciudad de Buenos Aires","martes",17,0,-34.6106569,-58.415063,2021-03-26
"13","Don Ignacio, Ciudad de Buenos Aires","martes",18,0,-34.6106569,-58.415063,2021-03-26
"14","Don Ignacio, Ciudad de Buenos Aires","martes",19,0,-34.6106569,-58.415063,2021-03-26
"15","Don Ignacio, Ciudad de Buenos Aires","martes",20,21,-34.6106569,-58.415063,2021-03-26
"16","Don Ignacio, Ciudad de Buenos Aires","martes",21,33.75,-34.6106569,-58.415063,2021-03-26
"17","Don Ignacio, Ciudad de Buenos Aires","martes",22,34.5,-34.6106569,-58.415063,2021-03-26
"18","Don Ignacio, Ciudad de Buenos Aires","martes",23,23.25,-34.6106569,-58.415063,2021-03-26
"19","Don Ignacio, Ciudad de Buenos Aires","miercoles",6,0,-34.6106569,-58.415063,2021-03-26
"20","Don Ignacio, Ciudad de Buenos Aires","miercoles",7,0,-34.6106569,-58.415063,2021-03-26
"21","Don Ignacio, Ciudad de Buenos Aires","miercoles",8,0,-34.6106569,-58.415063,2021-03-26
"22","Don Ignacio, Ciudad de Buenos Aires","miercoles",9,0,-34.6106569,-58.415063,2021-03-26
"23","Don Ignacio, Ciudad de Buenos Aires","miercoles",10,0,-34.6106569,-58.415063,2021-03-26
"24","Don Ignacio, Ciudad de Buenos Aires","miercoles",11,0,-34.6106569,-58.415063,2021-03-26
"25","Don Ignacio, Ciudad de Buenos Aires","miercoles",12,15,-34.6106569,-58.415063,2021-03-26
"26","Don Ignacio, Ciudad de Buenos Aires","miercoles",13,32.25,-34.6106569,-58.415063,2021-03-26
"27","Don Ignacio, Ciudad de Buenos Aires","miercoles",14,35.25,-34.6106569,-58.415063,2021-03-26
"28","Don Ignacio, Ciudad de Buenos Aires","miercoles",15,21,-34.6106569,-58.415063,2021-03-26
"29","Don Ignacio, Ciudad de Buenos Aires","miercoles",16,0,-34.6106569,-58.415063,2021-03-26
"30","Don Ignacio, Ciudad de Buenos Aires","miercoles",17,0,-34.6106569,-58.415063,2021-03-26
"31","Don Ignacio, Ciudad de Buenos Aires","miercoles",18,0,-34.6106569,-58.415063,2021-03-26
"32","Don Ignacio, Ciudad de Buenos Aires","miercoles",19,0,-34.6106569,-58.415063,2021-03-26
"33","Don Ignacio, Ciudad de Buenos Aires","miercoles",20,20.25,-34.6106569,-58.415063,2021-03-26
"34","Don Ignacio, Ciudad de Buenos Aires","miercoles",21,34.5,-34.6106569,-58.415063,2021-03-26
"35","Don Ignacio, Ciudad de Buenos Aires","miercoles",22,30.75,-34.6106569,-58.415063,2021-03-26
"36","Don Ignacio, Ciudad de Buenos Aires","miercoles",23,12,-34.6106569,-58.415063,2021-03-26
"37","Don Ignacio, Ciudad de Buenos Aires","jueves",6,0,-34.6106569,-58.415063,2021-03-26
