"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Don Niceto, Ciudad de Buenos Aires","martes",6,0,-34.5891597,-58.4357125,2021-03-26
"2","Don Niceto, Ciudad de Buenos Aires","martes",7,0,-34.5891597,-58.4357125,2021-03-26
"3","Don Niceto, Ciudad de Buenos Aires","martes",8,0,-34.5891597,-58.4357125,2021-03-26
"4","Don Niceto, Ciudad de Buenos Aires","martes",9,0,-34.5891597,-58.4357125,2021-03-26
"5","Don Niceto, Ciudad de Buenos Aires","martes",10,0,-34.5891597,-58.4357125,2021-03-26
"6","Don Niceto, Ciudad de Buenos Aires","martes",11,0,-34.5891597,-58.4357125,2021-03-26
"7","Don Niceto, Ciudad de Buenos Aires","martes",12,0,-34.5891597,-58.4357125,2021-03-26
"8","Don Niceto, Ciudad de Buenos Aires","martes",13,0,-34.5891597,-58.4357125,2021-03-26
"9","Don Niceto, Ciudad de Buenos Aires","martes",14,0,-34.5891597,-58.4357125,2021-03-26
"10","Don Niceto, Ciudad de Buenos Aires","martes",15,0,-34.5891597,-58.4357125,2021-03-26
"11","Don Niceto, Ciudad de Buenos Aires","martes",16,0,-34.5891597,-58.4357125,2021-03-26
"12","Don Niceto, Ciudad de Buenos Aires","martes",17,0,-34.5891597,-58.4357125,2021-03-26
"13","Don Niceto, Ciudad de Buenos Aires","martes",18,0,-34.5891597,-58.4357125,2021-03-26
"14","Don Niceto, Ciudad de Buenos Aires","martes",19,0,-34.5891597,-58.4357125,2021-03-26
"15","Don Niceto, Ciudad de Buenos Aires","martes",20,22.5,-34.5891597,-58.4357125,2021-03-26
"16","Don Niceto, Ciudad de Buenos Aires","martes",21,50.25,-34.5891597,-58.4357125,2021-03-26
"17","Don Niceto, Ciudad de Buenos Aires","martes",22,63,-34.5891597,-58.4357125,2021-03-26
"18","Don Niceto, Ciudad de Buenos Aires","martes",23,43.5,-34.5891597,-58.4357125,2021-03-26
"19","Don Niceto, Ciudad de Buenos Aires","miercoles",6,0,-34.5891597,-58.4357125,2021-03-26
"20","Don Niceto, Ciudad de Buenos Aires","miercoles",7,0,-34.5891597,-58.4357125,2021-03-26
"21","Don Niceto, Ciudad de Buenos Aires","miercoles",8,0,-34.5891597,-58.4357125,2021-03-26
"22","Don Niceto, Ciudad de Buenos Aires","miercoles",9,0,-34.5891597,-58.4357125,2021-03-26
"23","Don Niceto, Ciudad de Buenos Aires","miercoles",10,0,-34.5891597,-58.4357125,2021-03-26
"24","Don Niceto, Ciudad de Buenos Aires","miercoles",11,0,-34.5891597,-58.4357125,2021-03-26
"25","Don Niceto, Ciudad de Buenos Aires","miercoles",12,0,-34.5891597,-58.4357125,2021-03-26
"26","Don Niceto, Ciudad de Buenos Aires","miercoles",13,0,-34.5891597,-58.4357125,2021-03-26
"27","Don Niceto, Ciudad de Buenos Aires","miercoles",14,0,-34.5891597,-58.4357125,2021-03-26
"28","Don Niceto, Ciudad de Buenos Aires","miercoles",15,0,-34.5891597,-58.4357125,2021-03-26
"29","Don Niceto, Ciudad de Buenos Aires","miercoles",16,0,-34.5891597,-58.4357125,2021-03-26
"30","Don Niceto, Ciudad de Buenos Aires","miercoles",17,0,-34.5891597,-58.4357125,2021-03-26
"31","Don Niceto, Ciudad de Buenos Aires","miercoles",18,0,-34.5891597,-58.4357125,2021-03-26
"32","Don Niceto, Ciudad de Buenos Aires","miercoles",19,0,-34.5891597,-58.4357125,2021-03-26
"33","Don Niceto, Ciudad de Buenos Aires","miercoles",20,24,-34.5891597,-58.4357125,2021-03-26
"34","Don Niceto, Ciudad de Buenos Aires","miercoles",21,48.75,-34.5891597,-58.4357125,2021-03-26
"35","Don Niceto, Ciudad de Buenos Aires","miercoles",22,60.75,-34.5891597,-58.4357125,2021-03-26
"36","Don Niceto, Ciudad de Buenos Aires","miercoles",23,45.75,-34.5891597,-58.4357125,2021-03-26
"37","Don Niceto, Ciudad de Buenos Aires","jueves",6,0,-34.5891597,-58.4357125,2021-03-26
"38","Don Niceto, Ciudad de Buenos Aires","jueves",7,0,-34.5891597,-58.4357125,2021-03-26
"39","Don Niceto, Ciudad de Buenos Aires","jueves",8,0,-34.5891597,-58.4357125,2021-03-26
"40","Don Niceto, Ciudad de Buenos Aires","jueves",9,0,-34.5891597,-58.4357125,2021-03-26
"41","Don Niceto, Ciudad de Buenos Aires","jueves",10,0,-34.5891597,-58.4357125,2021-03-26
"42","Don Niceto, Ciudad de Buenos Aires","jueves",11,0,-34.5891597,-58.4357125,2021-03-26
"43","Don Niceto, Ciudad de Buenos Aires","jueves",12,0,-34.5891597,-58.4357125,2021-03-26
"44","Don Niceto, Ciudad de Buenos Aires","jueves",13,0,-34.5891597,-58.4357125,2021-03-26
"45","Don Niceto, Ciudad de Buenos Aires","jueves",14,0,-34.5891597,-58.4357125,2021-03-26
"46","Don Niceto, Ciudad de Buenos Aires","jueves",15,0,-34.5891597,-58.4357125,2021-03-26
"47","Don Niceto, Ciudad de Buenos Aires","jueves",16,0,-34.5891597,-58.4357125,2021-03-26
"48","Don Niceto, Ciudad de Buenos Aires","jueves",17,0,-34.5891597,-58.4357125,2021-03-26
"49","Don Niceto, Ciudad de Buenos Aires","jueves",18,0,-34.5891597,-58.4357125,2021-03-26
"50","Don Niceto, Ciudad de Buenos Aires","jueves",19,0,-34.5891597,-58.4357125,2021-03-26
"51","Don Niceto, Ciudad de Buenos Aires","jueves",20,36.75,-34.5891597,-58.4357125,2021-03-26
"52","Don Niceto, Ciudad de Buenos Aires","jueves",21,57.75,-34.5891597,-58.4357125,2021-03-26
"53","Don Niceto, Ciudad de Buenos Aires","jueves",22,66.75,-34.5891597,-58.4357125,2021-03-26
"54","Don Niceto, Ciudad de Buenos Aires","jueves",23,56.25,-34.5891597,-58.4357125,2021-03-26
"55","Don Niceto, Ciudad de Buenos Aires","viernes",6,0,-34.5891597,-58.4357125,2021-03-26
"56","Don Niceto, Ciudad de Buenos Aires","viernes",7,0,-34.5891597,-58.4357125,2021-03-26
"57","Don Niceto, Ciudad de Buenos Aires","viernes",8,0,-34.5891597,-58.4357125,2021-03-26
"58","Don Niceto, Ciudad de Buenos Aires","viernes",9,0,-34.5891597,-58.4357125,2021-03-26
"59","Don Niceto, Ciudad de Buenos Aires","viernes",10,0,-34.5891597,-58.4357125,2021-03-26
"60","Don Niceto, Ciudad de Buenos Aires","viernes",11,0,-34.5891597,-58.4357125,2021-03-26
"61","Don Niceto, Ciudad de Buenos Aires","viernes",12,0,-34.5891597,-58.4357125,2021-03-26
"62","Don Niceto, Ciudad de Buenos Aires","viernes",13,0,-34.5891597,-58.4357125,2021-03-26
"63","Don Niceto, Ciudad de Buenos Aires","viernes",14,0,-34.5891597,-58.4357125,2021-03-26
"64","Don Niceto, Ciudad de Buenos Aires","viernes",15,0,-34.5891597,-58.4357125,2021-03-26
"65","Don Niceto, Ciudad de Buenos Aires","viernes",16,0,-34.5891597,-58.4357125,2021-03-26
"66","Don Niceto, Ciudad de Buenos Aires","viernes",17,0,-34.5891597,-58.4357125,2021-03-26
"67","Don Niceto, Ciudad de Buenos Aires","viernes",18,0,-34.5891597,-58.4357125,2021-03-26
"68","Don Niceto, Ciudad de Buenos Aires","viernes",19,0,-34.5891597,-58.4357125,2021-03-26
"69","Don Niceto, Ciudad de Buenos Aires","viernes",20,33.75,-34.5891597,-58.4357125,2021-03-26
"70","Don Niceto, Ciudad de Buenos Aires","viernes",21,54,-34.5891597,-58.4357125,2021-03-26
"71","Don Niceto, Ciudad de Buenos Aires","viernes",22,58.5,-34.5891597,-58.4357125,2021-03-26
"72","Don Niceto, Ciudad de Buenos Aires","viernes",23,43.5,-34.5891597,-58.4357125,2021-03-26
"73","Don Niceto, Ciudad de Buenos Aires","sabado",6,0,-34.5891597,-58.4357125,2021-03-26
"74","Don Niceto, Ciudad de Buenos Aires","sabado",7,0,-34.5891597,-58.4357125,2021-03-26
"75","Don Niceto, Ciudad de Buenos Aires","sabado",8,0,-34.5891597,-58.4357125,2021-03-26
"76","Don Niceto, Ciudad de Buenos Aires","sabado",9,0,-34.5891597,-58.4357125,2021-03-26
"77","Don Niceto, Ciudad de Buenos Aires","sabado",10,0,-34.5891597,-58.4357125,2021-03-26
"78","Don Niceto, Ciudad de Buenos Aires","sabado",11,8.25,-34.5891597,-58.4357125,2021-03-26
"79","Don Niceto, Ciudad de Buenos Aires","sabado",12,22.5,-34.5891597,-58.4357125,2021-03-26
