"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Donky Burger, Ciudad de Buenos Aires","lunes",6,0,-34.614731,-58.3700657,2021-03-28
"2","Donky Burger, Ciudad de Buenos Aires","lunes",7,0,-34.614731,-58.3700657,2021-03-28
"3","Donky Burger, Ciudad de Buenos Aires","lunes",8,0,-34.614731,-58.3700657,2021-03-28
"4","Donky Burger, Ciudad de Buenos Aires","lunes",9,0,-34.614731,-58.3700657,2021-03-28
"5","Donky Burger, Ciudad de Buenos Aires","lunes",10,0,-34.614731,-58.3700657,2021-03-28
"6","Donky Burger, Ciudad de Buenos Aires","lunes",11,0,-34.614731,-58.3700657,2021-03-28
"7","Donky Burger, Ciudad de Buenos Aires","lunes",12,0,-34.614731,-58.3700657,2021-03-28
"8","Donky Burger, Ciudad de Buenos Aires","lunes",13,0,-34.614731,-58.3700657,2021-03-28
"9","Donky Burger, Ciudad de Buenos Aires","lunes",14,0,-34.614731,-58.3700657,2021-03-28
"10","Donky Burger, Ciudad de Buenos Aires","lunes",15,0,-34.614731,-58.3700657,2021-03-28
"11","Donky Burger, Ciudad de Buenos Aires","lunes",16,0,-34.614731,-58.3700657,2021-03-28
"12","Donky Burger, Ciudad de Buenos Aires","lunes",17,0,-34.614731,-58.3700657,2021-03-28
"13","Donky Burger, Ciudad de Buenos Aires","lunes",18,0,-34.614731,-58.3700657,2021-03-28
"14","Donky Burger, Ciudad de Buenos Aires","lunes",19,4.5,-34.614731,-58.3700657,2021-03-28
"15","Donky Burger, Ciudad de Buenos Aires","lunes",20,13.5,-34.614731,-58.3700657,2021-03-28
"16","Donky Burger, Ciudad de Buenos Aires","lunes",21,29.25,-34.614731,-58.3700657,2021-03-28
"17","Donky Burger, Ciudad de Buenos Aires","lunes",22,40.5,-34.614731,-58.3700657,2021-03-28
"18","Donky Burger, Ciudad de Buenos Aires","lunes",23,36,-34.614731,-58.3700657,2021-03-28
"19","Donky Burger, Ciudad de Buenos Aires","martes",6,0,-34.614731,-58.3700657,2021-03-28
"20","Donky Burger, Ciudad de Buenos Aires","martes",7,0,-34.614731,-58.3700657,2021-03-28
"21","Donky Burger, Ciudad de Buenos Aires","martes",8,0,-34.614731,-58.3700657,2021-03-28
"22","Donky Burger, Ciudad de Buenos Aires","martes",9,0,-34.614731,-58.3700657,2021-03-28
"23","Donky Burger, Ciudad de Buenos Aires","martes",10,0,-34.614731,-58.3700657,2021-03-28
"24","Donky Burger, Ciudad de Buenos Aires","martes",11,29.25,-34.614731,-58.3700657,2021-03-28
"25","Donky Burger, Ciudad de Buenos Aires","martes",12,51.75,-34.614731,-58.3700657,2021-03-28
"26","Donky Burger, Ciudad de Buenos Aires","martes",13,58.5,-34.614731,-58.3700657,2021-03-28
"27","Donky Burger, Ciudad de Buenos Aires","martes",14,45,-34.614731,-58.3700657,2021-03-28
"28","Donky Burger, Ciudad de Buenos Aires","martes",15,22.5,-34.614731,-58.3700657,2021-03-28
"29","Donky Burger, Ciudad de Buenos Aires","martes",16,9,-34.614731,-58.3700657,2021-03-28
"30","Donky Burger, Ciudad de Buenos Aires","martes",17,4.5,-34.614731,-58.3700657,2021-03-28
"31","Donky Burger, Ciudad de Buenos Aires","martes",18,9,-34.614731,-58.3700657,2021-03-28
"32","Donky Burger, Ciudad de Buenos Aires","martes",19,15.75,-34.614731,-58.3700657,2021-03-28
"33","Donky Burger, Ciudad de Buenos Aires","martes",20,18,-34.614731,-58.3700657,2021-03-28
"34","Donky Burger, Ciudad de Buenos Aires","martes",21,15.75,-34.614731,-58.3700657,2021-03-28
"35","Donky Burger, Ciudad de Buenos Aires","martes",22,24.75,-34.614731,-58.3700657,2021-03-28
"36","Donky Burger, Ciudad de Buenos Aires","martes",23,31.5,-34.614731,-58.3700657,2021-03-28
"37","Donky Burger, Ciudad de Buenos Aires","miercoles",6,0,-34.614731,-58.3700657,2021-03-28
"38","Donky Burger, Ciudad de Buenos Aires","miercoles",7,0,-34.614731,-58.3700657,2021-03-28
"39","Donky Burger, Ciudad de Buenos Aires","miercoles",8,0,-34.614731,-58.3700657,2021-03-28
"40","Donky Burger, Ciudad de Buenos Aires","miercoles",9,0,-34.614731,-58.3700657,2021-03-28
"41","Donky Burger, Ciudad de Buenos Aires","miercoles",10,0,-34.614731,-58.3700657,2021-03-28
"42","Donky Burger, Ciudad de Buenos Aires","miercoles",11,15.75,-34.614731,-58.3700657,2021-03-28
"43","Donky Burger, Ciudad de Buenos Aires","miercoles",12,27,-34.614731,-58.3700657,2021-03-28
"44","Donky Burger, Ciudad de Buenos Aires","miercoles",13,36,-34.614731,-58.3700657,2021-03-28
"45","Donky Burger, Ciudad de Buenos Aires","miercoles",14,36,-34.614731,-58.3700657,2021-03-28
"46","Donky Burger, Ciudad de Buenos Aires","miercoles",15,29.25,-34.614731,-58.3700657,2021-03-28
"47","Donky Burger, Ciudad de Buenos Aires","miercoles",16,15.75,-34.614731,-58.3700657,2021-03-28
"48","Donky Burger, Ciudad de Buenos Aires","miercoles",17,9,-34.614731,-58.3700657,2021-03-28
"49","Donky Burger, Ciudad de Buenos Aires","miercoles",18,9,-34.614731,-58.3700657,2021-03-28
"50","Donky Burger, Ciudad de Buenos Aires","miercoles",19,18,-34.614731,-58.3700657,2021-03-28
"51","Donky Burger, Ciudad de Buenos Aires","miercoles",20,33.75,-34.614731,-58.3700657,2021-03-28
"52","Donky Burger, Ciudad de Buenos Aires","miercoles",21,45,-34.614731,-58.3700657,2021-03-28
"53","Donky Burger, Ciudad de Buenos Aires","miercoles",22,42.75,-34.614731,-58.3700657,2021-03-28
"54","Donky Burger, Ciudad de Buenos Aires","miercoles",23,27,-34.614731,-58.3700657,2021-03-28
"55","Donky Burger, Ciudad de Buenos Aires","jueves",6,0,-34.614731,-58.3700657,2021-03-28
"56","Donky Burger, Ciudad de Buenos Aires","jueves",7,0,-34.614731,-58.3700657,2021-03-28
"57","Donky Burger, Ciudad de Buenos Aires","jueves",8,0,-34.614731,-58.3700657,2021-03-28
"58","Donky Burger, Ciudad de Buenos Aires","jueves",9,0,-34.614731,-58.3700657,2021-03-28
"59","Donky Burger, Ciudad de Buenos Aires","jueves",10,0,-34.614731,-58.3700657,2021-03-28
"60","Donky Burger, Ciudad de Buenos Aires","jueves",11,6.75,-34.614731,-58.3700657,2021-03-28
"61","Donky Burger, Ciudad de Buenos Aires","jueves",12,33.75,-34.614731,-58.3700657,2021-03-28
"62","Donky Burger, Ciudad de Buenos Aires","jueves",13,75,-34.614731,-58.3700657,2021-03-28
"63","Donky Burger, Ciudad de Buenos Aires","jueves",14,72,-34.614731,-58.3700657,2021-03-28
"64","Donky Burger, Ciudad de Buenos Aires","jueves",15,31.5,-34.614731,-58.3700657,2021-03-28
"65","Donky Burger, Ciudad de Buenos Aires","jueves",16,11.25,-34.614731,-58.3700657,2021-03-28
"66","Donky Burger, Ciudad de Buenos Aires","jueves",17,11.25,-34.614731,-58.3700657,2021-03-28
"67","Donky Burger, Ciudad de Buenos Aires","jueves",18,13.5,-34.614731,-58.3700657,2021-03-28
"68","Donky Burger, Ciudad de Buenos Aires","jueves",19,22.5,-34.614731,-58.3700657,2021-03-28
"69","Donky Burger, Ciudad de Buenos Aires","jueves",20,38.25,-34.614731,-58.3700657,2021-03-28
"70","Donky Burger, Ciudad de Buenos Aires","jueves",21,54,-34.614731,-58.3700657,2021-03-28
"71","Donky Burger, Ciudad de Buenos Aires","jueves",22,49.5,-34.614731,-58.3700657,2021-03-28
"72","Donky Burger, Ciudad de Buenos Aires","jueves",23,29.25,-34.614731,-58.3700657,2021-03-28
"73","Donky Burger, Ciudad de Buenos Aires","viernes",6,0,-34.614731,-58.3700657,2021-03-28
"74","Donky Burger, Ciudad de Buenos Aires","viernes",7,0,-34.614731,-58.3700657,2021-03-28
"75","Donky Burger, Ciudad de Buenos Aires","viernes",8,0,-34.614731,-58.3700657,2021-03-28
"76","Donky Burger, Ciudad de Buenos Aires","viernes",9,0,-34.614731,-58.3700657,2021-03-28
"77","Donky Burger, Ciudad de Buenos Aires","viernes",10,0,-34.614731,-58.3700657,2021-03-28
"78","Donky Burger, Ciudad de Buenos Aires","viernes",11,24.75,-34.614731,-58.3700657,2021-03-28
"79","Donky Burger, Ciudad de Buenos Aires","viernes",12,49.5,-34.614731,-58.3700657,2021-03-28
