"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",6,0,-34.5806029,-58.4542632,2021-03-30
"2","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",7,0,-34.5806029,-58.4542632,2021-03-30
"3","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",8,0,-34.5806029,-58.4542632,2021-03-30
"4","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",9,0,-34.5806029,-58.4542632,2021-03-30
"5","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",10,0,-34.5806029,-58.4542632,2021-03-30
"6","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",11,12,-34.5806029,-58.4542632,2021-03-30
"7","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",12,18,-34.5806029,-58.4542632,2021-03-30
"8","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",13,21.75,-34.5806029,-58.4542632,2021-03-30
"9","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",14,24,-34.5806029,-58.4542632,2021-03-30
"10","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",15,20.25,-34.5806029,-58.4542632,2021-03-30
"11","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",16,15.75,-34.5806029,-58.4542632,2021-03-30
"12","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",17,12,-34.5806029,-58.4542632,2021-03-30
"13","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",18,7.5,-34.5806029,-58.4542632,2021-03-30
"14","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",19,9.75,-34.5806029,-58.4542632,2021-03-30
"15","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",20,21.75,-34.5806029,-58.4542632,2021-03-30
"16","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",21,38.25,-34.5806029,-58.4542632,2021-03-30
"17","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",22,32.25,-34.5806029,-58.4542632,2021-03-30
"18","EL GALEON DORADO, Ciudad de Buenos Aires","lunes",23,12,-34.5806029,-58.4542632,2021-03-30
"19","EL GALEON DORADO, Ciudad de Buenos Aires","martes",6,0,-34.5806029,-58.4542632,2021-03-30
"20","EL GALEON DORADO, Ciudad de Buenos Aires","martes",7,0,-34.5806029,-58.4542632,2021-03-30
"21","EL GALEON DORADO, Ciudad de Buenos Aires","martes",8,0,-34.5806029,-58.4542632,2021-03-30
"22","EL GALEON DORADO, Ciudad de Buenos Aires","martes",9,0,-34.5806029,-58.4542632,2021-03-30
"23","EL GALEON DORADO, Ciudad de Buenos Aires","martes",10,0,-34.5806029,-58.4542632,2021-03-30
"24","EL GALEON DORADO, Ciudad de Buenos Aires","martes",11,13.5,-34.5806029,-58.4542632,2021-03-30
"25","EL GALEON DORADO, Ciudad de Buenos Aires","martes",12,21.75,-34.5806029,-58.4542632,2021-03-30
"26","EL GALEON DORADO, Ciudad de Buenos Aires","martes",13,27.75,-34.5806029,-58.4542632,2021-03-30
"27","EL GALEON DORADO, Ciudad de Buenos Aires","martes",14,32.25,-34.5806029,-58.4542632,2021-03-30
"28","EL GALEON DORADO, Ciudad de Buenos Aires","martes",15,27.75,-34.5806029,-58.4542632,2021-03-30
"29","EL GALEON DORADO, Ciudad de Buenos Aires","martes",16,20.25,-34.5806029,-58.4542632,2021-03-30
"30","EL GALEON DORADO, Ciudad de Buenos Aires","martes",17,12,-34.5806029,-58.4542632,2021-03-30
"31","EL GALEON DORADO, Ciudad de Buenos Aires","martes",18,7.5,-34.5806029,-58.4542632,2021-03-30
"32","EL GALEON DORADO, Ciudad de Buenos Aires","martes",19,18,-34.5806029,-58.4542632,2021-03-30
"33","EL GALEON DORADO, Ciudad de Buenos Aires","martes",20,48,-34.5806029,-58.4542632,2021-03-30
"34","EL GALEON DORADO, Ciudad de Buenos Aires","martes",21,58.5,-34.5806029,-58.4542632,2021-03-30
"35","EL GALEON DORADO, Ciudad de Buenos Aires","martes",22,30,-34.5806029,-58.4542632,2021-03-30
"36","EL GALEON DORADO, Ciudad de Buenos Aires","martes",23,7.5,-34.5806029,-58.4542632,2021-03-30
"37","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",6,0,-34.5806029,-58.4542632,2021-03-30
"38","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",7,0,-34.5806029,-58.4542632,2021-03-30
"39","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",8,0,-34.5806029,-58.4542632,2021-03-30
"40","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",9,0,-34.5806029,-58.4542632,2021-03-30
"41","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",10,0,-34.5806029,-58.4542632,2021-03-30
"42","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",11,13.5,-34.5806029,-58.4542632,2021-03-30
"43","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",12,15.75,-34.5806029,-58.4542632,2021-03-30
"44","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",13,21.75,-34.5806029,-58.4542632,2021-03-30
"45","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",14,54,-34.5806029,-58.4542632,2021-03-30
"46","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",15,75,-34.5806029,-58.4542632,2021-03-30
"47","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",16,38.25,-34.5806029,-58.4542632,2021-03-30
"48","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",17,20.25,-34.5806029,-58.4542632,2021-03-30
"49","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",18,26.25,-34.5806029,-58.4542632,2021-03-30
"50","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",19,40.5,-34.5806029,-58.4542632,2021-03-30
"51","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",20,48,-34.5806029,-58.4542632,2021-03-30
"52","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",21,44.25,-34.5806029,-58.4542632,2021-03-30
"53","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",22,32.25,-34.5806029,-58.4542632,2021-03-30
"54","EL GALEON DORADO, Ciudad de Buenos Aires","miercoles",23,18,-34.5806029,-58.4542632,2021-03-30
"55","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",6,0,-34.5806029,-58.4542632,2021-03-30
"56","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",7,0,-34.5806029,-58.4542632,2021-03-30
"57","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",8,0,-34.5806029,-58.4542632,2021-03-30
"58","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",9,0,-34.5806029,-58.4542632,2021-03-30
"59","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",10,0,-34.5806029,-58.4542632,2021-03-30
"60","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",11,15.75,-34.5806029,-58.4542632,2021-03-30
"61","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",12,42,-34.5806029,-58.4542632,2021-03-30
"62","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",13,32.25,-34.5806029,-58.4542632,2021-03-30
"63","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",14,15.75,-34.5806029,-58.4542632,2021-03-30
"64","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",15,18,-34.5806029,-58.4542632,2021-03-30
"65","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",16,21.75,-34.5806029,-58.4542632,2021-03-30
"66","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",17,27.75,-34.5806029,-58.4542632,2021-03-30
"67","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",18,30,-34.5806029,-58.4542632,2021-03-30
"68","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",19,32.25,-34.5806029,-58.4542632,2021-03-30
"69","EL GALEON DORADO, Ciudad de Buenos Aires","jueves",20,32.25,-34.5806029,-58.4542632,2021-03-30
