"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",6,0,-34.5997856,-58.4046121,2021-03-30
"2","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",7,0,-34.5997856,-58.4046121,2021-03-30
"3","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",8,0,-34.5997856,-58.4046121,2021-03-30
"4","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",9,0,-34.5997856,-58.4046121,2021-03-30
"5","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",10,0,-34.5997856,-58.4046121,2021-03-30
"6","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",11,0,-34.5997856,-58.4046121,2021-03-30
"7","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",12,19.5,-34.5997856,-58.4046121,2021-03-30
"8","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",13,57.75,-34.5997856,-58.4046121,2021-03-30
"9","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",14,70.5,-34.5997856,-58.4046121,2021-03-30
"10","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",15,41.25,-34.5997856,-58.4046121,2021-03-30
"11","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",16,0,-34.5997856,-58.4046121,2021-03-30
"12","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",17,0,-34.5997856,-58.4046121,2021-03-30
"13","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",18,0,-34.5997856,-58.4046121,2021-03-30
"14","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",19,0,-34.5997856,-58.4046121,2021-03-30
"15","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",20,0,-34.5997856,-58.4046121,2021-03-30
"16","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",21,0,-34.5997856,-58.4046121,2021-03-30
"17","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",22,0,-34.5997856,-58.4046121,2021-03-30
"18","El Angelito Cocina Peruana, Ciudad de Buenos Aires","lunes",23,0,-34.5997856,-58.4046121,2021-03-30
"19","El Angelito Cocina Peruana, Ciudad de Buenos Aires","martes",6,0,-34.5997856,-58.4046121,2021-03-30
"20","El Angelito Cocina Peruana, Ciudad de Buenos Aires","martes",7,0,-34.5997856,-58.4046121,2021-03-30
"21","El Angelito Cocina Peruana, Ciudad de Buenos Aires","martes",8,0,-34.5997856,-58.4046121,2021-03-30
