"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",5,0,-34.600326,-58.4148733,2021-03-29
"2","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",6,0.75,-34.600326,-58.4148733,2021-03-29
"3","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",7,1.5,-34.600326,-58.4148733,2021-03-29
"4","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",8,1.5,-34.600326,-58.4148733,2021-03-29
"5","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",9,1.5,-34.600326,-58.4148733,2021-03-29
"6","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",10,1.5,-34.600326,-58.4148733,2021-03-29
"7","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",11,1.5,-34.600326,-58.4148733,2021-03-29
"8","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",12,1.5,-34.600326,-58.4148733,2021-03-29
"9","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",13,1.5,-34.600326,-58.4148733,2021-03-29
"10","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",14,1.5,-34.600326,-58.4148733,2021-03-29
"11","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",15,1.5,-34.600326,-58.4148733,2021-03-29
"12","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",16,1.5,-34.600326,-58.4148733,2021-03-29
"13","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",17,3,-34.600326,-58.4148733,2021-03-29
"14","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",18,8.25,-34.600326,-58.4148733,2021-03-29
"15","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",19,18.75,-34.600326,-58.4148733,2021-03-29
"16","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",20,27,-34.600326,-58.4148733,2021-03-29
"17","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",21,30,-34.600326,-58.4148733,2021-03-29
"18","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",22,28.5,-34.600326,-58.4148733,2021-03-29
"19","El Bar de Kowalski, Ciudad de Buenos Aires","lunes",23,23.25,-34.600326,-58.4148733,2021-03-29
"20","El Bar de Kowalski, Ciudad de Buenos Aires","martes",0,15,-34.600326,-58.4148733,2021-03-29
"21","El Bar de Kowalski, Ciudad de Buenos Aires","martes",1,6.75,-34.600326,-58.4148733,2021-03-29
"22","El Bar de Kowalski, Ciudad de Buenos Aires","martes",6,0,-34.600326,-58.4148733,2021-03-29
"23","El Bar de Kowalski, Ciudad de Buenos Aires","martes",7,0,-34.600326,-58.4148733,2021-03-29
"24","El Bar de Kowalski, Ciudad de Buenos Aires","martes",8,0,-34.600326,-58.4148733,2021-03-29
"25","El Bar de Kowalski, Ciudad de Buenos Aires","martes",9,0,-34.600326,-58.4148733,2021-03-29
