"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",6,0,-34.5715383,-58.4542736,2021-03-26
"2","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",7,0,-34.5715383,-58.4542736,2021-03-26
"3","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",8,0,-34.5715383,-58.4542736,2021-03-26
"4","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",9,0.75,-34.5715383,-58.4542736,2021-03-26
"5","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",10,0.75,-34.5715383,-58.4542736,2021-03-26
"6","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",11,2.25,-34.5715383,-58.4542736,2021-03-26
"7","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",12,11.25,-34.5715383,-58.4542736,2021-03-26
"8","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",13,23.25,-34.5715383,-58.4542736,2021-03-26
"9","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",14,21.75,-34.5715383,-58.4542736,2021-03-26
"10","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",15,11.25,-34.5715383,-58.4542736,2021-03-26
"11","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",16,4.5,-34.5715383,-58.4542736,2021-03-26
"12","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",17,3,-34.5715383,-58.4542736,2021-03-26
"13","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",18,0,-34.5715383,-58.4542736,2021-03-26
"14","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",19,0,-34.5715383,-58.4542736,2021-03-26
"15","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",20,0,-34.5715383,-58.4542736,2021-03-26
"16","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",21,0,-34.5715383,-58.4542736,2021-03-26
"17","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",22,0,-34.5715383,-58.4542736,2021-03-26
"18","El Cocilon del Clu, Ciudad de Buenos Aires","lunes",23,0,-34.5715383,-58.4542736,2021-03-26
"19","El Cocilon del Clu, Ciudad de Buenos Aires","martes",6,0,-34.5715383,-58.4542736,2021-03-26
"20","El Cocilon del Clu, Ciudad de Buenos Aires","martes",7,0,-34.5715383,-58.4542736,2021-03-26
"21","El Cocilon del Clu, Ciudad de Buenos Aires","martes",8,0,-34.5715383,-58.4542736,2021-03-26
"22","El Cocilon del Clu, Ciudad de Buenos Aires","martes",9,0.75,-34.5715383,-58.4542736,2021-03-26
"23","El Cocilon del Clu, Ciudad de Buenos Aires","martes",10,0.75,-34.5715383,-58.4542736,2021-03-26
"24","El Cocilon del Clu, Ciudad de Buenos Aires","martes",11,3.75,-34.5715383,-58.4542736,2021-03-26
"25","El Cocilon del Clu, Ciudad de Buenos Aires","martes",12,9.75,-34.5715383,-58.4542736,2021-03-26
"26","El Cocilon del Clu, Ciudad de Buenos Aires","martes",13,16.5,-34.5715383,-58.4542736,2021-03-26
"27","El Cocilon del Clu, Ciudad de Buenos Aires","martes",14,19.5,-34.5715383,-58.4542736,2021-03-26
"28","El Cocilon del Clu, Ciudad de Buenos Aires","martes",15,15,-34.5715383,-58.4542736,2021-03-26
"29","El Cocilon del Clu, Ciudad de Buenos Aires","martes",16,9.75,-34.5715383,-58.4542736,2021-03-26
"30","El Cocilon del Clu, Ciudad de Buenos Aires","martes",17,6.75,-34.5715383,-58.4542736,2021-03-26
"31","El Cocilon del Clu, Ciudad de Buenos Aires","martes",18,8.25,-34.5715383,-58.4542736,2021-03-26
"32","El Cocilon del Clu, Ciudad de Buenos Aires","martes",19,15.75,-34.5715383,-58.4542736,2021-03-26
"33","El Cocilon del Clu, Ciudad de Buenos Aires","martes",20,29.25,-34.5715383,-58.4542736,2021-03-26
"34","El Cocilon del Clu, Ciudad de Buenos Aires","martes",21,38.25,-34.5715383,-58.4542736,2021-03-26
"35","El Cocilon del Clu, Ciudad de Buenos Aires","martes",22,33.75,-34.5715383,-58.4542736,2021-03-26
"36","El Cocilon del Clu, Ciudad de Buenos Aires","martes",23,18,-34.5715383,-58.4542736,2021-03-26
"37","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",6,0,-34.5715383,-58.4542736,2021-03-26
"38","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",7,0,-34.5715383,-58.4542736,2021-03-26
"39","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",8,0,-34.5715383,-58.4542736,2021-03-26
"40","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",9,0.75,-34.5715383,-58.4542736,2021-03-26
"41","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",10,2.25,-34.5715383,-58.4542736,2021-03-26
"42","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",11,6,-34.5715383,-58.4542736,2021-03-26
"43","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",12,9.75,-34.5715383,-58.4542736,2021-03-26
"44","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",13,12.75,-34.5715383,-58.4542736,2021-03-26
"45","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",14,15,-34.5715383,-58.4542736,2021-03-26
"46","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",15,14.25,-34.5715383,-58.4542736,2021-03-26
"47","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",16,11.25,-34.5715383,-58.4542736,2021-03-26
"48","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",17,7.5,-34.5715383,-58.4542736,2021-03-26
"49","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",18,6,-34.5715383,-58.4542736,2021-03-26
"50","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",19,12,-34.5715383,-58.4542736,2021-03-26
"51","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",20,28.5,-34.5715383,-58.4542736,2021-03-26
"52","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",21,47.25,-34.5715383,-58.4542736,2021-03-26
"53","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",22,48.75,-34.5715383,-58.4542736,2021-03-26
"54","El Cocilon del Clu, Ciudad de Buenos Aires","miercoles",23,32.25,-34.5715383,-58.4542736,2021-03-26
"55","El Cocilon del Clu, Ciudad de Buenos Aires","jueves",6,0,-34.5715383,-58.4542736,2021-03-26
"56","El Cocilon del Clu, Ciudad de Buenos Aires","jueves",7,0,-34.5715383,-58.4542736,2021-03-26
"57","El Cocilon del Clu, Ciudad de Buenos Aires","jueves",8,0,-34.5715383,-58.4542736,2021-03-26
"58","El Cocilon del Clu, Ciudad de Buenos Aires","jueves",9,0.75,-34.5715383,-58.4542736,2021-03-26
"59","El Cocilon del Clu, Ciudad de Buenos Aires","jueves",10,2.25,-34.5715383,-58.4542736,2021-03-26
"60","El Cocilon del Clu, Ciudad de Buenos Aires","jueves",11,6.75,-34.5715383,-58.4542736,2021-03-26
"61","El Cocilon del Clu, Ciudad de Buenos Aires","jueves",12,12.75,-34.5715383,-58.4542736,2021-03-26
"62","El Cocilon del Clu, Ciudad de Buenos Aires","jueves",13,17.25,-34.5715383,-58.4542736,2021-03-26
"63","El Cocilon del Clu, Ciudad de Buenos Aires","jueves",14,18.75,-34.5715383,-58.4542736,2021-03-26
