"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Cocoroco, Ciudad de Buenos Aires","lunes",6,0,-34.5611297,-58.4602025,2021-03-28
"2","El Cocoroco, Ciudad de Buenos Aires","lunes",7,0,-34.5611297,-58.4602025,2021-03-28
"3","El Cocoroco, Ciudad de Buenos Aires","lunes",8,0,-34.5611297,-58.4602025,2021-03-28
"4","El Cocoroco, Ciudad de Buenos Aires","lunes",9,0,-34.5611297,-58.4602025,2021-03-28
"5","El Cocoroco, Ciudad de Buenos Aires","lunes",10,0,-34.5611297,-58.4602025,2021-03-28
"6","El Cocoroco, Ciudad de Buenos Aires","lunes",11,0,-34.5611297,-58.4602025,2021-03-28
"7","El Cocoroco, Ciudad de Buenos Aires","lunes",12,9.75,-34.5611297,-58.4602025,2021-03-28
"8","El Cocoroco, Ciudad de Buenos Aires","lunes",13,17.25,-34.5611297,-58.4602025,2021-03-28
"9","El Cocoroco, Ciudad de Buenos Aires","lunes",14,23.25,-34.5611297,-58.4602025,2021-03-28
"10","El Cocoroco, Ciudad de Buenos Aires","lunes",15,26.25,-34.5611297,-58.4602025,2021-03-28
"11","El Cocoroco, Ciudad de Buenos Aires","lunes",16,25.5,-34.5611297,-58.4602025,2021-03-28
"12","El Cocoroco, Ciudad de Buenos Aires","lunes",17,21,-34.5611297,-58.4602025,2021-03-28
"13","El Cocoroco, Ciudad de Buenos Aires","lunes",18,16.5,-34.5611297,-58.4602025,2021-03-28
"14","El Cocoroco, Ciudad de Buenos Aires","lunes",19,17.25,-34.5611297,-58.4602025,2021-03-28
"15","El Cocoroco, Ciudad de Buenos Aires","lunes",20,26.25,-34.5611297,-58.4602025,2021-03-28
"16","El Cocoroco, Ciudad de Buenos Aires","lunes",21,32.25,-34.5611297,-58.4602025,2021-03-28
"17","El Cocoroco, Ciudad de Buenos Aires","lunes",22,24.75,-34.5611297,-58.4602025,2021-03-28
"18","El Cocoroco, Ciudad de Buenos Aires","lunes",23,9.75,-34.5611297,-58.4602025,2021-03-28
"19","El Cocoroco, Ciudad de Buenos Aires","martes",6,0,-34.5611297,-58.4602025,2021-03-28
"20","El Cocoroco, Ciudad de Buenos Aires","martes",7,0,-34.5611297,-58.4602025,2021-03-28
"21","El Cocoroco, Ciudad de Buenos Aires","martes",8,0,-34.5611297,-58.4602025,2021-03-28
"22","El Cocoroco, Ciudad de Buenos Aires","martes",9,0,-34.5611297,-58.4602025,2021-03-28
"23","El Cocoroco, Ciudad de Buenos Aires","martes",10,0,-34.5611297,-58.4602025,2021-03-28
"24","El Cocoroco, Ciudad de Buenos Aires","martes",11,0,-34.5611297,-58.4602025,2021-03-28
"25","El Cocoroco, Ciudad de Buenos Aires","martes",12,9,-34.5611297,-58.4602025,2021-03-28
"26","El Cocoroco, Ciudad de Buenos Aires","martes",13,18.75,-34.5611297,-58.4602025,2021-03-28
"27","El Cocoroco, Ciudad de Buenos Aires","martes",14,27,-34.5611297,-58.4602025,2021-03-28
"28","El Cocoroco, Ciudad de Buenos Aires","martes",15,29.25,-34.5611297,-58.4602025,2021-03-28
"29","El Cocoroco, Ciudad de Buenos Aires","martes",16,24,-34.5611297,-58.4602025,2021-03-28
"30","El Cocoroco, Ciudad de Buenos Aires","martes",17,17.25,-34.5611297,-58.4602025,2021-03-28
"31","El Cocoroco, Ciudad de Buenos Aires","martes",18,15.75,-34.5611297,-58.4602025,2021-03-28
"32","El Cocoroco, Ciudad de Buenos Aires","martes",19,21,-34.5611297,-58.4602025,2021-03-28
"33","El Cocoroco, Ciudad de Buenos Aires","martes",20,30.75,-34.5611297,-58.4602025,2021-03-28
"34","El Cocoroco, Ciudad de Buenos Aires","martes",21,37.5,-34.5611297,-58.4602025,2021-03-28
"35","El Cocoroco, Ciudad de Buenos Aires","martes",22,34.5,-34.5611297,-58.4602025,2021-03-28
"36","El Cocoroco, Ciudad de Buenos Aires","martes",23,24,-34.5611297,-58.4602025,2021-03-28
"37","El Cocoroco, Ciudad de Buenos Aires","miercoles",6,0,-34.5611297,-58.4602025,2021-03-28
"38","El Cocoroco, Ciudad de Buenos Aires","miercoles",7,0,-34.5611297,-58.4602025,2021-03-28
"39","El Cocoroco, Ciudad de Buenos Aires","miercoles",8,0,-34.5611297,-58.4602025,2021-03-28
"40","El Cocoroco, Ciudad de Buenos Aires","miercoles",9,0,-34.5611297,-58.4602025,2021-03-28
"41","El Cocoroco, Ciudad de Buenos Aires","miercoles",10,0,-34.5611297,-58.4602025,2021-03-28
"42","El Cocoroco, Ciudad de Buenos Aires","miercoles",11,0,-34.5611297,-58.4602025,2021-03-28
"43","El Cocoroco, Ciudad de Buenos Aires","miercoles",12,9.75,-34.5611297,-58.4602025,2021-03-28
"44","El Cocoroco, Ciudad de Buenos Aires","miercoles",13,17.25,-34.5611297,-58.4602025,2021-03-28
"45","El Cocoroco, Ciudad de Buenos Aires","miercoles",14,24.75,-34.5611297,-58.4602025,2021-03-28
"46","El Cocoroco, Ciudad de Buenos Aires","miercoles",15,29.25,-34.5611297,-58.4602025,2021-03-28
"47","El Cocoroco, Ciudad de Buenos Aires","miercoles",16,28.5,-34.5611297,-58.4602025,2021-03-28
"48","El Cocoroco, Ciudad de Buenos Aires","miercoles",17,24,-34.5611297,-58.4602025,2021-03-28
"49","El Cocoroco, Ciudad de Buenos Aires","miercoles",18,21,-34.5611297,-58.4602025,2021-03-28
"50","El Cocoroco, Ciudad de Buenos Aires","miercoles",19,23.25,-34.5611297,-58.4602025,2021-03-28
"51","El Cocoroco, Ciudad de Buenos Aires","miercoles",20,28.5,-34.5611297,-58.4602025,2021-03-28
"52","El Cocoroco, Ciudad de Buenos Aires","miercoles",21,30.75,-34.5611297,-58.4602025,2021-03-28
"53","El Cocoroco, Ciudad de Buenos Aires","miercoles",22,24.75,-34.5611297,-58.4602025,2021-03-28
"54","El Cocoroco, Ciudad de Buenos Aires","miercoles",23,13.5,-34.5611297,-58.4602025,2021-03-28
"55","El Cocoroco, Ciudad de Buenos Aires","jueves",6,0,-34.5611297,-58.4602025,2021-03-28
"56","El Cocoroco, Ciudad de Buenos Aires","jueves",7,0,-34.5611297,-58.4602025,2021-03-28
"57","El Cocoroco, Ciudad de Buenos Aires","jueves",8,0,-34.5611297,-58.4602025,2021-03-28
"58","El Cocoroco, Ciudad de Buenos Aires","jueves",9,0,-34.5611297,-58.4602025,2021-03-28
"59","El Cocoroco, Ciudad de Buenos Aires","jueves",10,0,-34.5611297,-58.4602025,2021-03-28
"60","El Cocoroco, Ciudad de Buenos Aires","jueves",11,0,-34.5611297,-58.4602025,2021-03-28
"61","El Cocoroco, Ciudad de Buenos Aires","jueves",12,13.5,-34.5611297,-58.4602025,2021-03-28
"62","El Cocoroco, Ciudad de Buenos Aires","jueves",13,27,-34.5611297,-58.4602025,2021-03-28
"63","El Cocoroco, Ciudad de Buenos Aires","jueves",14,35.25,-34.5611297,-58.4602025,2021-03-28
"64","El Cocoroco, Ciudad de Buenos Aires","jueves",15,31.5,-34.5611297,-58.4602025,2021-03-28
"65","El Cocoroco, Ciudad de Buenos Aires","jueves",16,22.5,-34.5611297,-58.4602025,2021-03-28
"66","El Cocoroco, Ciudad de Buenos Aires","jueves",17,16.5,-34.5611297,-58.4602025,2021-03-28
"67","El Cocoroco, Ciudad de Buenos Aires","jueves",18,18.75,-34.5611297,-58.4602025,2021-03-28
"68","El Cocoroco, Ciudad de Buenos Aires","jueves",19,25.5,-34.5611297,-58.4602025,2021-03-28
"69","El Cocoroco, Ciudad de Buenos Aires","jueves",20,31.5,-34.5611297,-58.4602025,2021-03-28
"70","El Cocoroco, Ciudad de Buenos Aires","jueves",21,32.25,-34.5611297,-58.4602025,2021-03-28
