"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Desembarco, Ciudad de Buenos Aires","lunes",6,0,-34.6209124,-58.4195756,2021-03-28
"2","El Desembarco, Ciudad de Buenos Aires","lunes",7,0,-34.6209124,-58.4195756,2021-03-28
"3","El Desembarco, Ciudad de Buenos Aires","lunes",8,0,-34.6209124,-58.4195756,2021-03-28
"4","El Desembarco, Ciudad de Buenos Aires","lunes",9,0,-34.6209124,-58.4195756,2021-03-28
"5","El Desembarco, Ciudad de Buenos Aires","lunes",10,0,-34.6209124,-58.4195756,2021-03-28
"6","El Desembarco, Ciudad de Buenos Aires","lunes",11,0,-34.6209124,-58.4195756,2021-03-28
"7","El Desembarco, Ciudad de Buenos Aires","lunes",12,5.25,-34.6209124,-58.4195756,2021-03-28
"8","El Desembarco, Ciudad de Buenos Aires","lunes",13,7.5,-34.6209124,-58.4195756,2021-03-28
"9","El Desembarco, Ciudad de Buenos Aires","lunes",14,9,-34.6209124,-58.4195756,2021-03-28
"10","El Desembarco, Ciudad de Buenos Aires","lunes",15,9,-34.6209124,-58.4195756,2021-03-28
"11","El Desembarco, Ciudad de Buenos Aires","lunes",16,8.25,-34.6209124,-58.4195756,2021-03-28
"12","El Desembarco, Ciudad de Buenos Aires","lunes",17,7.5,-34.6209124,-58.4195756,2021-03-28
"13","El Desembarco, Ciudad de Buenos Aires","lunes",18,6.75,-34.6209124,-58.4195756,2021-03-28
"14","El Desembarco, Ciudad de Buenos Aires","lunes",19,11.25,-34.6209124,-58.4195756,2021-03-28
"15","El Desembarco, Ciudad de Buenos Aires","lunes",20,22.5,-34.6209124,-58.4195756,2021-03-28
"16","El Desembarco, Ciudad de Buenos Aires","lunes",21,36.75,-34.6209124,-58.4195756,2021-03-28
"17","El Desembarco, Ciudad de Buenos Aires","lunes",22,40.5,-34.6209124,-58.4195756,2021-03-28
"18","El Desembarco, Ciudad de Buenos Aires","lunes",23,29.25,-34.6209124,-58.4195756,2021-03-28
"19","El Desembarco, Ciudad de Buenos Aires","martes",6,0,-34.6209124,-58.4195756,2021-03-28
"20","El Desembarco, Ciudad de Buenos Aires","martes",7,0,-34.6209124,-58.4195756,2021-03-28
"21","El Desembarco, Ciudad de Buenos Aires","martes",8,0,-34.6209124,-58.4195756,2021-03-28
"22","El Desembarco, Ciudad de Buenos Aires","martes",9,0,-34.6209124,-58.4195756,2021-03-28
"23","El Desembarco, Ciudad de Buenos Aires","martes",10,0,-34.6209124,-58.4195756,2021-03-28
"24","El Desembarco, Ciudad de Buenos Aires","martes",11,0,-34.6209124,-58.4195756,2021-03-28
"25","El Desembarco, Ciudad de Buenos Aires","martes",12,6,-34.6209124,-58.4195756,2021-03-28
"26","El Desembarco, Ciudad de Buenos Aires","martes",13,7.5,-34.6209124,-58.4195756,2021-03-28
