"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Huracan, Ciudad de Buenos Aires","lunes",6,0,-34.6363622,-58.4023381,2021-03-27
"2","El Huracan, Ciudad de Buenos Aires","lunes",7,0,-34.6363622,-58.4023381,2021-03-27
"3","El Huracan, Ciudad de Buenos Aires","lunes",8,9,-34.6363622,-58.4023381,2021-03-27
"4","El Huracan, Ciudad de Buenos Aires","lunes",9,16.5,-34.6363622,-58.4023381,2021-03-27
"5","El Huracan, Ciudad de Buenos Aires","lunes",10,27.75,-34.6363622,-58.4023381,2021-03-27
"6","El Huracan, Ciudad de Buenos Aires","lunes",11,40.5,-34.6363622,-58.4023381,2021-03-27
"7","El Huracan, Ciudad de Buenos Aires","lunes",12,54,-34.6363622,-58.4023381,2021-03-27
"8","El Huracan, Ciudad de Buenos Aires","lunes",13,61.5,-34.6363622,-58.4023381,2021-03-27
"9","El Huracan, Ciudad de Buenos Aires","lunes",14,60.75,-34.6363622,-58.4023381,2021-03-27
"10","El Huracan, Ciudad de Buenos Aires","lunes",15,51,-34.6363622,-58.4023381,2021-03-27
"11","El Huracan, Ciudad de Buenos Aires","lunes",16,37.5,-34.6363622,-58.4023381,2021-03-27
"12","El Huracan, Ciudad de Buenos Aires","lunes",17,24,-34.6363622,-58.4023381,2021-03-27
"13","El Huracan, Ciudad de Buenos Aires","lunes",18,15,-34.6363622,-58.4023381,2021-03-27
"14","El Huracan, Ciudad de Buenos Aires","lunes",19,16.5,-34.6363622,-58.4023381,2021-03-27
"15","El Huracan, Ciudad de Buenos Aires","lunes",20,27.75,-34.6363622,-58.4023381,2021-03-27
"16","El Huracan, Ciudad de Buenos Aires","lunes",21,38.25,-34.6363622,-58.4023381,2021-03-27
"17","El Huracan, Ciudad de Buenos Aires","lunes",22,36,-34.6363622,-58.4023381,2021-03-27
"18","El Huracan, Ciudad de Buenos Aires","lunes",23,21.75,-34.6363622,-58.4023381,2021-03-27
"19","El Huracan, Ciudad de Buenos Aires","martes",6,0,-34.6363622,-58.4023381,2021-03-27
"20","El Huracan, Ciudad de Buenos Aires","martes",7,0,-34.6363622,-58.4023381,2021-03-27
"21","El Huracan, Ciudad de Buenos Aires","martes",8,15.75,-34.6363622,-58.4023381,2021-03-27
"22","El Huracan, Ciudad de Buenos Aires","martes",9,21,-34.6363622,-58.4023381,2021-03-27
"23","El Huracan, Ciudad de Buenos Aires","martes",10,28.5,-34.6363622,-58.4023381,2021-03-27
"24","El Huracan, Ciudad de Buenos Aires","martes",11,38.25,-34.6363622,-58.4023381,2021-03-27
"25","El Huracan, Ciudad de Buenos Aires","martes",12,46.5,-34.6363622,-58.4023381,2021-03-27
"26","El Huracan, Ciudad de Buenos Aires","martes",13,49.5,-34.6363622,-58.4023381,2021-03-27
"27","El Huracan, Ciudad de Buenos Aires","martes",14,47.25,-34.6363622,-58.4023381,2021-03-27
"28","El Huracan, Ciudad de Buenos Aires","martes",15,39.75,-34.6363622,-58.4023381,2021-03-27
"29","El Huracan, Ciudad de Buenos Aires","martes",16,30.75,-34.6363622,-58.4023381,2021-03-27
"30","El Huracan, Ciudad de Buenos Aires","martes",17,24.75,-34.6363622,-58.4023381,2021-03-27
"31","El Huracan, Ciudad de Buenos Aires","martes",18,24,-34.6363622,-58.4023381,2021-03-27
"32","El Huracan, Ciudad de Buenos Aires","martes",19,27.75,-34.6363622,-58.4023381,2021-03-27
"33","El Huracan, Ciudad de Buenos Aires","martes",20,31.5,-34.6363622,-58.4023381,2021-03-27
"34","El Huracan, Ciudad de Buenos Aires","martes",21,33,-34.6363622,-58.4023381,2021-03-27
"35","El Huracan, Ciudad de Buenos Aires","martes",22,28.5,-34.6363622,-58.4023381,2021-03-27
"36","El Huracan, Ciudad de Buenos Aires","martes",23,21,-34.6363622,-58.4023381,2021-03-27
"37","El Huracan, Ciudad de Buenos Aires","miercoles",6,0,-34.6363622,-58.4023381,2021-03-27
"38","El Huracan, Ciudad de Buenos Aires","miercoles",7,0,-34.6363622,-58.4023381,2021-03-27
