"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",6,0,-34.6383418,-58.42515,2021-03-26
"2","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",7,0,-34.6383418,-58.42515,2021-03-26
"3","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",8,0,-34.6383418,-58.42515,2021-03-26
"4","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",9,0,-34.6383418,-58.42515,2021-03-26
"5","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",10,0,-34.6383418,-58.42515,2021-03-26
"6","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",11,0,-34.6383418,-58.42515,2021-03-26
"7","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",12,0,-34.6383418,-58.42515,2021-03-26
"8","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",13,0,-34.6383418,-58.42515,2021-03-26
"9","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",14,0,-34.6383418,-58.42515,2021-03-26
"10","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",15,0,-34.6383418,-58.42515,2021-03-26
"11","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",16,0,-34.6383418,-58.42515,2021-03-26
"12","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",17,0,-34.6383418,-58.42515,2021-03-26
"13","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",18,0,-34.6383418,-58.42515,2021-03-26
"14","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",19,0,-34.6383418,-58.42515,2021-03-26
"15","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",20,29.25,-34.6383418,-58.42515,2021-03-26
"16","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",21,44.25,-34.6383418,-58.42515,2021-03-26
"17","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",22,45.75,-34.6383418,-58.42515,2021-03-26
"18","El Nuevo Miguelito, Ciudad de Buenos Aires","miercoles",23,30.75,-34.6383418,-58.42515,2021-03-26
"19","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",6,0,-34.6383418,-58.42515,2021-03-26
"20","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",7,0,-34.6383418,-58.42515,2021-03-26
"21","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",8,0,-34.6383418,-58.42515,2021-03-26
"22","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",9,0,-34.6383418,-58.42515,2021-03-26
"23","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",10,0,-34.6383418,-58.42515,2021-03-26
"24","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",11,0,-34.6383418,-58.42515,2021-03-26
"25","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",12,0,-34.6383418,-58.42515,2021-03-26
"26","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",13,0,-34.6383418,-58.42515,2021-03-26
"27","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",14,0,-34.6383418,-58.42515,2021-03-26
"28","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",15,0,-34.6383418,-58.42515,2021-03-26
"29","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",16,0,-34.6383418,-58.42515,2021-03-26
"30","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",17,0,-34.6383418,-58.42515,2021-03-26
"31","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",18,0,-34.6383418,-58.42515,2021-03-26
"32","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",19,0,-34.6383418,-58.42515,2021-03-26
"33","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",20,31.5,-34.6383418,-58.42515,2021-03-26
"34","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",21,54,-34.6383418,-58.42515,2021-03-26
"35","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",22,58.5,-34.6383418,-58.42515,2021-03-26
"36","El Nuevo Miguelito, Ciudad de Buenos Aires","jueves",23,39.75,-34.6383418,-58.42515,2021-03-26
"37","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",6,0,-34.6383418,-58.42515,2021-03-26
"38","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",7,0,-34.6383418,-58.42515,2021-03-26
"39","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",8,0,-34.6383418,-58.42515,2021-03-26
"40","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",9,0,-34.6383418,-58.42515,2021-03-26
"41","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",10,0,-34.6383418,-58.42515,2021-03-26
"42","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",11,0,-34.6383418,-58.42515,2021-03-26
"43","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",12,16.5,-34.6383418,-58.42515,2021-03-26
"44","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",13,26.25,-34.6383418,-58.42515,2021-03-26
"45","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",14,27.75,-34.6383418,-58.42515,2021-03-26
"46","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",15,21,-34.6383418,-58.42515,2021-03-26
"47","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",16,0,-34.6383418,-58.42515,2021-03-26
"48","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",17,0,-34.6383418,-58.42515,2021-03-26
"49","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",18,0,-34.6383418,-58.42515,2021-03-26
"50","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",19,0,-34.6383418,-58.42515,2021-03-26
"51","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",20,32.25,-34.6383418,-58.42515,2021-03-26
"52","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",21,53.25,-34.6383418,-58.42515,2021-03-26
"53","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",22,59.25,-34.6383418,-58.42515,2021-03-26
"54","El Nuevo Miguelito, Ciudad de Buenos Aires","viernes",23,45,-34.6383418,-58.42515,2021-03-26
"55","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",6,0,-34.6383418,-58.42515,2021-03-26
"56","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",7,0,-34.6383418,-58.42515,2021-03-26
"57","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",8,0,-34.6383418,-58.42515,2021-03-26
"58","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",9,0,-34.6383418,-58.42515,2021-03-26
"59","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",10,0,-34.6383418,-58.42515,2021-03-26
"60","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",11,0,-34.6383418,-58.42515,2021-03-26
"61","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",12,17.25,-34.6383418,-58.42515,2021-03-26
"62","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",13,30,-34.6383418,-58.42515,2021-03-26
"63","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",14,35.25,-34.6383418,-58.42515,2021-03-26
"64","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",15,29.25,-34.6383418,-58.42515,2021-03-26
"65","El Nuevo Miguelito, Ciudad de Buenos Aires","sabado",16,0,-34.6383418,-58.42515,2021-03-26
