"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",6,0,-34.6033082,-58.3772945,2021-03-26
"2","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",7,0,-34.6033082,-58.3772945,2021-03-26
"3","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",8,0.75,-34.6033082,-58.3772945,2021-03-26
"4","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",9,3,-34.6033082,-58.3772945,2021-03-26
"5","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",10,7.5,-34.6033082,-58.3772945,2021-03-26
"6","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",11,15,-34.6033082,-58.3772945,2021-03-26
"7","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",12,24.75,-34.6033082,-58.3772945,2021-03-26
"8","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",13,33,-34.6033082,-58.3772945,2021-03-26
"9","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",14,34.5,-34.6033082,-58.3772945,2021-03-26
"10","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",15,30,-34.6033082,-58.3772945,2021-03-26
"11","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",16,22.5,-34.6033082,-58.3772945,2021-03-26
"12","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",17,15.75,-34.6033082,-58.3772945,2021-03-26
"13","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",18,14.25,-34.6033082,-58.3772945,2021-03-26
"14","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",19,16.5,-34.6033082,-58.3772945,2021-03-26
"15","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",20,20.25,-34.6033082,-58.3772945,2021-03-26
"16","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",21,21,-34.6033082,-58.3772945,2021-03-26
"17","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",22,19.5,-34.6033082,-58.3772945,2021-03-26
"18","El Palacio de la Pizza, Ciudad de Buenos Aires","lunes",23,14.25,-34.6033082,-58.3772945,2021-03-26
"19","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",6,0,-34.6033082,-58.3772945,2021-03-26
"20","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",7,0,-34.6033082,-58.3772945,2021-03-26
"21","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",8,0.75,-34.6033082,-58.3772945,2021-03-26
"22","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",9,0.75,-34.6033082,-58.3772945,2021-03-26
"23","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",10,5.25,-34.6033082,-58.3772945,2021-03-26
"24","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",11,15.75,-34.6033082,-58.3772945,2021-03-26
"25","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",12,31.5,-34.6033082,-58.3772945,2021-03-26
"26","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",13,44.25,-34.6033082,-58.3772945,2021-03-26
"27","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",14,44.25,-34.6033082,-58.3772945,2021-03-26
"28","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",15,33,-34.6033082,-58.3772945,2021-03-26
"29","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",16,19.5,-34.6033082,-58.3772945,2021-03-26
"30","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",17,12,-34.6033082,-58.3772945,2021-03-26
"31","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",18,12.75,-34.6033082,-58.3772945,2021-03-26
"32","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",19,17.25,-34.6033082,-58.3772945,2021-03-26
"33","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",20,22.5,-34.6033082,-58.3772945,2021-03-26
"34","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",21,24,-34.6033082,-58.3772945,2021-03-26
"35","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",22,21.75,-34.6033082,-58.3772945,2021-03-26
"36","El Palacio de la Pizza, Ciudad de Buenos Aires","martes",23,15.75,-34.6033082,-58.3772945,2021-03-26
"37","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",6,0,-34.6033082,-58.3772945,2021-03-26
"38","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",7,0,-34.6033082,-58.3772945,2021-03-26
"39","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",8,3,-34.6033082,-58.3772945,2021-03-26
"40","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",9,5.25,-34.6033082,-58.3772945,2021-03-26
"41","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",10,9.75,-34.6033082,-58.3772945,2021-03-26
"42","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",11,18.75,-34.6033082,-58.3772945,2021-03-26
"43","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",12,32.25,-34.6033082,-58.3772945,2021-03-26
"44","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",13,46.5,-34.6033082,-58.3772945,2021-03-26
"45","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",14,52.5,-34.6033082,-58.3772945,2021-03-26
"46","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",15,45.75,-34.6033082,-58.3772945,2021-03-26
"47","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",16,32.25,-34.6033082,-58.3772945,2021-03-26
"48","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",17,21.75,-34.6033082,-58.3772945,2021-03-26
"49","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",18,19.5,-34.6033082,-58.3772945,2021-03-26
"50","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",19,24,-34.6033082,-58.3772945,2021-03-26
"51","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",20,30.75,-34.6033082,-58.3772945,2021-03-26
"52","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",21,33,-34.6033082,-58.3772945,2021-03-26
"53","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",22,29.25,-34.6033082,-58.3772945,2021-03-26
"54","El Palacio de la Pizza, Ciudad de Buenos Aires","miercoles",23,20.25,-34.6033082,-58.3772945,2021-03-26
"55","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",6,0,-34.6033082,-58.3772945,2021-03-26
"56","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",7,0,-34.6033082,-58.3772945,2021-03-26
"57","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",8,3.75,-34.6033082,-58.3772945,2021-03-26
"58","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",9,7.5,-34.6033082,-58.3772945,2021-03-26
"59","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",10,13.5,-34.6033082,-58.3772945,2021-03-26
"60","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",11,21,-34.6033082,-58.3772945,2021-03-26
"61","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",12,28.5,-34.6033082,-58.3772945,2021-03-26
"62","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",13,34.5,-34.6033082,-58.3772945,2021-03-26
"63","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",14,35.25,-34.6033082,-58.3772945,2021-03-26
"64","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",15,32.25,-34.6033082,-58.3772945,2021-03-26
"65","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",16,25.5,-34.6033082,-58.3772945,2021-03-26
"66","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",17,21,-34.6033082,-58.3772945,2021-03-26
"67","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",18,21,-34.6033082,-58.3772945,2021-03-26
"68","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",19,25.5,-34.6033082,-58.3772945,2021-03-26
"69","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",20,31.5,-34.6033082,-58.3772945,2021-03-26
"70","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",21,33.75,-34.6033082,-58.3772945,2021-03-26
"71","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",22,29.25,-34.6033082,-58.3772945,2021-03-26
"72","El Palacio de la Pizza, Ciudad de Buenos Aires","jueves",23,19.5,-34.6033082,-58.3772945,2021-03-26
"73","El Palacio de la Pizza, Ciudad de Buenos Aires","viernes",6,0,-34.6033082,-58.3772945,2021-03-26
"74","El Palacio de la Pizza, Ciudad de Buenos Aires","viernes",7,0,-34.6033082,-58.3772945,2021-03-26
"75","El Palacio de la Pizza, Ciudad de Buenos Aires","viernes",8,0.75,-34.6033082,-58.3772945,2021-03-26
"76","El Palacio de la Pizza, Ciudad de Buenos Aires","viernes",9,3,-34.6033082,-58.3772945,2021-03-26
