"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Pollo Gomez, Ciudad de Buenos Aires","martes",6,0,-34.5490612,-58.4574773,2021-03-29
"2","El Pollo Gomez, Ciudad de Buenos Aires","martes",7,0,-34.5490612,-58.4574773,2021-03-29
"3","El Pollo Gomez, Ciudad de Buenos Aires","martes",8,0,-34.5490612,-58.4574773,2021-03-29
"4","El Pollo Gomez, Ciudad de Buenos Aires","martes",9,0,-34.5490612,-58.4574773,2021-03-29
"5","El Pollo Gomez, Ciudad de Buenos Aires","martes",10,0,-34.5490612,-58.4574773,2021-03-29
"6","El Pollo Gomez, Ciudad de Buenos Aires","martes",11,0,-34.5490612,-58.4574773,2021-03-29
"7","El Pollo Gomez, Ciudad de Buenos Aires","martes",12,0,-34.5490612,-58.4574773,2021-03-29
"8","El Pollo Gomez, Ciudad de Buenos Aires","martes",13,0,-34.5490612,-58.4574773,2021-03-29
"9","El Pollo Gomez, Ciudad de Buenos Aires","martes",14,0,-34.5490612,-58.4574773,2021-03-29
"10","El Pollo Gomez, Ciudad de Buenos Aires","martes",15,0,-34.5490612,-58.4574773,2021-03-29
"11","El Pollo Gomez, Ciudad de Buenos Aires","martes",16,0,-34.5490612,-58.4574773,2021-03-29
"12","El Pollo Gomez, Ciudad de Buenos Aires","martes",17,0,-34.5490612,-58.4574773,2021-03-29
"13","El Pollo Gomez, Ciudad de Buenos Aires","martes",18,13.5,-34.5490612,-58.4574773,2021-03-29
"14","El Pollo Gomez, Ciudad de Buenos Aires","martes",19,20.25,-34.5490612,-58.4574773,2021-03-29
"15","El Pollo Gomez, Ciudad de Buenos Aires","martes",20,27,-34.5490612,-58.4574773,2021-03-29
"16","El Pollo Gomez, Ciudad de Buenos Aires","martes",21,33,-34.5490612,-58.4574773,2021-03-29
"17","El Pollo Gomez, Ciudad de Buenos Aires","martes",22,36,-34.5490612,-58.4574773,2021-03-29
"18","El Pollo Gomez, Ciudad de Buenos Aires","martes",23,31.5,-34.5490612,-58.4574773,2021-03-29
"19","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",0,18.75,-34.5490612,-58.4574773,2021-03-29
"20","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",6,0,-34.5490612,-58.4574773,2021-03-29
"21","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",7,0,-34.5490612,-58.4574773,2021-03-29
"22","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",8,0,-34.5490612,-58.4574773,2021-03-29
"23","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",9,0,-34.5490612,-58.4574773,2021-03-29
"24","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",10,4.5,-34.5490612,-58.4574773,2021-03-29
"25","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",11,6,-34.5490612,-58.4574773,2021-03-29
"26","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",12,6.75,-34.5490612,-58.4574773,2021-03-29
"27","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",13,7.5,-34.5490612,-58.4574773,2021-03-29
"28","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",14,6.75,-34.5490612,-58.4574773,2021-03-29
"29","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",15,5.25,-34.5490612,-58.4574773,2021-03-29
"30","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",16,4.5,-34.5490612,-58.4574773,2021-03-29
"31","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",17,3.75,-34.5490612,-58.4574773,2021-03-29
"32","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",18,6,-34.5490612,-58.4574773,2021-03-29
"33","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",19,10.5,-34.5490612,-58.4574773,2021-03-29
"34","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",20,17.25,-34.5490612,-58.4574773,2021-03-29
"35","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",21,24,-34.5490612,-58.4574773,2021-03-29
"36","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",22,27,-34.5490612,-58.4574773,2021-03-29
"37","El Pollo Gomez, Ciudad de Buenos Aires","miercoles",23,24,-34.5490612,-58.4574773,2021-03-29
"38","El Pollo Gomez, Ciudad de Buenos Aires","jueves",0,17.25,-34.5490612,-58.4574773,2021-03-29
"39","El Pollo Gomez, Ciudad de Buenos Aires","jueves",6,0,-34.5490612,-58.4574773,2021-03-29
"40","El Pollo Gomez, Ciudad de Buenos Aires","jueves",7,0,-34.5490612,-58.4574773,2021-03-29
"41","El Pollo Gomez, Ciudad de Buenos Aires","jueves",8,0,-34.5490612,-58.4574773,2021-03-29
"42","El Pollo Gomez, Ciudad de Buenos Aires","jueves",9,0,-34.5490612,-58.4574773,2021-03-29
"43","El Pollo Gomez, Ciudad de Buenos Aires","jueves",10,3,-34.5490612,-58.4574773,2021-03-29
"44","El Pollo Gomez, Ciudad de Buenos Aires","jueves",11,3,-34.5490612,-58.4574773,2021-03-29
"45","El Pollo Gomez, Ciudad de Buenos Aires","jueves",12,3,-34.5490612,-58.4574773,2021-03-29
"46","El Pollo Gomez, Ciudad de Buenos Aires","jueves",13,3,-34.5490612,-58.4574773,2021-03-29
"47","El Pollo Gomez, Ciudad de Buenos Aires","jueves",14,3,-34.5490612,-58.4574773,2021-03-29
"48","El Pollo Gomez, Ciudad de Buenos Aires","jueves",15,3,-34.5490612,-58.4574773,2021-03-29
"49","El Pollo Gomez, Ciudad de Buenos Aires","jueves",16,4.5,-34.5490612,-58.4574773,2021-03-29
"50","El Pollo Gomez, Ciudad de Buenos Aires","jueves",17,7.5,-34.5490612,-58.4574773,2021-03-29
"51","El Pollo Gomez, Ciudad de Buenos Aires","jueves",18,16.5,-34.5490612,-58.4574773,2021-03-29
"52","El Pollo Gomez, Ciudad de Buenos Aires","jueves",19,29.25,-34.5490612,-58.4574773,2021-03-29
"53","El Pollo Gomez, Ciudad de Buenos Aires","jueves",20,39.75,-34.5490612,-58.4574773,2021-03-29
"54","El Pollo Gomez, Ciudad de Buenos Aires","jueves",21,44.25,-34.5490612,-58.4574773,2021-03-29
"55","El Pollo Gomez, Ciudad de Buenos Aires","jueves",22,42.75,-34.5490612,-58.4574773,2021-03-29
"56","El Pollo Gomez, Ciudad de Buenos Aires","jueves",23,39.75,-34.5490612,-58.4574773,2021-03-29
"57","El Pollo Gomez, Ciudad de Buenos Aires","viernes",0,30.75,-34.5490612,-58.4574773,2021-03-29
"58","El Pollo Gomez, Ciudad de Buenos Aires","viernes",6,0,-34.5490612,-58.4574773,2021-03-29
"59","El Pollo Gomez, Ciudad de Buenos Aires","viernes",7,0,-34.5490612,-58.4574773,2021-03-29
"60","El Pollo Gomez, Ciudad de Buenos Aires","viernes",8,0,-34.5490612,-58.4574773,2021-03-29
"61","El Pollo Gomez, Ciudad de Buenos Aires","viernes",9,0,-34.5490612,-58.4574773,2021-03-29
"62","El Pollo Gomez, Ciudad de Buenos Aires","viernes",10,3.75,-34.5490612,-58.4574773,2021-03-29
"63","El Pollo Gomez, Ciudad de Buenos Aires","viernes",11,3.75,-34.5490612,-58.4574773,2021-03-29
"64","El Pollo Gomez, Ciudad de Buenos Aires","viernes",12,3.75,-34.5490612,-58.4574773,2021-03-29
"65","El Pollo Gomez, Ciudad de Buenos Aires","viernes",13,3.75,-34.5490612,-58.4574773,2021-03-29
"66","El Pollo Gomez, Ciudad de Buenos Aires","viernes",14,3.75,-34.5490612,-58.4574773,2021-03-29
"67","El Pollo Gomez, Ciudad de Buenos Aires","viernes",15,5.25,-34.5490612,-58.4574773,2021-03-29
"68","El Pollo Gomez, Ciudad de Buenos Aires","viernes",16,8.25,-34.5490612,-58.4574773,2021-03-29
"69","El Pollo Gomez, Ciudad de Buenos Aires","viernes",17,12.75,-34.5490612,-58.4574773,2021-03-29
"70","El Pollo Gomez, Ciudad de Buenos Aires","viernes",18,18,-34.5490612,-58.4574773,2021-03-29
"71","El Pollo Gomez, Ciudad de Buenos Aires","viernes",19,24.75,-34.5490612,-58.4574773,2021-03-29
"72","El Pollo Gomez, Ciudad de Buenos Aires","viernes",20,34.5,-34.5490612,-58.4574773,2021-03-29
"73","El Pollo Gomez, Ciudad de Buenos Aires","viernes",21,51,-34.5490612,-58.4574773,2021-03-29
"74","El Pollo Gomez, Ciudad de Buenos Aires","viernes",22,68.25,-34.5490612,-58.4574773,2021-03-29
"75","El Pollo Gomez, Ciudad de Buenos Aires","viernes",23,75,-34.5490612,-58.4574773,2021-03-29
"76","El Pollo Gomez, Ciudad de Buenos Aires","sabado",0,60.75,-34.5490612,-58.4574773,2021-03-29
"77","El Pollo Gomez, Ciudad de Buenos Aires","sabado",6,0,-34.5490612,-58.4574773,2021-03-29
"78","El Pollo Gomez, Ciudad de Buenos Aires","sabado",7,0,-34.5490612,-58.4574773,2021-03-29
"79","El Pollo Gomez, Ciudad de Buenos Aires","sabado",8,0,-34.5490612,-58.4574773,2021-03-29
"80","El Pollo Gomez, Ciudad de Buenos Aires","sabado",9,0,-34.5490612,-58.4574773,2021-03-29
"81","El Pollo Gomez, Ciudad de Buenos Aires","sabado",10,0,-34.5490612,-58.4574773,2021-03-29
"82","El Pollo Gomez, Ciudad de Buenos Aires","sabado",11,4.5,-34.5490612,-58.4574773,2021-03-29
"83","El Pollo Gomez, Ciudad de Buenos Aires","sabado",12,4.5,-34.5490612,-58.4574773,2021-03-29
"84","El Pollo Gomez, Ciudad de Buenos Aires","sabado",13,3.75,-34.5490612,-58.4574773,2021-03-29
"85","El Pollo Gomez, Ciudad de Buenos Aires","sabado",14,3,-34.5490612,-58.4574773,2021-03-29
"86","El Pollo Gomez, Ciudad de Buenos Aires","sabado",15,3,-34.5490612,-58.4574773,2021-03-29
"87","El Pollo Gomez, Ciudad de Buenos Aires","sabado",16,3.75,-34.5490612,-58.4574773,2021-03-29
"88","El Pollo Gomez, Ciudad de Buenos Aires","sabado",17,7.5,-34.5490612,-58.4574773,2021-03-29
"89","El Pollo Gomez, Ciudad de Buenos Aires","sabado",18,14.25,-34.5490612,-58.4574773,2021-03-29
"90","El Pollo Gomez, Ciudad de Buenos Aires","sabado",19,21.75,-34.5490612,-58.4574773,2021-03-29
"91","El Pollo Gomez, Ciudad de Buenos Aires","sabado",20,30,-34.5490612,-58.4574773,2021-03-29
"92","El Pollo Gomez, Ciudad de Buenos Aires","sabado",21,43.5,-34.5490612,-58.4574773,2021-03-29
"93","El Pollo Gomez, Ciudad de Buenos Aires","sabado",22,58.5,-34.5490612,-58.4574773,2021-03-29
"94","El Pollo Gomez, Ciudad de Buenos Aires","sabado",23,66,-34.5490612,-58.4574773,2021-03-29
"95","El Pollo Gomez, Ciudad de Buenos Aires","domingo",0,57.75,-34.5490612,-58.4574773,2021-03-29
"96","El Pollo Gomez, Ciudad de Buenos Aires","domingo",6,0,-34.5490612,-58.4574773,2021-03-29
"97","El Pollo Gomez, Ciudad de Buenos Aires","domingo",7,0,-34.5490612,-58.4574773,2021-03-29
"98","El Pollo Gomez, Ciudad de Buenos Aires","domingo",8,0,-34.5490612,-58.4574773,2021-03-29
"99","El Pollo Gomez, Ciudad de Buenos Aires","domingo",9,0,-34.5490612,-58.4574773,2021-03-29
"100","El Pollo Gomez, Ciudad de Buenos Aires","domingo",10,0,-34.5490612,-58.4574773,2021-03-29
"101","El Pollo Gomez, Ciudad de Buenos Aires","domingo",11,1.5,-34.5490612,-58.4574773,2021-03-29
"102","El Pollo Gomez, Ciudad de Buenos Aires","domingo",12,1.5,-34.5490612,-58.4574773,2021-03-29
"103","El Pollo Gomez, Ciudad de Buenos Aires","domingo",13,1.5,-34.5490612,-58.4574773,2021-03-29
"104","El Pollo Gomez, Ciudad de Buenos Aires","domingo",14,1.5,-34.5490612,-58.4574773,2021-03-29
"105","El Pollo Gomez, Ciudad de Buenos Aires","domingo",15,1.5,-34.5490612,-58.4574773,2021-03-29
"106","El Pollo Gomez, Ciudad de Buenos Aires","domingo",16,1.5,-34.5490612,-58.4574773,2021-03-29
"107","El Pollo Gomez, Ciudad de Buenos Aires","domingo",17,1.5,-34.5490612,-58.4574773,2021-03-29
"108","El Pollo Gomez, Ciudad de Buenos Aires","domingo",18,0,-34.5490612,-58.4574773,2021-03-29
"109","El Pollo Gomez, Ciudad de Buenos Aires","domingo",19,0,-34.5490612,-58.4574773,2021-03-29
"110","El Pollo Gomez, Ciudad de Buenos Aires","domingo",20,0,-34.5490612,-58.4574773,2021-03-29
"111","El Pollo Gomez, Ciudad de Buenos Aires","domingo",21,0,-34.5490612,-58.4574773,2021-03-29
"112","El Pollo Gomez, Ciudad de Buenos Aires","domingo",22,0,-34.5490612,-58.4574773,2021-03-29
"113","El Pollo Gomez, Ciudad de Buenos Aires","domingo",23,0,-34.5490612,-58.4574773,2021-03-29
