"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Portal, Ciudad de Buenos Aires","lunes",6,0,-34.605742,-58.376271,2021-03-30
"2","El Portal, Ciudad de Buenos Aires","lunes",7,0,-34.605742,-58.376271,2021-03-30
"3","El Portal, Ciudad de Buenos Aires","lunes",8,0,-34.605742,-58.376271,2021-03-30
"4","El Portal, Ciudad de Buenos Aires","lunes",9,10.5,-34.605742,-58.376271,2021-03-30
"5","El Portal, Ciudad de Buenos Aires","lunes",10,12.75,-34.605742,-58.376271,2021-03-30
"6","El Portal, Ciudad de Buenos Aires","lunes",11,3.75,-34.605742,-58.376271,2021-03-30
"7","El Portal, Ciudad de Buenos Aires","lunes",12,10.5,-34.605742,-58.376271,2021-03-30
"8","El Portal, Ciudad de Buenos Aires","lunes",13,51,-34.605742,-58.376271,2021-03-30
"9","El Portal, Ciudad de Buenos Aires","lunes",14,42.75,-34.605742,-58.376271,2021-03-30
"10","El Portal, Ciudad de Buenos Aires","lunes",15,6,-34.605742,-58.376271,2021-03-30
"11","El Portal, Ciudad de Buenos Aires","lunes",16,1.5,-34.605742,-58.376271,2021-03-30
"12","El Portal, Ciudad de Buenos Aires","lunes",17,1.5,-34.605742,-58.376271,2021-03-30
"13","El Portal, Ciudad de Buenos Aires","lunes",18,1.5,-34.605742,-58.376271,2021-03-30
"14","El Portal, Ciudad de Buenos Aires","lunes",19,0,-34.605742,-58.376271,2021-03-30
"15","El Portal, Ciudad de Buenos Aires","lunes",20,0,-34.605742,-58.376271,2021-03-30
"16","El Portal, Ciudad de Buenos Aires","lunes",21,0,-34.605742,-58.376271,2021-03-30
"17","El Portal, Ciudad de Buenos Aires","lunes",22,0,-34.605742,-58.376271,2021-03-30
"18","El Portal, Ciudad de Buenos Aires","lunes",23,0,-34.605742,-58.376271,2021-03-30
"19","El Portal, Ciudad de Buenos Aires","martes",6,0,-34.605742,-58.376271,2021-03-30
"20","El Portal, Ciudad de Buenos Aires","martes",7,0,-34.605742,-58.376271,2021-03-30
"21","El Portal, Ciudad de Buenos Aires","martes",8,0,-34.605742,-58.376271,2021-03-30
"22","El Portal, Ciudad de Buenos Aires","martes",9,1.5,-34.605742,-58.376271,2021-03-30
"23","El Portal, Ciudad de Buenos Aires","martes",10,8.25,-34.605742,-58.376271,2021-03-30
"24","El Portal, Ciudad de Buenos Aires","martes",11,0,-34.605742,-58.376271,2021-03-30
"25","El Portal, Ciudad de Buenos Aires","martes",12,38.25,-34.605742,-58.376271,2021-03-30
"26","El Portal, Ciudad de Buenos Aires","martes",13,48.75,-34.605742,-58.376271,2021-03-30
"27","El Portal, Ciudad de Buenos Aires","martes",14,42.75,-34.605742,-58.376271,2021-03-30
"28","El Portal, Ciudad de Buenos Aires","martes",15,27.75,-34.605742,-58.376271,2021-03-30
"29","El Portal, Ciudad de Buenos Aires","martes",16,12.75,-34.605742,-58.376271,2021-03-30
"30","El Portal, Ciudad de Buenos Aires","martes",17,3.75,-34.605742,-58.376271,2021-03-30
"31","El Portal, Ciudad de Buenos Aires","martes",18,0,-34.605742,-58.376271,2021-03-30
"32","El Portal, Ciudad de Buenos Aires","martes",19,0,-34.605742,-58.376271,2021-03-30
"33","El Portal, Ciudad de Buenos Aires","martes",20,0,-34.605742,-58.376271,2021-03-30
"34","El Portal, Ciudad de Buenos Aires","martes",21,0,-34.605742,-58.376271,2021-03-30
"35","El Portal, Ciudad de Buenos Aires","martes",22,0,-34.605742,-58.376271,2021-03-30
"36","El Portal, Ciudad de Buenos Aires","martes",23,0,-34.605742,-58.376271,2021-03-30
"37","El Portal, Ciudad de Buenos Aires","miercoles",6,0,-34.605742,-58.376271,2021-03-30
"38","El Portal, Ciudad de Buenos Aires","miercoles",7,0,-34.605742,-58.376271,2021-03-30
"39","El Portal, Ciudad de Buenos Aires","miercoles",8,0,-34.605742,-58.376271,2021-03-30
"40","El Portal, Ciudad de Buenos Aires","miercoles",9,8.25,-34.605742,-58.376271,2021-03-30
"41","El Portal, Ciudad de Buenos Aires","miercoles",10,10.5,-34.605742,-58.376271,2021-03-30
"42","El Portal, Ciudad de Buenos Aires","miercoles",11,12.75,-34.605742,-58.376271,2021-03-30
"43","El Portal, Ciudad de Buenos Aires","miercoles",12,40.5,-34.605742,-58.376271,2021-03-30
"44","El Portal, Ciudad de Buenos Aires","miercoles",13,75,-34.605742,-58.376271,2021-03-30
"45","El Portal, Ciudad de Buenos Aires","miercoles",14,61.5,-34.605742,-58.376271,2021-03-30
"46","El Portal, Ciudad de Buenos Aires","miercoles",15,21,-34.605742,-58.376271,2021-03-30
"47","El Portal, Ciudad de Buenos Aires","miercoles",16,3.75,-34.605742,-58.376271,2021-03-30
"48","El Portal, Ciudad de Buenos Aires","miercoles",17,0,-34.605742,-58.376271,2021-03-30
"49","El Portal, Ciudad de Buenos Aires","miercoles",18,0,-34.605742,-58.376271,2021-03-30
"50","El Portal, Ciudad de Buenos Aires","miercoles",19,0,-34.605742,-58.376271,2021-03-30
"51","El Portal, Ciudad de Buenos Aires","miercoles",20,0,-34.605742,-58.376271,2021-03-30
"52","El Portal, Ciudad de Buenos Aires","miercoles",21,0,-34.605742,-58.376271,2021-03-30
"53","El Portal, Ciudad de Buenos Aires","miercoles",22,0,-34.605742,-58.376271,2021-03-30
"54","El Portal, Ciudad de Buenos Aires","miercoles",23,0,-34.605742,-58.376271,2021-03-30
"55","El Portal, Ciudad de Buenos Aires","jueves",6,0,-34.605742,-58.376271,2021-03-30
"56","El Portal, Ciudad de Buenos Aires","jueves",7,0,-34.605742,-58.376271,2021-03-30
"57","El Portal, Ciudad de Buenos Aires","jueves",8,0,-34.605742,-58.376271,2021-03-30
"58","El Portal, Ciudad de Buenos Aires","jueves",9,1.5,-34.605742,-58.376271,2021-03-30
"59","El Portal, Ciudad de Buenos Aires","jueves",10,6,-34.605742,-58.376271,2021-03-30
"60","El Portal, Ciudad de Buenos Aires","jueves",11,12.75,-34.605742,-58.376271,2021-03-30
"61","El Portal, Ciudad de Buenos Aires","jueves",12,30,-34.605742,-58.376271,2021-03-30
"62","El Portal, Ciudad de Buenos Aires","jueves",13,46.5,-34.605742,-58.376271,2021-03-30
