"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Puntal, Ciudad de Buenos Aires","lunes",6,0,-34.5416798,-58.4696567,2021-03-27
"2","El Puntal, Ciudad de Buenos Aires","lunes",7,2.25,-34.5416798,-58.4696567,2021-03-27
"3","El Puntal, Ciudad de Buenos Aires","lunes",8,12,-34.5416798,-58.4696567,2021-03-27
"4","El Puntal, Ciudad de Buenos Aires","lunes",9,26.25,-34.5416798,-58.4696567,2021-03-27
"5","El Puntal, Ciudad de Buenos Aires","lunes",10,39.75,-34.5416798,-58.4696567,2021-03-27
"6","El Puntal, Ciudad de Buenos Aires","lunes",11,48,-34.5416798,-58.4696567,2021-03-27
"7","El Puntal, Ciudad de Buenos Aires","lunes",12,46.5,-34.5416798,-58.4696567,2021-03-27
"8","El Puntal, Ciudad de Buenos Aires","lunes",13,37.5,-34.5416798,-58.4696567,2021-03-27
"9","El Puntal, Ciudad de Buenos Aires","lunes",14,26.25,-34.5416798,-58.4696567,2021-03-27
"10","El Puntal, Ciudad de Buenos Aires","lunes",15,23.25,-34.5416798,-58.4696567,2021-03-27
"11","El Puntal, Ciudad de Buenos Aires","lunes",16,35.25,-34.5416798,-58.4696567,2021-03-27
"12","El Puntal, Ciudad de Buenos Aires","lunes",17,53.25,-34.5416798,-58.4696567,2021-03-27
"13","El Puntal, Ciudad de Buenos Aires","lunes",18,57,-34.5416798,-58.4696567,2021-03-27
"14","El Puntal, Ciudad de Buenos Aires","lunes",19,39.75,-34.5416798,-58.4696567,2021-03-27
"15","El Puntal, Ciudad de Buenos Aires","lunes",20,15.75,-34.5416798,-58.4696567,2021-03-27
"16","El Puntal, Ciudad de Buenos Aires","lunes",21,0,-34.5416798,-58.4696567,2021-03-27
"17","El Puntal, Ciudad de Buenos Aires","lunes",22,0,-34.5416798,-58.4696567,2021-03-27
"18","El Puntal, Ciudad de Buenos Aires","lunes",23,0,-34.5416798,-58.4696567,2021-03-27
"19","El Puntal, Ciudad de Buenos Aires","martes",6,0,-34.5416798,-58.4696567,2021-03-27
"20","El Puntal, Ciudad de Buenos Aires","martes",7,7.5,-34.5416798,-58.4696567,2021-03-27
"21","El Puntal, Ciudad de Buenos Aires","martes",8,30.75,-34.5416798,-58.4696567,2021-03-27
"22","El Puntal, Ciudad de Buenos Aires","martes",9,52.5,-34.5416798,-58.4696567,2021-03-27
"23","El Puntal, Ciudad de Buenos Aires","martes",10,53.25,-34.5416798,-58.4696567,2021-03-27
"24","El Puntal, Ciudad de Buenos Aires","martes",11,45,-34.5416798,-58.4696567,2021-03-27
"25","El Puntal, Ciudad de Buenos Aires","martes",12,54,-34.5416798,-58.4696567,2021-03-27
"26","El Puntal, Ciudad de Buenos Aires","martes",13,65.25,-34.5416798,-58.4696567,2021-03-27
"27","El Puntal, Ciudad de Buenos Aires","martes",14,52.5,-34.5416798,-58.4696567,2021-03-27
"28","El Puntal, Ciudad de Buenos Aires","martes",15,39,-34.5416798,-58.4696567,2021-03-27
"29","El Puntal, Ciudad de Buenos Aires","martes",16,44.25,-34.5416798,-58.4696567,2021-03-27
"30","El Puntal, Ciudad de Buenos Aires","martes",17,53.25,-34.5416798,-58.4696567,2021-03-27
"31","El Puntal, Ciudad de Buenos Aires","martes",18,53.25,-34.5416798,-58.4696567,2021-03-27
"32","El Puntal, Ciudad de Buenos Aires","martes",19,42,-34.5416798,-58.4696567,2021-03-27
