"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",6,0,-34.6179619,-58.3754597,2021-03-27
"2","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",7,0,-34.6179619,-58.3754597,2021-03-27
"3","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",8,0,-34.6179619,-58.3754597,2021-03-27
"4","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",9,0,-34.6179619,-58.3754597,2021-03-27
"5","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",10,6,-34.6179619,-58.3754597,2021-03-27
"6","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",11,9.75,-34.6179619,-58.3754597,2021-03-27
"7","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",12,13.5,-34.6179619,-58.3754597,2021-03-27
"8","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",13,15,-34.6179619,-58.3754597,2021-03-27
"9","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",14,14.25,-34.6179619,-58.3754597,2021-03-27
"10","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",15,10.5,-34.6179619,-58.3754597,2021-03-27
"11","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",16,6.75,-34.6179619,-58.3754597,2021-03-27
"12","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",17,3.75,-34.6179619,-58.3754597,2021-03-27
"13","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",18,3.75,-34.6179619,-58.3754597,2021-03-27
"14","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",19,7.5,-34.6179619,-58.3754597,2021-03-27
"15","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",20,17.25,-34.6179619,-58.3754597,2021-03-27
"16","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",21,27.75,-34.6179619,-58.3754597,2021-03-27
"17","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",22,30.75,-34.6179619,-58.3754597,2021-03-27
"18","El Refuerzo Provisiones, Ciudad de Buenos Aires","martes",23,23.25,-34.6179619,-58.3754597,2021-03-27
"19","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",0,12.75,-34.6179619,-58.3754597,2021-03-27
"20","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",6,0,-34.6179619,-58.3754597,2021-03-27
"21","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",7,0,-34.6179619,-58.3754597,2021-03-27
"22","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",8,0,-34.6179619,-58.3754597,2021-03-27
"23","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",9,0,-34.6179619,-58.3754597,2021-03-27
"24","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",10,6,-34.6179619,-58.3754597,2021-03-27
"25","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",11,9,-34.6179619,-58.3754597,2021-03-27
"26","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",12,12,-34.6179619,-58.3754597,2021-03-27
"27","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",13,14.25,-34.6179619,-58.3754597,2021-03-27
"28","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",14,14.25,-34.6179619,-58.3754597,2021-03-27
"29","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",15,12.75,-34.6179619,-58.3754597,2021-03-27
"30","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",16,10.5,-34.6179619,-58.3754597,2021-03-27
"31","El Refuerzo Provisiones, Ciudad de Buenos Aires","miercoles",17,9,-34.6179619,-58.3754597,2021-03-27
