"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Santa Evita, Ciudad de Buenos Aires","miercoles",6,0,-34.593151,-58.4245,2021-03-26
"2","El Santa Evita, Ciudad de Buenos Aires","miercoles",7,0,-34.593151,-58.4245,2021-03-26
"3","El Santa Evita, Ciudad de Buenos Aires","miercoles",8,0,-34.593151,-58.4245,2021-03-26
"4","El Santa Evita, Ciudad de Buenos Aires","miercoles",9,0,-34.593151,-58.4245,2021-03-26
"5","El Santa Evita, Ciudad de Buenos Aires","miercoles",10,0,-34.593151,-58.4245,2021-03-26
"6","El Santa Evita, Ciudad de Buenos Aires","miercoles",11,0,-34.593151,-58.4245,2021-03-26
"7","El Santa Evita, Ciudad de Buenos Aires","miercoles",12,0,-34.593151,-58.4245,2021-03-26
"8","El Santa Evita, Ciudad de Buenos Aires","miercoles",13,0,-34.593151,-58.4245,2021-03-26
"9","El Santa Evita, Ciudad de Buenos Aires","miercoles",14,0,-34.593151,-58.4245,2021-03-26
"10","El Santa Evita, Ciudad de Buenos Aires","miercoles",15,0,-34.593151,-58.4245,2021-03-26
"11","El Santa Evita, Ciudad de Buenos Aires","miercoles",16,0,-34.593151,-58.4245,2021-03-26
"12","El Santa Evita, Ciudad de Buenos Aires","miercoles",17,0,-34.593151,-58.4245,2021-03-26
"13","El Santa Evita, Ciudad de Buenos Aires","miercoles",18,7.5,-34.593151,-58.4245,2021-03-26
"14","El Santa Evita, Ciudad de Buenos Aires","miercoles",19,12.75,-34.593151,-58.4245,2021-03-26
"15","El Santa Evita, Ciudad de Buenos Aires","miercoles",20,23.25,-34.593151,-58.4245,2021-03-26
"16","El Santa Evita, Ciudad de Buenos Aires","miercoles",21,33.75,-34.593151,-58.4245,2021-03-26
"17","El Santa Evita, Ciudad de Buenos Aires","miercoles",22,37.5,-34.593151,-58.4245,2021-03-26
"18","El Santa Evita, Ciudad de Buenos Aires","miercoles",23,30,-34.593151,-58.4245,2021-03-26
"19","El Santa Evita, Ciudad de Buenos Aires","jueves",0,0,-34.593151,-58.4245,2021-03-26
"20","El Santa Evita, Ciudad de Buenos Aires","jueves",6,0,-34.593151,-58.4245,2021-03-26
"21","El Santa Evita, Ciudad de Buenos Aires","jueves",7,0,-34.593151,-58.4245,2021-03-26
"22","El Santa Evita, Ciudad de Buenos Aires","jueves",8,0,-34.593151,-58.4245,2021-03-26
"23","El Santa Evita, Ciudad de Buenos Aires","jueves",9,0,-34.593151,-58.4245,2021-03-26
"24","El Santa Evita, Ciudad de Buenos Aires","jueves",10,0,-34.593151,-58.4245,2021-03-26
"25","El Santa Evita, Ciudad de Buenos Aires","jueves",11,0,-34.593151,-58.4245,2021-03-26
"26","El Santa Evita, Ciudad de Buenos Aires","jueves",12,0,-34.593151,-58.4245,2021-03-26
"27","El Santa Evita, Ciudad de Buenos Aires","jueves",13,0,-34.593151,-58.4245,2021-03-26
"28","El Santa Evita, Ciudad de Buenos Aires","jueves",14,0,-34.593151,-58.4245,2021-03-26
"29","El Santa Evita, Ciudad de Buenos Aires","jueves",15,0,-34.593151,-58.4245,2021-03-26
"30","El Santa Evita, Ciudad de Buenos Aires","jueves",16,0,-34.593151,-58.4245,2021-03-26
"31","El Santa Evita, Ciudad de Buenos Aires","jueves",17,0,-34.593151,-58.4245,2021-03-26
"32","El Santa Evita, Ciudad de Buenos Aires","jueves",18,6,-34.593151,-58.4245,2021-03-26
"33","El Santa Evita, Ciudad de Buenos Aires","jueves",19,14.25,-34.593151,-58.4245,2021-03-26
"34","El Santa Evita, Ciudad de Buenos Aires","jueves",20,29.25,-34.593151,-58.4245,2021-03-26
"35","El Santa Evita, Ciudad de Buenos Aires","jueves",21,42.75,-34.593151,-58.4245,2021-03-26
"36","El Santa Evita, Ciudad de Buenos Aires","jueves",22,43.5,-34.593151,-58.4245,2021-03-26
"37","El Santa Evita, Ciudad de Buenos Aires","jueves",23,30,-34.593151,-58.4245,2021-03-26
"38","El Santa Evita, Ciudad de Buenos Aires","viernes",0,0,-34.593151,-58.4245,2021-03-26
"39","El Santa Evita, Ciudad de Buenos Aires","viernes",6,0,-34.593151,-58.4245,2021-03-26
"40","El Santa Evita, Ciudad de Buenos Aires","viernes",7,0,-34.593151,-58.4245,2021-03-26
"41","El Santa Evita, Ciudad de Buenos Aires","viernes",8,0,-34.593151,-58.4245,2021-03-26
