"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Soñado, Ciudad de Buenos Aires","lunes",6,0,-34.6387004,-58.4014434,2021-03-30
"2","El Soñado, Ciudad de Buenos Aires","lunes",7,0,-34.6387004,-58.4014434,2021-03-30
"3","El Soñado, Ciudad de Buenos Aires","lunes",8,8.25,-34.6387004,-58.4014434,2021-03-30
"4","El Soñado, Ciudad de Buenos Aires","lunes",9,26.25,-34.6387004,-58.4014434,2021-03-30
"5","El Soñado, Ciudad de Buenos Aires","lunes",10,26.25,-34.6387004,-58.4014434,2021-03-30
"6","El Soñado, Ciudad de Buenos Aires","lunes",11,36,-34.6387004,-58.4014434,2021-03-30
"7","El Soñado, Ciudad de Buenos Aires","lunes",12,56.25,-34.6387004,-58.4014434,2021-03-30
"8","El Soñado, Ciudad de Buenos Aires","lunes",13,69,-34.6387004,-58.4014434,2021-03-30
"9","El Soñado, Ciudad de Buenos Aires","lunes",14,63,-34.6387004,-58.4014434,2021-03-30
"10","El Soñado, Ciudad de Buenos Aires","lunes",15,44.25,-34.6387004,-58.4014434,2021-03-30
"11","El Soñado, Ciudad de Buenos Aires","lunes",16,0,-34.6387004,-58.4014434,2021-03-30
"12","El Soñado, Ciudad de Buenos Aires","lunes",17,0,-34.6387004,-58.4014434,2021-03-30
"13","El Soñado, Ciudad de Buenos Aires","lunes",18,0,-34.6387004,-58.4014434,2021-03-30
"14","El Soñado, Ciudad de Buenos Aires","lunes",19,0,-34.6387004,-58.4014434,2021-03-30
"15","El Soñado, Ciudad de Buenos Aires","lunes",20,0,-34.6387004,-58.4014434,2021-03-30
"16","El Soñado, Ciudad de Buenos Aires","lunes",21,0,-34.6387004,-58.4014434,2021-03-30
"17","El Soñado, Ciudad de Buenos Aires","lunes",22,0,-34.6387004,-58.4014434,2021-03-30
"18","El Soñado, Ciudad de Buenos Aires","lunes",23,0,-34.6387004,-58.4014434,2021-03-30
