"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Destino, Ciudad de Buenos Aires","lunes",6,0,-34.608012,-58.4447738,2021-03-28
"2","El Destino, Ciudad de Buenos Aires","lunes",7,1.5,-34.608012,-58.4447738,2021-03-28
"3","El Destino, Ciudad de Buenos Aires","lunes",8,4.5,-34.608012,-58.4447738,2021-03-28
"4","El Destino, Ciudad de Buenos Aires","lunes",9,8.25,-34.608012,-58.4447738,2021-03-28
"5","El Destino, Ciudad de Buenos Aires","lunes",10,12,-34.608012,-58.4447738,2021-03-28
"6","El Destino, Ciudad de Buenos Aires","lunes",11,15.75,-34.608012,-58.4447738,2021-03-28
"7","El Destino, Ciudad de Buenos Aires","lunes",12,18.75,-34.608012,-58.4447738,2021-03-28
"8","El Destino, Ciudad de Buenos Aires","lunes",13,20.25,-34.608012,-58.4447738,2021-03-28
"9","El Destino, Ciudad de Buenos Aires","lunes",14,19.5,-34.608012,-58.4447738,2021-03-28
"10","El Destino, Ciudad de Buenos Aires","lunes",15,18,-34.608012,-58.4447738,2021-03-28
"11","El Destino, Ciudad de Buenos Aires","lunes",16,16.5,-34.608012,-58.4447738,2021-03-28
"12","El Destino, Ciudad de Buenos Aires","lunes",17,16.5,-34.608012,-58.4447738,2021-03-28
"13","El Destino, Ciudad de Buenos Aires","lunes",18,20.25,-34.608012,-58.4447738,2021-03-28
"14","El Destino, Ciudad de Buenos Aires","lunes",19,27.75,-34.608012,-58.4447738,2021-03-28
"15","El Destino, Ciudad de Buenos Aires","lunes",20,35.25,-34.608012,-58.4447738,2021-03-28
"16","El Destino, Ciudad de Buenos Aires","lunes",21,37.5,-34.608012,-58.4447738,2021-03-28
"17","El Destino, Ciudad de Buenos Aires","lunes",22,33,-34.608012,-58.4447738,2021-03-28
"18","El Destino, Ciudad de Buenos Aires","lunes",23,23.25,-34.608012,-58.4447738,2021-03-28
"19","El Destino, Ciudad de Buenos Aires","martes",6,0,-34.608012,-58.4447738,2021-03-28
"20","El Destino, Ciudad de Buenos Aires","martes",7,2.25,-34.608012,-58.4447738,2021-03-28
