"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Encuentro Nativo, Ciudad de Buenos Aires","lunes",6,0,-34.6397348,-58.3625656,2021-03-25
"2","Encuentro Nativo, Ciudad de Buenos Aires","lunes",7,0,-34.6397348,-58.3625656,2021-03-25
"3","Encuentro Nativo, Ciudad de Buenos Aires","lunes",8,0,-34.6397348,-58.3625656,2021-03-25
"4","Encuentro Nativo, Ciudad de Buenos Aires","lunes",9,0,-34.6397348,-58.3625656,2021-03-25
"5","Encuentro Nativo, Ciudad de Buenos Aires","lunes",10,0,-34.6397348,-58.3625656,2021-03-25
"6","Encuentro Nativo, Ciudad de Buenos Aires","lunes",11,21,-34.6397348,-58.3625656,2021-03-25
"7","Encuentro Nativo, Ciudad de Buenos Aires","lunes",12,31.5,-34.6397348,-58.3625656,2021-03-25
"8","Encuentro Nativo, Ciudad de Buenos Aires","lunes",13,39,-34.6397348,-58.3625656,2021-03-25
"9","Encuentro Nativo, Ciudad de Buenos Aires","lunes",14,42,-34.6397348,-58.3625656,2021-03-25
"10","Encuentro Nativo, Ciudad de Buenos Aires","lunes",15,41.25,-34.6397348,-58.3625656,2021-03-25
"11","Encuentro Nativo, Ciudad de Buenos Aires","lunes",16,37.5,-34.6397348,-58.3625656,2021-03-25
"12","Encuentro Nativo, Ciudad de Buenos Aires","lunes",17,33,-34.6397348,-58.3625656,2021-03-25
"13","Encuentro Nativo, Ciudad de Buenos Aires","lunes",18,28.5,-34.6397348,-58.3625656,2021-03-25
"14","Encuentro Nativo, Ciudad de Buenos Aires","lunes",19,27,-34.6397348,-58.3625656,2021-03-25
"15","Encuentro Nativo, Ciudad de Buenos Aires","lunes",20,27.75,-34.6397348,-58.3625656,2021-03-25
"16","Encuentro Nativo, Ciudad de Buenos Aires","lunes",21,27.75,-34.6397348,-58.3625656,2021-03-25
"17","Encuentro Nativo, Ciudad de Buenos Aires","lunes",22,24,-34.6397348,-58.3625656,2021-03-25
"18","Encuentro Nativo, Ciudad de Buenos Aires","lunes",23,15.75,-34.6397348,-58.3625656,2021-03-25
"19","Encuentro Nativo, Ciudad de Buenos Aires","martes",6,0,-34.6397348,-58.3625656,2021-03-25
"20","Encuentro Nativo, Ciudad de Buenos Aires","martes",7,0,-34.6397348,-58.3625656,2021-03-25
"21","Encuentro Nativo, Ciudad de Buenos Aires","martes",8,0,-34.6397348,-58.3625656,2021-03-25
"22","Encuentro Nativo, Ciudad de Buenos Aires","martes",9,0,-34.6397348,-58.3625656,2021-03-25
"23","Encuentro Nativo, Ciudad de Buenos Aires","martes",10,0,-34.6397348,-58.3625656,2021-03-25
"24","Encuentro Nativo, Ciudad de Buenos Aires","martes",11,36,-34.6397348,-58.3625656,2021-03-25
"25","Encuentro Nativo, Ciudad de Buenos Aires","martes",12,43.5,-34.6397348,-58.3625656,2021-03-25
"26","Encuentro Nativo, Ciudad de Buenos Aires","martes",13,45,-34.6397348,-58.3625656,2021-03-25
"27","Encuentro Nativo, Ciudad de Buenos Aires","martes",14,42,-34.6397348,-58.3625656,2021-03-25
"28","Encuentro Nativo, Ciudad de Buenos Aires","martes",15,39.75,-34.6397348,-58.3625656,2021-03-25
"29","Encuentro Nativo, Ciudad de Buenos Aires","martes",16,41.25,-34.6397348,-58.3625656,2021-03-25
"30","Encuentro Nativo, Ciudad de Buenos Aires","martes",17,41.25,-34.6397348,-58.3625656,2021-03-25
"31","Encuentro Nativo, Ciudad de Buenos Aires","martes",18,34.5,-34.6397348,-58.3625656,2021-03-25
"32","Encuentro Nativo, Ciudad de Buenos Aires","martes",19,24,-34.6397348,-58.3625656,2021-03-25
