"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",6,0,-34.6126922,-58.3734436,2021-03-27
"2","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",7,20.25,-34.6126922,-58.3734436,2021-03-27
"3","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",8,39,-34.6126922,-58.3734436,2021-03-27
"4","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",9,41.25,-34.6126922,-58.3734436,2021-03-27
"5","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",10,42.75,-34.6126922,-58.3734436,2021-03-27
"6","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",11,55.5,-34.6126922,-58.3734436,2021-03-27
"7","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",12,62.25,-34.6126922,-58.3734436,2021-03-27
"8","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",13,55.5,-34.6126922,-58.3734436,2021-03-27
"9","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",14,44.25,-34.6126922,-58.3734436,2021-03-27
"10","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",15,39.75,-34.6126922,-58.3734436,2021-03-27
"11","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",16,40.5,-34.6126922,-58.3734436,2021-03-27
"12","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",17,40.5,-34.6126922,-58.3734436,2021-03-27
"13","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",18,35.25,-34.6126922,-58.3734436,2021-03-27
"14","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",19,26.25,-34.6126922,-58.3734436,2021-03-27
"15","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",20,0,-34.6126922,-58.3734436,2021-03-27
"16","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",21,0,-34.6126922,-58.3734436,2021-03-27
"17","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",22,0,-34.6126922,-58.3734436,2021-03-27
"18","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","lunes",23,0,-34.6126922,-58.3734436,2021-03-27
"19","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",6,0,-34.6126922,-58.3734436,2021-03-27
"20","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",7,12,-34.6126922,-58.3734436,2021-03-27
"21","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",8,31.5,-34.6126922,-58.3734436,2021-03-27
"22","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",9,45,-34.6126922,-58.3734436,2021-03-27
"23","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",10,40.5,-34.6126922,-58.3734436,2021-03-27
"24","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",11,35.25,-34.6126922,-58.3734436,2021-03-27
"25","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",12,47.25,-34.6126922,-58.3734436,2021-03-27
"26","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",13,58.5,-34.6126922,-58.3734436,2021-03-27
"27","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",14,52.5,-34.6126922,-58.3734436,2021-03-27
"28","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",15,39.75,-34.6126922,-58.3734436,2021-03-27
"29","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",16,35.25,-34.6126922,-58.3734436,2021-03-27
"30","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",17,39,-34.6126922,-58.3734436,2021-03-27
"31","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",18,41.25,-34.6126922,-58.3734436,2021-03-27
"32","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",19,39,-34.6126922,-58.3734436,2021-03-27
"33","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",20,0,-34.6126922,-58.3734436,2021-03-27
"34","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",21,0,-34.6126922,-58.3734436,2021-03-27
"35","Enitma Café Reserva Gourmet, Ciudad de Buenos Aires","martes",22,0,-34.6126922,-58.3734436,2021-03-27
