"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Eriberto Parrilla, Ciudad de Buenos Aires","martes",6,0,-34.5800301,-58.5121064,2021-03-28
"2","Eriberto Parrilla, Ciudad de Buenos Aires","martes",7,0,-34.5800301,-58.5121064,2021-03-28
"3","Eriberto Parrilla, Ciudad de Buenos Aires","martes",8,0,-34.5800301,-58.5121064,2021-03-28
"4","Eriberto Parrilla, Ciudad de Buenos Aires","martes",9,0,-34.5800301,-58.5121064,2021-03-28
"5","Eriberto Parrilla, Ciudad de Buenos Aires","martes",10,0,-34.5800301,-58.5121064,2021-03-28
"6","Eriberto Parrilla, Ciudad de Buenos Aires","martes",11,0,-34.5800301,-58.5121064,2021-03-28
"7","Eriberto Parrilla, Ciudad de Buenos Aires","martes",12,0.75,-34.5800301,-58.5121064,2021-03-28
"8","Eriberto Parrilla, Ciudad de Buenos Aires","martes",13,2.25,-34.5800301,-58.5121064,2021-03-28
"9","Eriberto Parrilla, Ciudad de Buenos Aires","martes",14,3.75,-34.5800301,-58.5121064,2021-03-28
"10","Eriberto Parrilla, Ciudad de Buenos Aires","martes",15,5.25,-34.5800301,-58.5121064,2021-03-28
"11","Eriberto Parrilla, Ciudad de Buenos Aires","martes",16,6.75,-34.5800301,-58.5121064,2021-03-28
"12","Eriberto Parrilla, Ciudad de Buenos Aires","martes",17,7.5,-34.5800301,-58.5121064,2021-03-28
"13","Eriberto Parrilla, Ciudad de Buenos Aires","martes",18,8.25,-34.5800301,-58.5121064,2021-03-28
"14","Eriberto Parrilla, Ciudad de Buenos Aires","martes",19,9,-34.5800301,-58.5121064,2021-03-28
"15","Eriberto Parrilla, Ciudad de Buenos Aires","martes",20,17.25,-34.5800301,-58.5121064,2021-03-28
"16","Eriberto Parrilla, Ciudad de Buenos Aires","martes",21,35.25,-34.5800301,-58.5121064,2021-03-28
"17","Eriberto Parrilla, Ciudad de Buenos Aires","martes",22,40.5,-34.5800301,-58.5121064,2021-03-28
"18","Eriberto Parrilla, Ciudad de Buenos Aires","martes",23,22.5,-34.5800301,-58.5121064,2021-03-28
"19","Eriberto Parrilla, Ciudad de Buenos Aires","miercoles",6,0,-34.5800301,-58.5121064,2021-03-28
