"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Fa Song Song, Ciudad de Buenos Aires","lunes",6,0,-34.5964787,-58.3783779,2021-03-27
"2","Fa Song Song, Ciudad de Buenos Aires","lunes",7,0,-34.5964787,-58.3783779,2021-03-27
"3","Fa Song Song, Ciudad de Buenos Aires","lunes",8,0,-34.5964787,-58.3783779,2021-03-27
"4","Fa Song Song, Ciudad de Buenos Aires","lunes",9,0,-34.5964787,-58.3783779,2021-03-27
"5","Fa Song Song, Ciudad de Buenos Aires","lunes",10,0,-34.5964787,-58.3783779,2021-03-27
"6","Fa Song Song, Ciudad de Buenos Aires","lunes",11,3,-34.5964787,-58.3783779,2021-03-27
"7","Fa Song Song, Ciudad de Buenos Aires","lunes",12,26.25,-34.5964787,-58.3783779,2021-03-27
"8","Fa Song Song, Ciudad de Buenos Aires","lunes",13,57,-34.5964787,-58.3783779,2021-03-27
"9","Fa Song Song, Ciudad de Buenos Aires","lunes",14,30.75,-34.5964787,-58.3783779,2021-03-27
"10","Fa Song Song, Ciudad de Buenos Aires","lunes",15,3.75,-34.5964787,-58.3783779,2021-03-27
"11","Fa Song Song, Ciudad de Buenos Aires","lunes",16,0,-34.5964787,-58.3783779,2021-03-27
"12","Fa Song Song, Ciudad de Buenos Aires","lunes",17,0,-34.5964787,-58.3783779,2021-03-27
"13","Fa Song Song, Ciudad de Buenos Aires","lunes",18,0,-34.5964787,-58.3783779,2021-03-27
"14","Fa Song Song, Ciudad de Buenos Aires","lunes",19,17.25,-34.5964787,-58.3783779,2021-03-27
"15","Fa Song Song, Ciudad de Buenos Aires","lunes",20,23.25,-34.5964787,-58.3783779,2021-03-27
"16","Fa Song Song, Ciudad de Buenos Aires","lunes",21,19.5,-34.5964787,-58.3783779,2021-03-27
"17","Fa Song Song, Ciudad de Buenos Aires","lunes",22,10.5,-34.5964787,-58.3783779,2021-03-27
"18","Fa Song Song, Ciudad de Buenos Aires","lunes",23,0,-34.5964787,-58.3783779,2021-03-27
"19","Fa Song Song, Ciudad de Buenos Aires","martes",6,0,-34.5964787,-58.3783779,2021-03-27
"20","Fa Song Song, Ciudad de Buenos Aires","martes",7,0,-34.5964787,-58.3783779,2021-03-27
"21","Fa Song Song, Ciudad de Buenos Aires","martes",8,0,-34.5964787,-58.3783779,2021-03-27
"22","Fa Song Song, Ciudad de Buenos Aires","martes",9,0,-34.5964787,-58.3783779,2021-03-27
"23","Fa Song Song, Ciudad de Buenos Aires","martes",10,0,-34.5964787,-58.3783779,2021-03-27
"24","Fa Song Song, Ciudad de Buenos Aires","martes",11,4.5,-34.5964787,-58.3783779,2021-03-27
"25","Fa Song Song, Ciudad de Buenos Aires","martes",12,21,-34.5964787,-58.3783779,2021-03-27
"26","Fa Song Song, Ciudad de Buenos Aires","martes",13,51,-34.5964787,-58.3783779,2021-03-27
"27","Fa Song Song, Ciudad de Buenos Aires","martes",14,39,-34.5964787,-58.3783779,2021-03-27
"28","Fa Song Song, Ciudad de Buenos Aires","martes",15,9.75,-34.5964787,-58.3783779,2021-03-27
"29","Fa Song Song, Ciudad de Buenos Aires","martes",16,0,-34.5964787,-58.3783779,2021-03-27
"30","Fa Song Song, Ciudad de Buenos Aires","martes",17,0,-34.5964787,-58.3783779,2021-03-27
"31","Fa Song Song, Ciudad de Buenos Aires","martes",18,0,-34.5964787,-58.3783779,2021-03-27
"32","Fa Song Song, Ciudad de Buenos Aires","martes",19,15,-34.5964787,-58.3783779,2021-03-27
"33","Fa Song Song, Ciudad de Buenos Aires","martes",20,28.5,-34.5964787,-58.3783779,2021-03-27
