"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",6,0,-34.5794596,-58.4389311,2021-03-27
"2","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",7,0,-34.5794596,-58.4389311,2021-03-27
"3","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",8,0,-34.5794596,-58.4389311,2021-03-27
"4","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",9,0,-34.5794596,-58.4389311,2021-03-27
"5","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",10,0,-34.5794596,-58.4389311,2021-03-27
"6","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",11,7.5,-34.5794596,-58.4389311,2021-03-27
"7","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",12,11.25,-34.5794596,-58.4389311,2021-03-27
"8","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",13,15,-34.5794596,-58.4389311,2021-03-27
"9","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",14,16.5,-34.5794596,-58.4389311,2021-03-27
"10","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",15,15.75,-34.5794596,-58.4389311,2021-03-27
"11","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",16,12.75,-34.5794596,-58.4389311,2021-03-27
"12","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",17,9,-34.5794596,-58.4389311,2021-03-27
"13","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",18,7.5,-34.5794596,-58.4389311,2021-03-27
"14","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",19,11.25,-34.5794596,-58.4389311,2021-03-27
"15","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",20,21,-34.5794596,-58.4389311,2021-03-27
"16","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",21,33,-34.5794596,-58.4389311,2021-03-27
"17","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",22,37.5,-34.5794596,-58.4389311,2021-03-27
"18","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","lunes",23,30.75,-34.5794596,-58.4389311,2021-03-27
"19","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",0,18,-34.5794596,-58.4389311,2021-03-27
"20","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",6,0,-34.5794596,-58.4389311,2021-03-27
"21","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",7,0,-34.5794596,-58.4389311,2021-03-27
"22","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",8,0,-34.5794596,-58.4389311,2021-03-27
"23","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",9,0,-34.5794596,-58.4389311,2021-03-27
"24","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",10,0,-34.5794596,-58.4389311,2021-03-27
"25","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",11,6.75,-34.5794596,-58.4389311,2021-03-27
"26","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",12,9.75,-34.5794596,-58.4389311,2021-03-27
"27","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",13,13.5,-34.5794596,-58.4389311,2021-03-27
"28","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",14,15.75,-34.5794596,-58.4389311,2021-03-27
"29","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",15,16.5,-34.5794596,-58.4389311,2021-03-27
"30","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",16,15.75,-34.5794596,-58.4389311,2021-03-27
"31","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires","martes",17,13.5,-34.5794596,-58.4389311,2021-03-27
