"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",6,0,-34.594268,-58.379878,2021-03-27
"2","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",7,5.25,-34.594268,-58.379878,2021-03-27
"3","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",8,9,-34.594268,-58.379878,2021-03-27
"4","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",9,13.5,-34.594268,-58.379878,2021-03-27
"5","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",10,19.5,-34.594268,-58.379878,2021-03-27
"6","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",11,25.5,-34.594268,-58.379878,2021-03-27
"7","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",12,30,-34.594268,-58.379878,2021-03-27
"8","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",13,33,-34.594268,-58.379878,2021-03-27
"9","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",14,33,-34.594268,-58.379878,2021-03-27
"10","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",15,30.75,-34.594268,-58.379878,2021-03-27
"11","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",16,27,-34.594268,-58.379878,2021-03-27
"12","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",17,23.25,-34.594268,-58.379878,2021-03-27
"13","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",18,21.75,-34.594268,-58.379878,2021-03-27
"14","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",19,24,-34.594268,-58.379878,2021-03-27
"15","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",20,30,-34.594268,-58.379878,2021-03-27
"16","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",21,32.25,-34.594268,-58.379878,2021-03-27
"17","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",22,26.25,-34.594268,-58.379878,2021-03-27
"18","Fenicia Restaurante, Ciudad de Buenos Aires","lunes",23,15.75,-34.594268,-58.379878,2021-03-27
"19","Fenicia Restaurante, Ciudad de Buenos Aires","martes",6,0,-34.594268,-58.379878,2021-03-27
"20","Fenicia Restaurante, Ciudad de Buenos Aires","martes",7,13.5,-34.594268,-58.379878,2021-03-27
"21","Fenicia Restaurante, Ciudad de Buenos Aires","martes",8,23.25,-34.594268,-58.379878,2021-03-27
"22","Fenicia Restaurante, Ciudad de Buenos Aires","martes",9,36,-34.594268,-58.379878,2021-03-27
"23","Fenicia Restaurante, Ciudad de Buenos Aires","martes",10,45,-34.594268,-58.379878,2021-03-27
"24","Fenicia Restaurante, Ciudad de Buenos Aires","martes",11,48.75,-34.594268,-58.379878,2021-03-27
"25","Fenicia Restaurante, Ciudad de Buenos Aires","martes",12,46.5,-34.594268,-58.379878,2021-03-27
"26","Fenicia Restaurante, Ciudad de Buenos Aires","martes",13,37.5,-34.594268,-58.379878,2021-03-27
"27","Fenicia Restaurante, Ciudad de Buenos Aires","martes",14,26.25,-34.594268,-58.379878,2021-03-27
"28","Fenicia Restaurante, Ciudad de Buenos Aires","martes",15,18.75,-34.594268,-58.379878,2021-03-27
"29","Fenicia Restaurante, Ciudad de Buenos Aires","martes",16,20.25,-34.594268,-58.379878,2021-03-27
"30","Fenicia Restaurante, Ciudad de Buenos Aires","martes",17,33,-34.594268,-58.379878,2021-03-27
"31","Fenicia Restaurante, Ciudad de Buenos Aires","martes",18,40.5,-34.594268,-58.379878,2021-03-27
"32","Fenicia Restaurante, Ciudad de Buenos Aires","martes",19,37.5,-34.594268,-58.379878,2021-03-27
"33","Fenicia Restaurante, Ciudad de Buenos Aires","martes",20,45,-34.594268,-58.379878,2021-03-27
"34","Fenicia Restaurante, Ciudad de Buenos Aires","martes",21,59.25,-34.594268,-58.379878,2021-03-27
"35","Fenicia Restaurante, Ciudad de Buenos Aires","martes",22,46.5,-34.594268,-58.379878,2021-03-27
"36","Fenicia Restaurante, Ciudad de Buenos Aires","martes",23,18,-34.594268,-58.379878,2021-03-27
"37","Fenicia Restaurante, Ciudad de Buenos Aires","miercoles",6,0,-34.594268,-58.379878,2021-03-27
"38","Fenicia Restaurante, Ciudad de Buenos Aires","miercoles",7,7.5,-34.594268,-58.379878,2021-03-27
"39","Fenicia Restaurante, Ciudad de Buenos Aires","miercoles",8,19.5,-34.594268,-58.379878,2021-03-27
"40","Fenicia Restaurante, Ciudad de Buenos Aires","miercoles",9,23.25,-34.594268,-58.379878,2021-03-27
"41","Fenicia Restaurante, Ciudad de Buenos Aires","miercoles",10,19.5,-34.594268,-58.379878,2021-03-27
"42","Fenicia Restaurante, Ciudad de Buenos Aires","miercoles",11,21.75,-34.594268,-58.379878,2021-03-27
