"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Ferona, Ciudad de Buenos Aires","lunes",0,33,-34.5870341,-58.4376275,2021-03-26
"2","Ferona, Ciudad de Buenos Aires","lunes",1,28.5,-34.5870341,-58.4376275,2021-03-26
"3","Ferona, Ciudad de Buenos Aires","lunes",2,20.25,-34.5870341,-58.4376275,2021-03-26
"4","Ferona, Ciudad de Buenos Aires","lunes",3,12,-34.5870341,-58.4376275,2021-03-26
"5","Ferona, Ciudad de Buenos Aires","lunes",4,9.75,-34.5870341,-58.4376275,2021-03-26
"6","Ferona, Ciudad de Buenos Aires","lunes",5,5.25,-34.5870341,-58.4376275,2021-03-26
"7","Ferona, Ciudad de Buenos Aires","lunes",6,3.75,-34.5870341,-58.4376275,2021-03-26
"8","Ferona, Ciudad de Buenos Aires","lunes",7,3.75,-34.5870341,-58.4376275,2021-03-26
"9","Ferona, Ciudad de Buenos Aires","lunes",8,4.5,-34.5870341,-58.4376275,2021-03-26
"10","Ferona, Ciudad de Buenos Aires","lunes",9,5.25,-34.5870341,-58.4376275,2021-03-26
"11","Ferona, Ciudad de Buenos Aires","lunes",10,6,-34.5870341,-58.4376275,2021-03-26
"12","Ferona, Ciudad de Buenos Aires","lunes",11,6.75,-34.5870341,-58.4376275,2021-03-26
"13","Ferona, Ciudad de Buenos Aires","lunes",12,6.75,-34.5870341,-58.4376275,2021-03-26
"14","Ferona, Ciudad de Buenos Aires","lunes",13,6.75,-34.5870341,-58.4376275,2021-03-26
"15","Ferona, Ciudad de Buenos Aires","lunes",14,6.75,-34.5870341,-58.4376275,2021-03-26
"16","Ferona, Ciudad de Buenos Aires","lunes",15,6.75,-34.5870341,-58.4376275,2021-03-26
"17","Ferona, Ciudad de Buenos Aires","lunes",16,6.75,-34.5870341,-58.4376275,2021-03-26
"18","Ferona, Ciudad de Buenos Aires","lunes",17,7.5,-34.5870341,-58.4376275,2021-03-26
"19","Ferona, Ciudad de Buenos Aires","lunes",18,10.5,-34.5870341,-58.4376275,2021-03-26
"20","Ferona, Ciudad de Buenos Aires","lunes",19,15,-34.5870341,-58.4376275,2021-03-26
"21","Ferona, Ciudad de Buenos Aires","lunes",20,20.25,-34.5870341,-58.4376275,2021-03-26
"22","Ferona, Ciudad de Buenos Aires","lunes",21,27.75,-34.5870341,-58.4376275,2021-03-26
"23","Ferona, Ciudad de Buenos Aires","lunes",22,36.75,-34.5870341,-58.4376275,2021-03-26
"24","Ferona, Ciudad de Buenos Aires","lunes",23,46.5,-34.5870341,-58.4376275,2021-03-26
"25","Ferona, Ciudad de Buenos Aires","miercoles",0,1.5,-34.5870341,-58.4376275,2021-03-26
"26","Ferona, Ciudad de Buenos Aires","miercoles",1,1.5,-34.5870341,-58.4376275,2021-03-26
"27","Ferona, Ciudad de Buenos Aires","miercoles",2,1.5,-34.5870341,-58.4376275,2021-03-26
"28","Ferona, Ciudad de Buenos Aires","miercoles",3,1.5,-34.5870341,-58.4376275,2021-03-26
"29","Ferona, Ciudad de Buenos Aires","miercoles",4,3,-34.5870341,-58.4376275,2021-03-26
"30","Ferona, Ciudad de Buenos Aires","miercoles",5,2.25,-34.5870341,-58.4376275,2021-03-26
"31","Ferona, Ciudad de Buenos Aires","miercoles",6,2.25,-34.5870341,-58.4376275,2021-03-26
"32","Ferona, Ciudad de Buenos Aires","miercoles",7,3.75,-34.5870341,-58.4376275,2021-03-26
"33","Ferona, Ciudad de Buenos Aires","miercoles",8,5.25,-34.5870341,-58.4376275,2021-03-26
