"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",6,0,-34.6007605,-58.4458309,2021-03-29
"2","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",7,0,-34.6007605,-58.4458309,2021-03-29
"3","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",8,0,-34.6007605,-58.4458309,2021-03-29
"4","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",9,0,-34.6007605,-58.4458309,2021-03-29
"5","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",10,6.75,-34.6007605,-58.4458309,2021-03-29
"6","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",11,12.75,-34.6007605,-58.4458309,2021-03-29
"7","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",12,18.75,-34.6007605,-58.4458309,2021-03-29
"8","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",13,23.25,-34.6007605,-58.4458309,2021-03-29
"9","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",14,24.75,-34.6007605,-58.4458309,2021-03-29
"10","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",15,22.5,-34.6007605,-58.4458309,2021-03-29
"11","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",16,17.25,-34.6007605,-58.4458309,2021-03-29
"12","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",17,13.5,-34.6007605,-58.4458309,2021-03-29
"13","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",18,13.5,-34.6007605,-58.4458309,2021-03-29
"14","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",19,19.5,-34.6007605,-58.4458309,2021-03-29
"15","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",20,27.75,-34.6007605,-58.4458309,2021-03-29
"16","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",21,33.75,-34.6007605,-58.4458309,2021-03-29
"17","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",22,31.5,-34.6007605,-58.4458309,2021-03-29
"18","Fierro Carnes y Fuego, Ciudad de Buenos Aires","lunes",23,22.5,-34.6007605,-58.4458309,2021-03-29
"19","Fierro Carnes y Fuego, Ciudad de Buenos Aires","martes",6,0,-34.6007605,-58.4458309,2021-03-29
"20","Fierro Carnes y Fuego, Ciudad de Buenos Aires","martes",7,0,-34.6007605,-58.4458309,2021-03-29
"21","Fierro Carnes y Fuego, Ciudad de Buenos Aires","martes",8,0,-34.6007605,-58.4458309,2021-03-29
"22","Fierro Carnes y Fuego, Ciudad de Buenos Aires","martes",9,0,-34.6007605,-58.4458309,2021-03-29
