"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Francesca Restaurante, Ciudad de Buenos Aires","lunes",6,0,-34.588825,-58.3838111,2021-03-27
"2","Francesca Restaurante, Ciudad de Buenos Aires","lunes",7,0,-34.588825,-58.3838111,2021-03-27
"3","Francesca Restaurante, Ciudad de Buenos Aires","lunes",8,0,-34.588825,-58.3838111,2021-03-27
"4","Francesca Restaurante, Ciudad de Buenos Aires","lunes",9,0,-34.588825,-58.3838111,2021-03-27
"5","Francesca Restaurante, Ciudad de Buenos Aires","lunes",10,10.5,-34.588825,-58.3838111,2021-03-27
"6","Francesca Restaurante, Ciudad de Buenos Aires","lunes",11,21,-34.588825,-58.3838111,2021-03-27
"7","Francesca Restaurante, Ciudad de Buenos Aires","lunes",12,36,-34.588825,-58.3838111,2021-03-27
"8","Francesca Restaurante, Ciudad de Buenos Aires","lunes",13,49.5,-34.588825,-58.3838111,2021-03-27
"9","Francesca Restaurante, Ciudad de Buenos Aires","lunes",14,57,-34.588825,-58.3838111,2021-03-27
"10","Francesca Restaurante, Ciudad de Buenos Aires","lunes",15,57,-34.588825,-58.3838111,2021-03-27
"11","Francesca Restaurante, Ciudad de Buenos Aires","lunes",16,58.5,-34.588825,-58.3838111,2021-03-27
"12","Francesca Restaurante, Ciudad de Buenos Aires","lunes",17,69,-34.588825,-58.3838111,2021-03-27
"13","Francesca Restaurante, Ciudad de Buenos Aires","lunes",18,70.5,-34.588825,-58.3838111,2021-03-27
"14","Francesca Restaurante, Ciudad de Buenos Aires","lunes",19,46.5,-34.588825,-58.3838111,2021-03-27
"15","Francesca Restaurante, Ciudad de Buenos Aires","lunes",20,18.75,-34.588825,-58.3838111,2021-03-27
"16","Francesca Restaurante, Ciudad de Buenos Aires","lunes",21,6.75,-34.588825,-58.3838111,2021-03-27
"17","Francesca Restaurante, Ciudad de Buenos Aires","lunes",22,0,-34.588825,-58.3838111,2021-03-27
"18","Francesca Restaurante, Ciudad de Buenos Aires","lunes",23,0,-34.588825,-58.3838111,2021-03-27
"19","Francesca Restaurante, Ciudad de Buenos Aires","martes",6,0,-34.588825,-58.3838111,2021-03-27
"20","Francesca Restaurante, Ciudad de Buenos Aires","martes",7,0,-34.588825,-58.3838111,2021-03-27
"21","Francesca Restaurante, Ciudad de Buenos Aires","martes",8,0,-34.588825,-58.3838111,2021-03-27
"22","Francesca Restaurante, Ciudad de Buenos Aires","martes",9,0,-34.588825,-58.3838111,2021-03-27
"23","Francesca Restaurante, Ciudad de Buenos Aires","martes",10,10.5,-34.588825,-58.3838111,2021-03-27
"24","Francesca Restaurante, Ciudad de Buenos Aires","martes",11,25.5,-34.588825,-58.3838111,2021-03-27
"25","Francesca Restaurante, Ciudad de Buenos Aires","martes",12,46.5,-34.588825,-58.3838111,2021-03-27
"26","Francesca Restaurante, Ciudad de Buenos Aires","martes",13,63.75,-34.588825,-58.3838111,2021-03-27
"27","Francesca Restaurante, Ciudad de Buenos Aires","martes",14,68.25,-34.588825,-58.3838111,2021-03-27
"28","Francesca Restaurante, Ciudad de Buenos Aires","martes",15,60,-34.588825,-58.3838111,2021-03-27
"29","Francesca Restaurante, Ciudad de Buenos Aires","martes",16,56.25,-34.588825,-58.3838111,2021-03-27
"30","Francesca Restaurante, Ciudad de Buenos Aires","martes",17,66,-34.588825,-58.3838111,2021-03-27
"31","Francesca Restaurante, Ciudad de Buenos Aires","martes",18,72,-34.588825,-58.3838111,2021-03-27
"32","Francesca Restaurante, Ciudad de Buenos Aires","martes",19,52.5,-34.588825,-58.3838111,2021-03-27
"33","Francesca Restaurante, Ciudad de Buenos Aires","martes",20,24,-34.588825,-58.3838111,2021-03-27
"34","Francesca Restaurante, Ciudad de Buenos Aires","martes",21,6,-34.588825,-58.3838111,2021-03-27
"35","Francesca Restaurante, Ciudad de Buenos Aires","martes",22,0,-34.588825,-58.3838111,2021-03-27
"36","Francesca Restaurante, Ciudad de Buenos Aires","martes",23,0,-34.588825,-58.3838111,2021-03-27
"37","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",6,0,-34.588825,-58.3838111,2021-03-27
"38","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",7,0,-34.588825,-58.3838111,2021-03-27
"39","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",8,0,-34.588825,-58.3838111,2021-03-27
"40","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",9,0,-34.588825,-58.3838111,2021-03-27
"41","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",10,8.25,-34.588825,-58.3838111,2021-03-27
"42","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",11,24.75,-34.588825,-58.3838111,2021-03-27
"43","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",12,48,-34.588825,-58.3838111,2021-03-27
"44","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",13,60.75,-34.588825,-58.3838111,2021-03-27
"45","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",14,57,-34.588825,-58.3838111,2021-03-27
"46","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",15,54,-34.588825,-58.3838111,2021-03-27
"47","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",16,59.25,-34.588825,-58.3838111,2021-03-27
"48","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",17,60,-34.588825,-58.3838111,2021-03-27
"49","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",18,60.75,-34.588825,-58.3838111,2021-03-27
"50","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",19,52.5,-34.588825,-58.3838111,2021-03-27
"51","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",20,24.75,-34.588825,-58.3838111,2021-03-27
"52","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",21,5.25,-34.588825,-58.3838111,2021-03-27
"53","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",22,0,-34.588825,-58.3838111,2021-03-27
"54","Francesca Restaurante, Ciudad de Buenos Aires","miercoles",23,0,-34.588825,-58.3838111,2021-03-27
"55","Francesca Restaurante, Ciudad de Buenos Aires","jueves",6,0,-34.588825,-58.3838111,2021-03-27
"56","Francesca Restaurante, Ciudad de Buenos Aires","jueves",7,0,-34.588825,-58.3838111,2021-03-27
"57","Francesca Restaurante, Ciudad de Buenos Aires","jueves",8,0,-34.588825,-58.3838111,2021-03-27
"58","Francesca Restaurante, Ciudad de Buenos Aires","jueves",9,0,-34.588825,-58.3838111,2021-03-27
"59","Francesca Restaurante, Ciudad de Buenos Aires","jueves",10,9.75,-34.588825,-58.3838111,2021-03-27
"60","Francesca Restaurante, Ciudad de Buenos Aires","jueves",11,19.5,-34.588825,-58.3838111,2021-03-27
"61","Francesca Restaurante, Ciudad de Buenos Aires","jueves",12,30,-34.588825,-58.3838111,2021-03-27
"62","Francesca Restaurante, Ciudad de Buenos Aires","jueves",13,39.75,-34.588825,-58.3838111,2021-03-27
"63","Francesca Restaurante, Ciudad de Buenos Aires","jueves",14,51.75,-34.588825,-58.3838111,2021-03-27
"64","Francesca Restaurante, Ciudad de Buenos Aires","jueves",15,58.5,-34.588825,-58.3838111,2021-03-27
"65","Francesca Restaurante, Ciudad de Buenos Aires","jueves",16,51.75,-34.588825,-58.3838111,2021-03-27
"66","Francesca Restaurante, Ciudad de Buenos Aires","jueves",17,48.75,-34.588825,-58.3838111,2021-03-27
"67","Francesca Restaurante, Ciudad de Buenos Aires","jueves",18,59.25,-34.588825,-58.3838111,2021-03-27
"68","Francesca Restaurante, Ciudad de Buenos Aires","jueves",19,44.25,-34.588825,-58.3838111,2021-03-27
"69","Francesca Restaurante, Ciudad de Buenos Aires","jueves",20,14.25,-34.588825,-58.3838111,2021-03-27
"70","Francesca Restaurante, Ciudad de Buenos Aires","jueves",21,1.5,-34.588825,-58.3838111,2021-03-27
"71","Francesca Restaurante, Ciudad de Buenos Aires","jueves",22,0,-34.588825,-58.3838111,2021-03-27
"72","Francesca Restaurante, Ciudad de Buenos Aires","jueves",23,0,-34.588825,-58.3838111,2021-03-27
"73","Francesca Restaurante, Ciudad de Buenos Aires","viernes",6,0,-34.588825,-58.3838111,2021-03-27
