"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",6,0,-34.5879705,-58.4255258,2021-03-27
"2","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",7,0,-34.5879705,-58.4255258,2021-03-27
"3","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",8,0,-34.5879705,-58.4255258,2021-03-27
"4","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",9,0,-34.5879705,-58.4255258,2021-03-27
"5","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",10,0,-34.5879705,-58.4255258,2021-03-27
"6","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",11,0,-34.5879705,-58.4255258,2021-03-27
"7","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",12,0,-34.5879705,-58.4255258,2021-03-27
"8","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",13,0,-34.5879705,-58.4255258,2021-03-27
"9","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",14,0,-34.5879705,-58.4255258,2021-03-27
"10","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",15,0,-34.5879705,-58.4255258,2021-03-27
"11","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",16,0,-34.5879705,-58.4255258,2021-03-27
"12","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",17,4.5,-34.5879705,-58.4255258,2021-03-27
"13","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",18,10.5,-34.5879705,-58.4255258,2021-03-27
"14","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",19,15,-34.5879705,-58.4255258,2021-03-27
"15","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",20,17.25,-34.5879705,-58.4255258,2021-03-27
"16","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",21,21,-34.5879705,-58.4255258,2021-03-27
"17","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",22,26.25,-34.5879705,-58.4255258,2021-03-27
"18","Glück Cervecería Palermo, Ciudad de Buenos Aires","lunes",23,24.75,-34.5879705,-58.4255258,2021-03-27
"19","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",0,17.25,-34.5879705,-58.4255258,2021-03-27
"20","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",6,0,-34.5879705,-58.4255258,2021-03-27
"21","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",7,0,-34.5879705,-58.4255258,2021-03-27
"22","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",8,0,-34.5879705,-58.4255258,2021-03-27
"23","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",9,0,-34.5879705,-58.4255258,2021-03-27
"24","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",10,0,-34.5879705,-58.4255258,2021-03-27
"25","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",11,0,-34.5879705,-58.4255258,2021-03-27
"26","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",12,0,-34.5879705,-58.4255258,2021-03-27
"27","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",13,0,-34.5879705,-58.4255258,2021-03-27
"28","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",14,0,-34.5879705,-58.4255258,2021-03-27
"29","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",15,0,-34.5879705,-58.4255258,2021-03-27
"30","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",16,0,-34.5879705,-58.4255258,2021-03-27
"31","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",17,9.75,-34.5879705,-58.4255258,2021-03-27
"32","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",18,15.75,-34.5879705,-58.4255258,2021-03-27
"33","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",19,22.5,-34.5879705,-58.4255258,2021-03-27
"34","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",20,27.75,-34.5879705,-58.4255258,2021-03-27
"35","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",21,30.75,-34.5879705,-58.4255258,2021-03-27
"36","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",22,30,-34.5879705,-58.4255258,2021-03-27
"37","Glück Cervecería Palermo, Ciudad de Buenos Aires","martes",23,26.25,-34.5879705,-58.4255258,2021-03-27
"38","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",0,18,-34.5879705,-58.4255258,2021-03-27
"39","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",6,0,-34.5879705,-58.4255258,2021-03-27
"40","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",7,0,-34.5879705,-58.4255258,2021-03-27
"41","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",8,0,-34.5879705,-58.4255258,2021-03-27
"42","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",9,0,-34.5879705,-58.4255258,2021-03-27
"43","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",10,0,-34.5879705,-58.4255258,2021-03-27
"44","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",11,0,-34.5879705,-58.4255258,2021-03-27
"45","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",12,0,-34.5879705,-58.4255258,2021-03-27
"46","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",13,0,-34.5879705,-58.4255258,2021-03-27
"47","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",14,0,-34.5879705,-58.4255258,2021-03-27
"48","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",15,0,-34.5879705,-58.4255258,2021-03-27
"49","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",16,0,-34.5879705,-58.4255258,2021-03-27
"50","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",17,7.5,-34.5879705,-58.4255258,2021-03-27
"51","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",18,15.75,-34.5879705,-58.4255258,2021-03-27
"52","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",19,26.25,-34.5879705,-58.4255258,2021-03-27
"53","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",20,35.25,-34.5879705,-58.4255258,2021-03-27
"54","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",21,41.25,-34.5879705,-58.4255258,2021-03-27
"55","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",22,40.5,-34.5879705,-58.4255258,2021-03-27
"56","Glück Cervecería Palermo, Ciudad de Buenos Aires","miercoles",23,33.75,-34.5879705,-58.4255258,2021-03-27
"57","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",0,22.5,-34.5879705,-58.4255258,2021-03-27
"58","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",6,0,-34.5879705,-58.4255258,2021-03-27
"59","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",7,0,-34.5879705,-58.4255258,2021-03-27
"60","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",8,0,-34.5879705,-58.4255258,2021-03-27
"61","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",9,0,-34.5879705,-58.4255258,2021-03-27
"62","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",10,0,-34.5879705,-58.4255258,2021-03-27
"63","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",11,0,-34.5879705,-58.4255258,2021-03-27
"64","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",12,0,-34.5879705,-58.4255258,2021-03-27
"65","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",13,0,-34.5879705,-58.4255258,2021-03-27
"66","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",14,0,-34.5879705,-58.4255258,2021-03-27
"67","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",15,0,-34.5879705,-58.4255258,2021-03-27
"68","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",16,0,-34.5879705,-58.4255258,2021-03-27
"69","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",17,7.5,-34.5879705,-58.4255258,2021-03-27
"70","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",18,12.75,-34.5879705,-58.4255258,2021-03-27
"71","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",19,18.75,-34.5879705,-58.4255258,2021-03-27
"72","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",20,27,-34.5879705,-58.4255258,2021-03-27
"73","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",21,33.75,-34.5879705,-58.4255258,2021-03-27
"74","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",22,37.5,-34.5879705,-58.4255258,2021-03-27
"75","Glück Cervecería Palermo, Ciudad de Buenos Aires","jueves",23,33.75,-34.5879705,-58.4255258,2021-03-27
"76","Glück Cervecería Palermo, Ciudad de Buenos Aires","viernes",0,24.75,-34.5879705,-58.4255258,2021-03-27
"77","Glück Cervecería Palermo, Ciudad de Buenos Aires","viernes",6,0,-34.5879705,-58.4255258,2021-03-27
"78","Glück Cervecería Palermo, Ciudad de Buenos Aires","viernes",7,0,-34.5879705,-58.4255258,2021-03-27
"79","Glück Cervecería Palermo, Ciudad de Buenos Aires","viernes",8,0,-34.5879705,-58.4255258,2021-03-27
"80","Glück Cervecería Palermo, Ciudad de Buenos Aires","viernes",9,0,-34.5879705,-58.4255258,2021-03-27
"81","Glück Cervecería Palermo, Ciudad de Buenos Aires","viernes",10,0,-34.5879705,-58.4255258,2021-03-27
"82","Glück Cervecería Palermo, Ciudad de Buenos Aires","viernes",11,0,-34.5879705,-58.4255258,2021-03-27
