"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",6,0,-34.580553,-58.472656,2021-03-30
"2","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",7,0,-34.580553,-58.472656,2021-03-30
"3","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",8,0,-34.580553,-58.472656,2021-03-30
"4","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",9,0,-34.580553,-58.472656,2021-03-30
"5","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",10,0,-34.580553,-58.472656,2021-03-30
"6","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",11,0,-34.580553,-58.472656,2021-03-30
"7","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",12,6,-34.580553,-58.472656,2021-03-30
"8","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",13,9,-34.580553,-58.472656,2021-03-30
"9","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",14,12.75,-34.580553,-58.472656,2021-03-30
"10","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",15,17.25,-34.580553,-58.472656,2021-03-30
"11","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",16,21,-34.580553,-58.472656,2021-03-30
"12","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",17,23.25,-34.580553,-58.472656,2021-03-30
"13","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",18,24,-34.580553,-58.472656,2021-03-30
"14","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",19,25.5,-34.580553,-58.472656,2021-03-30
"15","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",20,30,-34.580553,-58.472656,2021-03-30
"16","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",21,37.5,-34.580553,-58.472656,2021-03-30
"17","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",22,41.25,-34.580553,-58.472656,2021-03-30
"18","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",23,38.25,-34.580553,-58.472656,2021-03-30
"19","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",0,27,-34.580553,-58.472656,2021-03-30
"20","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",6,0,-34.580553,-58.472656,2021-03-30
"21","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",7,0,-34.580553,-58.472656,2021-03-30
"22","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",8,0,-34.580553,-58.472656,2021-03-30
"23","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",9,0,-34.580553,-58.472656,2021-03-30
"24","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",10,0,-34.580553,-58.472656,2021-03-30
"25","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",11,0,-34.580553,-58.472656,2021-03-30
"26","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",12,3,-34.580553,-58.472656,2021-03-30
"27","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",13,8.25,-34.580553,-58.472656,2021-03-30
"28","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",14,13.5,-34.580553,-58.472656,2021-03-30
"29","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",15,15,-34.580553,-58.472656,2021-03-30
"30","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",16,15,-34.580553,-58.472656,2021-03-30
"31","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",17,20.25,-34.580553,-58.472656,2021-03-30
"32","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",18,26.25,-34.580553,-58.472656,2021-03-30
"33","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",19,29.25,-34.580553,-58.472656,2021-03-30
"34","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",20,30,-34.580553,-58.472656,2021-03-30
"35","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",21,37.5,-34.580553,-58.472656,2021-03-30
"36","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",22,47.25,-34.580553,-58.472656,2021-03-30
"37","HELADERÍA ENZO, Ciudad de Buenos Aires","martes",23,49.5,-34.580553,-58.472656,2021-03-30
"38","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",0,36,-34.580553,-58.472656,2021-03-30
"39","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",6,0,-34.580553,-58.472656,2021-03-30
"40","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",7,0,-34.580553,-58.472656,2021-03-30
"41","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",8,0,-34.580553,-58.472656,2021-03-30
"42","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",9,0,-34.580553,-58.472656,2021-03-30
"43","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",10,0,-34.580553,-58.472656,2021-03-30
"44","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",11,0,-34.580553,-58.472656,2021-03-30
"45","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",12,8.25,-34.580553,-58.472656,2021-03-30
"46","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",13,12.75,-34.580553,-58.472656,2021-03-30
"47","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",14,18.75,-34.580553,-58.472656,2021-03-30
"48","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",15,24.75,-34.580553,-58.472656,2021-03-30
"49","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",16,31.5,-34.580553,-58.472656,2021-03-30
"50","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",17,37.5,-34.580553,-58.472656,2021-03-30
"51","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",18,41.25,-34.580553,-58.472656,2021-03-30
"52","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",19,42,-34.580553,-58.472656,2021-03-30
"53","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",20,40.5,-34.580553,-58.472656,2021-03-30
"54","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",21,35.25,-34.580553,-58.472656,2021-03-30
"55","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",22,39.75,-34.580553,-58.472656,2021-03-30
"56","HELADERÍA ENZO, Ciudad de Buenos Aires","miercoles",23,70.5,-34.580553,-58.472656,2021-03-30
"57","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",0,54.75,-34.580553,-58.472656,2021-03-30
"58","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",6,0,-34.580553,-58.472656,2021-03-30
"59","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",7,0,-34.580553,-58.472656,2021-03-30
"60","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",8,0,-34.580553,-58.472656,2021-03-30
"61","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",9,0,-34.580553,-58.472656,2021-03-30
"62","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",10,0,-34.580553,-58.472656,2021-03-30
"63","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",11,0,-34.580553,-58.472656,2021-03-30
"64","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",12,5.25,-34.580553,-58.472656,2021-03-30
"65","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",13,9,-34.580553,-58.472656,2021-03-30
"66","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",14,14.25,-34.580553,-58.472656,2021-03-30
"67","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",15,21.75,-34.580553,-58.472656,2021-03-30
"68","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",16,27.75,-34.580553,-58.472656,2021-03-30
"69","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",17,31.5,-34.580553,-58.472656,2021-03-30
"70","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",18,31.5,-34.580553,-58.472656,2021-03-30
"71","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",19,30,-34.580553,-58.472656,2021-03-30
"72","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",20,29.25,-34.580553,-58.472656,2021-03-30
"73","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",21,32.25,-34.580553,-58.472656,2021-03-30
"74","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",22,36,-34.580553,-58.472656,2021-03-30
"75","HELADERÍA ENZO, Ciudad de Buenos Aires","jueves",23,33,-34.580553,-58.472656,2021-03-30
"76","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",0,21.75,-34.580553,-58.472656,2021-03-30
"77","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",6,0,-34.580553,-58.472656,2021-03-30
"78","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",7,0,-34.580553,-58.472656,2021-03-30
"79","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",8,0,-34.580553,-58.472656,2021-03-30
"80","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",9,0,-34.580553,-58.472656,2021-03-30
"81","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",10,0,-34.580553,-58.472656,2021-03-30
"82","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",11,0,-34.580553,-58.472656,2021-03-30
"83","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",12,5.25,-34.580553,-58.472656,2021-03-30
"84","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",13,9,-34.580553,-58.472656,2021-03-30
"85","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",14,14.25,-34.580553,-58.472656,2021-03-30
"86","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",15,22.5,-34.580553,-58.472656,2021-03-30
"87","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",16,29.25,-34.580553,-58.472656,2021-03-30
"88","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",17,35.25,-34.580553,-58.472656,2021-03-30
"89","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",18,39.75,-34.580553,-58.472656,2021-03-30
"90","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",19,39.75,-34.580553,-58.472656,2021-03-30
"91","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",20,40.5,-34.580553,-58.472656,2021-03-30
"92","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",21,52.5,-34.580553,-58.472656,2021-03-30
"93","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",22,69.75,-34.580553,-58.472656,2021-03-30
"94","HELADERÍA ENZO, Ciudad de Buenos Aires","viernes",23,60.75,-34.580553,-58.472656,2021-03-30
"95","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",0,30,-34.580553,-58.472656,2021-03-30
"96","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",6,0,-34.580553,-58.472656,2021-03-30
"97","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",7,0,-34.580553,-58.472656,2021-03-30
"98","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",8,0,-34.580553,-58.472656,2021-03-30
"99","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",9,0,-34.580553,-58.472656,2021-03-30
"100","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",10,0,-34.580553,-58.472656,2021-03-30
"101","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",11,0,-34.580553,-58.472656,2021-03-30
"102","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",12,6.75,-34.580553,-58.472656,2021-03-30
"103","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",13,12,-34.580553,-58.472656,2021-03-30
"104","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",14,20.25,-34.580553,-58.472656,2021-03-30
"105","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",15,30,-34.580553,-58.472656,2021-03-30
"106","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",16,39.75,-34.580553,-58.472656,2021-03-30
"107","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",17,46.5,-34.580553,-58.472656,2021-03-30
"108","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",18,51,-34.580553,-58.472656,2021-03-30
"109","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",19,52.5,-34.580553,-58.472656,2021-03-30
"110","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",20,57,-34.580553,-58.472656,2021-03-30
"111","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",21,64.5,-34.580553,-58.472656,2021-03-30
"112","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",22,75,-34.580553,-58.472656,2021-03-30
"113","HELADERÍA ENZO, Ciudad de Buenos Aires","sabado",23,75,-34.580553,-58.472656,2021-03-30
"114","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",0,60.75,-34.580553,-58.472656,2021-03-30
"115","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",6,0,-34.580553,-58.472656,2021-03-30
"116","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",7,0,-34.580553,-58.472656,2021-03-30
"117","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",8,0,-34.580553,-58.472656,2021-03-30
"118","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",9,0,-34.580553,-58.472656,2021-03-30
"119","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",10,0,-34.580553,-58.472656,2021-03-30
"120","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",11,0,-34.580553,-58.472656,2021-03-30
"121","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",12,6.75,-34.580553,-58.472656,2021-03-30
"122","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",13,12.75,-34.580553,-58.472656,2021-03-30
"123","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",14,23.25,-34.580553,-58.472656,2021-03-30
"124","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",15,34.5,-34.580553,-58.472656,2021-03-30
"125","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",16,44.25,-34.580553,-58.472656,2021-03-30
"126","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",17,47.25,-34.580553,-58.472656,2021-03-30
"127","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",18,45,-34.580553,-58.472656,2021-03-30
"128","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",19,43.5,-34.580553,-58.472656,2021-03-30
"129","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",20,51.75,-34.580553,-58.472656,2021-03-30
"130","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",21,69.75,-34.580553,-58.472656,2021-03-30
"131","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",22,75,-34.580553,-58.472656,2021-03-30
"132","HELADERÍA ENZO, Ciudad de Buenos Aires","domingo",23,54.75,-34.580553,-58.472656,2021-03-30
"133","HELADERÍA ENZO, Ciudad de Buenos Aires","lunes",0,28.5,-34.580553,-58.472656,2021-03-30
