"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",6,0,-34.620664,-58.373288,2021-03-27
"2","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",7,0,-34.620664,-58.373288,2021-03-27
"3","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",8,0,-34.620664,-58.373288,2021-03-27
"4","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",9,0,-34.620664,-58.373288,2021-03-27
"5","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",10,0,-34.620664,-58.373288,2021-03-27
"6","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",11,2.25,-34.620664,-58.373288,2021-03-27
"7","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",12,1.5,-34.620664,-58.373288,2021-03-27
"8","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",13,0.75,-34.620664,-58.373288,2021-03-27
"9","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",14,0.75,-34.620664,-58.373288,2021-03-27
"10","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",15,0.75,-34.620664,-58.373288,2021-03-27
"11","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",16,0,-34.620664,-58.373288,2021-03-27
"12","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",17,0,-34.620664,-58.373288,2021-03-27
"13","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",18,0,-34.620664,-58.373288,2021-03-27
"14","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",19,0,-34.620664,-58.373288,2021-03-27
"15","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",20,6.75,-34.620664,-58.373288,2021-03-27
"16","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",21,28.5,-34.620664,-58.373288,2021-03-27
"17","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",22,37.5,-34.620664,-58.373288,2021-03-27
"18","Habibi Cocina árabe, Ciudad de Buenos Aires","lunes",23,22.5,-34.620664,-58.373288,2021-03-27
"19","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",6,0,-34.620664,-58.373288,2021-03-27
"20","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",7,0,-34.620664,-58.373288,2021-03-27
"21","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",8,0,-34.620664,-58.373288,2021-03-27
"22","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",9,0,-34.620664,-58.373288,2021-03-27
"23","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",10,0,-34.620664,-58.373288,2021-03-27
"24","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",11,0.75,-34.620664,-58.373288,2021-03-27
"25","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",12,7.5,-34.620664,-58.373288,2021-03-27
"26","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",13,20.25,-34.620664,-58.373288,2021-03-27
"27","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",14,27,-34.620664,-58.373288,2021-03-27
"28","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",15,18.75,-34.620664,-58.373288,2021-03-27
"29","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",16,0,-34.620664,-58.373288,2021-03-27
"30","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",17,0,-34.620664,-58.373288,2021-03-27
"31","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",18,0,-34.620664,-58.373288,2021-03-27
"32","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",19,0,-34.620664,-58.373288,2021-03-27
"33","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",20,19.5,-34.620664,-58.373288,2021-03-27
"34","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",21,28.5,-34.620664,-58.373288,2021-03-27
"35","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",22,31.5,-34.620664,-58.373288,2021-03-27
"36","Habibi Cocina árabe, Ciudad de Buenos Aires","martes",23,25.5,-34.620664,-58.373288,2021-03-27
"37","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",6,0,-34.620664,-58.373288,2021-03-27
"38","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",7,0,-34.620664,-58.373288,2021-03-27
"39","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",8,0,-34.620664,-58.373288,2021-03-27
"40","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",9,0,-34.620664,-58.373288,2021-03-27
"41","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",10,0,-34.620664,-58.373288,2021-03-27
"42","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",11,17.25,-34.620664,-58.373288,2021-03-27
"43","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",12,29.25,-34.620664,-58.373288,2021-03-27
"44","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",13,34.5,-34.620664,-58.373288,2021-03-27
"45","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",14,27.75,-34.620664,-58.373288,2021-03-27
"46","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",15,14.25,-34.620664,-58.373288,2021-03-27
"47","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",16,0,-34.620664,-58.373288,2021-03-27
"48","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",17,0,-34.620664,-58.373288,2021-03-27
"49","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",18,0,-34.620664,-58.373288,2021-03-27
"50","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",19,0,-34.620664,-58.373288,2021-03-27
"51","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",20,10.5,-34.620664,-58.373288,2021-03-27
"52","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",21,24.75,-34.620664,-58.373288,2021-03-27
"53","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",22,29.25,-34.620664,-58.373288,2021-03-27
"54","Habibi Cocina árabe, Ciudad de Buenos Aires","miercoles",23,18.75,-34.620664,-58.373288,2021-03-27
"55","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",6,0,-34.620664,-58.373288,2021-03-27
"56","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",7,0,-34.620664,-58.373288,2021-03-27
"57","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",8,0,-34.620664,-58.373288,2021-03-27
"58","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",9,0,-34.620664,-58.373288,2021-03-27
"59","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",10,0,-34.620664,-58.373288,2021-03-27
"60","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",11,0.75,-34.620664,-58.373288,2021-03-27
"61","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",12,3.75,-34.620664,-58.373288,2021-03-27
"62","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",13,11.25,-34.620664,-58.373288,2021-03-27
"63","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",14,16.5,-34.620664,-58.373288,2021-03-27
"64","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",15,17.25,-34.620664,-58.373288,2021-03-27
"65","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",16,0,-34.620664,-58.373288,2021-03-27
"66","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",17,0,-34.620664,-58.373288,2021-03-27
"67","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",18,0,-34.620664,-58.373288,2021-03-27
"68","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",19,0,-34.620664,-58.373288,2021-03-27
"69","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",20,24,-34.620664,-58.373288,2021-03-27
"70","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",21,42,-34.620664,-58.373288,2021-03-27
"71","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",22,44.25,-34.620664,-58.373288,2021-03-27
"72","Habibi Cocina árabe, Ciudad de Buenos Aires","jueves",23,27,-34.620664,-58.373288,2021-03-27
"73","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",6,0,-34.620664,-58.373288,2021-03-27
"74","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",7,0,-34.620664,-58.373288,2021-03-27
"75","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",8,0,-34.620664,-58.373288,2021-03-27
"76","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",9,0,-34.620664,-58.373288,2021-03-27
"77","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",10,0,-34.620664,-58.373288,2021-03-27
"78","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",11,12,-34.620664,-58.373288,2021-03-27
"79","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",12,15,-34.620664,-58.373288,2021-03-27
"80","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",13,12.75,-34.620664,-58.373288,2021-03-27
"81","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",14,6.75,-34.620664,-58.373288,2021-03-27
"82","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",15,1.5,-34.620664,-58.373288,2021-03-27
"83","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",16,0,-34.620664,-58.373288,2021-03-27
"84","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",17,0,-34.620664,-58.373288,2021-03-27
"85","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",18,0,-34.620664,-58.373288,2021-03-27
"86","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",19,0,-34.620664,-58.373288,2021-03-27
"87","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",20,17.25,-34.620664,-58.373288,2021-03-27
"88","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",21,30,-34.620664,-58.373288,2021-03-27
"89","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",22,36,-34.620664,-58.373288,2021-03-27
"90","Habibi Cocina árabe, Ciudad de Buenos Aires","viernes",23,31.5,-34.620664,-58.373288,2021-03-27
"91","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",6,0,-34.620664,-58.373288,2021-03-27
"92","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",7,0,-34.620664,-58.373288,2021-03-27
"93","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",8,0,-34.620664,-58.373288,2021-03-27
"94","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",9,0,-34.620664,-58.373288,2021-03-27
"95","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",10,0,-34.620664,-58.373288,2021-03-27
"96","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",11,9,-34.620664,-58.373288,2021-03-27
"97","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",12,12.75,-34.620664,-58.373288,2021-03-27
"98","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",13,15,-34.620664,-58.373288,2021-03-27
"99","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",14,13.5,-34.620664,-58.373288,2021-03-27
"100","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",15,9,-34.620664,-58.373288,2021-03-27
"101","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",16,0,-34.620664,-58.373288,2021-03-27
"102","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",17,0,-34.620664,-58.373288,2021-03-27
"103","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",18,0,-34.620664,-58.373288,2021-03-27
"104","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",19,0,-34.620664,-58.373288,2021-03-27
"105","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",20,15.75,-34.620664,-58.373288,2021-03-27
"106","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",21,59.25,-34.620664,-58.373288,2021-03-27
"107","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",22,75,-34.620664,-58.373288,2021-03-27
"108","Habibi Cocina árabe, Ciudad de Buenos Aires","sabado",23,44.25,-34.620664,-58.373288,2021-03-27
"109","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",6,0,-34.620664,-58.373288,2021-03-27
"110","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",7,0,-34.620664,-58.373288,2021-03-27
"111","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",8,0,-34.620664,-58.373288,2021-03-27
"112","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",9,0,-34.620664,-58.373288,2021-03-27
"113","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",10,0,-34.620664,-58.373288,2021-03-27
"114","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",11,0,-34.620664,-58.373288,2021-03-27
"115","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",12,0.75,-34.620664,-58.373288,2021-03-27
"116","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",13,10.5,-34.620664,-58.373288,2021-03-27
"117","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",14,23.25,-34.620664,-58.373288,2021-03-27
"118","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",15,24.75,-34.620664,-58.373288,2021-03-27
"119","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",16,15.75,-34.620664,-58.373288,2021-03-27
"120","Habibi Cocina árabe, Ciudad de Buenos Aires","domingo",17,7.5,-34.620664,-58.373288,2021-03-27
