"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Halina Café, Ciudad de Buenos Aires","lunes",6,0,-34.5838915,-58.4125384,2021-03-26
"2","Halina Café, Ciudad de Buenos Aires","lunes",7,2.25,-34.5838915,-58.4125384,2021-03-26
"3","Halina Café, Ciudad de Buenos Aires","lunes",8,7.5,-34.5838915,-58.4125384,2021-03-26
"4","Halina Café, Ciudad de Buenos Aires","lunes",9,15.75,-34.5838915,-58.4125384,2021-03-26
"5","Halina Café, Ciudad de Buenos Aires","lunes",10,25.5,-34.5838915,-58.4125384,2021-03-26
"6","Halina Café, Ciudad de Buenos Aires","lunes",11,30,-34.5838915,-58.4125384,2021-03-26
"7","Halina Café, Ciudad de Buenos Aires","lunes",12,29.25,-34.5838915,-58.4125384,2021-03-26
"8","Halina Café, Ciudad de Buenos Aires","lunes",13,26.25,-34.5838915,-58.4125384,2021-03-26
"9","Halina Café, Ciudad de Buenos Aires","lunes",14,26.25,-34.5838915,-58.4125384,2021-03-26
"10","Halina Café, Ciudad de Buenos Aires","lunes",15,30.75,-34.5838915,-58.4125384,2021-03-26
"11","Halina Café, Ciudad de Buenos Aires","lunes",16,36.75,-34.5838915,-58.4125384,2021-03-26
"12","Halina Café, Ciudad de Buenos Aires","lunes",17,41.25,-34.5838915,-58.4125384,2021-03-26
"13","Halina Café, Ciudad de Buenos Aires","lunes",18,42,-34.5838915,-58.4125384,2021-03-26
"14","Halina Café, Ciudad de Buenos Aires","lunes",19,37.5,-34.5838915,-58.4125384,2021-03-26
"15","Halina Café, Ciudad de Buenos Aires","lunes",20,30,-34.5838915,-58.4125384,2021-03-26
"16","Halina Café, Ciudad de Buenos Aires","lunes",21,0,-34.5838915,-58.4125384,2021-03-26
"17","Halina Café, Ciudad de Buenos Aires","lunes",22,0,-34.5838915,-58.4125384,2021-03-26
"18","Halina Café, Ciudad de Buenos Aires","lunes",23,0,-34.5838915,-58.4125384,2021-03-26
"19","Halina Café, Ciudad de Buenos Aires","martes",6,0,-34.5838915,-58.4125384,2021-03-26
"20","Halina Café, Ciudad de Buenos Aires","martes",7,5.25,-34.5838915,-58.4125384,2021-03-26
"21","Halina Café, Ciudad de Buenos Aires","martes",8,11.25,-34.5838915,-58.4125384,2021-03-26
"22","Halina Café, Ciudad de Buenos Aires","martes",9,21,-34.5838915,-58.4125384,2021-03-26
"23","Halina Café, Ciudad de Buenos Aires","martes",10,29.25,-34.5838915,-58.4125384,2021-03-26
"24","Halina Café, Ciudad de Buenos Aires","martes",11,32.25,-34.5838915,-58.4125384,2021-03-26
"25","Halina Café, Ciudad de Buenos Aires","martes",12,31.5,-34.5838915,-58.4125384,2021-03-26
"26","Halina Café, Ciudad de Buenos Aires","martes",13,27.75,-34.5838915,-58.4125384,2021-03-26
"27","Halina Café, Ciudad de Buenos Aires","martes",14,27,-34.5838915,-58.4125384,2021-03-26
"28","Halina Café, Ciudad de Buenos Aires","martes",15,33.75,-34.5838915,-58.4125384,2021-03-26
"29","Halina Café, Ciudad de Buenos Aires","martes",16,45.75,-34.5838915,-58.4125384,2021-03-26
