"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",6,0,-34.6422563,-58.4456657,2021-03-28
"2","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",7,0,-34.6422563,-58.4456657,2021-03-28
"3","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",8,0,-34.6422563,-58.4456657,2021-03-28
"4","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",9,0,-34.6422563,-58.4456657,2021-03-28
"5","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",10,0,-34.6422563,-58.4456657,2021-03-28
"6","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",11,0,-34.6422563,-58.4456657,2021-03-28
"7","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",12,12.75,-34.6422563,-58.4456657,2021-03-28
"8","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",13,20.25,-34.6422563,-58.4456657,2021-03-28
"9","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",14,25.5,-34.6422563,-58.4456657,2021-03-28
"10","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",15,25.5,-34.6422563,-58.4456657,2021-03-28
"11","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",16,20.25,-34.6422563,-58.4456657,2021-03-28
"12","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",17,15.75,-34.6422563,-58.4456657,2021-03-28
"13","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",18,23.25,-34.6422563,-58.4456657,2021-03-28
"14","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",19,45,-34.6422563,-58.4456657,2021-03-28
"15","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",20,54.75,-34.6422563,-58.4456657,2021-03-28
"16","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",21,39,-34.6422563,-58.4456657,2021-03-28
"17","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",22,0,-34.6422563,-58.4456657,2021-03-28
"18","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","lunes",23,0,-34.6422563,-58.4456657,2021-03-28
"19","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",6,0,-34.6422563,-58.4456657,2021-03-28
"20","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",7,0,-34.6422563,-58.4456657,2021-03-28
"21","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",8,0,-34.6422563,-58.4456657,2021-03-28
"22","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",9,0,-34.6422563,-58.4456657,2021-03-28
"23","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",10,0,-34.6422563,-58.4456657,2021-03-28
"24","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",11,0,-34.6422563,-58.4456657,2021-03-28
"25","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",12,30.75,-34.6422563,-58.4456657,2021-03-28
"26","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",13,48.75,-34.6422563,-58.4456657,2021-03-28
"27","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",14,37.5,-34.6422563,-58.4456657,2021-03-28
"28","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",15,15,-34.6422563,-58.4456657,2021-03-28
"29","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",16,4.5,-34.6422563,-58.4456657,2021-03-28
"30","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",17,15,-34.6422563,-58.4456657,2021-03-28
"31","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",18,47.25,-34.6422563,-58.4456657,2021-03-28
"32","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",19,60,-34.6422563,-58.4456657,2021-03-28
"33","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",20,30.75,-34.6422563,-58.4456657,2021-03-28
"34","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",21,6.75,-34.6422563,-58.4456657,2021-03-28
"35","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",22,0,-34.6422563,-58.4456657,2021-03-28
"36","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","martes",23,0,-34.6422563,-58.4456657,2021-03-28
"37","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",6,0,-34.6422563,-58.4456657,2021-03-28
"38","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",7,0,-34.6422563,-58.4456657,2021-03-28
"39","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",8,0,-34.6422563,-58.4456657,2021-03-28
"40","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",9,0,-34.6422563,-58.4456657,2021-03-28
"41","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",10,0,-34.6422563,-58.4456657,2021-03-28
"42","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",11,0,-34.6422563,-58.4456657,2021-03-28
"43","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",12,20.25,-34.6422563,-58.4456657,2021-03-28
"44","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",13,20.25,-34.6422563,-58.4456657,2021-03-28
"45","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",14,14.25,-34.6422563,-58.4456657,2021-03-28
"46","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",15,9.75,-34.6422563,-58.4456657,2021-03-28
"47","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",16,12.75,-34.6422563,-58.4456657,2021-03-28
"48","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",17,22.5,-34.6422563,-58.4456657,2021-03-28
"49","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",18,32.25,-34.6422563,-58.4456657,2021-03-28
"50","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",19,39,-34.6422563,-58.4456657,2021-03-28
"51","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",20,35.25,-34.6422563,-58.4456657,2021-03-28
"52","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",21,25.5,-34.6422563,-58.4456657,2021-03-28
"53","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",22,0,-34.6422563,-58.4456657,2021-03-28
"54","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","jueves",23,0,-34.6422563,-58.4456657,2021-03-28
"55","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","viernes",6,0,-34.6422563,-58.4456657,2021-03-28
"56","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","viernes",7,0,-34.6422563,-58.4456657,2021-03-28
"57","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","viernes",8,0,-34.6422563,-58.4456657,2021-03-28
"58","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","viernes",9,0,-34.6422563,-58.4456657,2021-03-28
"59","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","viernes",10,0,-34.6422563,-58.4456657,2021-03-28
"60","Han Guk Kwan Restaurant, Ciudad de Buenos Aires","viernes",11,0,-34.6422563,-58.4456657,2021-03-28
