"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Havanna Bernal, Ciudad de Buenos Aires","lunes",6,0,-34.7110372,-58.2816637,2021-03-28
"2","Havanna Bernal, Ciudad de Buenos Aires","lunes",7,0,-34.7110372,-58.2816637,2021-03-28
"3","Havanna Bernal, Ciudad de Buenos Aires","lunes",8,2.25,-34.7110372,-58.2816637,2021-03-28
"4","Havanna Bernal, Ciudad de Buenos Aires","lunes",9,22.5,-34.7110372,-58.2816637,2021-03-28
"5","Havanna Bernal, Ciudad de Buenos Aires","lunes",10,32.25,-34.7110372,-58.2816637,2021-03-28
"6","Havanna Bernal, Ciudad de Buenos Aires","lunes",11,18,-34.7110372,-58.2816637,2021-03-28
"7","Havanna Bernal, Ciudad de Buenos Aires","lunes",12,8.25,-34.7110372,-58.2816637,2021-03-28
"8","Havanna Bernal, Ciudad de Buenos Aires","lunes",13,12.75,-34.7110372,-58.2816637,2021-03-28
"9","Havanna Bernal, Ciudad de Buenos Aires","lunes",14,18.75,-34.7110372,-58.2816637,2021-03-28
"10","Havanna Bernal, Ciudad de Buenos Aires","lunes",15,21.75,-34.7110372,-58.2816637,2021-03-28
"11","Havanna Bernal, Ciudad de Buenos Aires","lunes",16,30,-34.7110372,-58.2816637,2021-03-28
"12","Havanna Bernal, Ciudad de Buenos Aires","lunes",17,43.5,-34.7110372,-58.2816637,2021-03-28
"13","Havanna Bernal, Ciudad de Buenos Aires","lunes",18,39.75,-34.7110372,-58.2816637,2021-03-28
"14","Havanna Bernal, Ciudad de Buenos Aires","lunes",19,18,-34.7110372,-58.2816637,2021-03-28
"15","Havanna Bernal, Ciudad de Buenos Aires","lunes",20,0,-34.7110372,-58.2816637,2021-03-28
"16","Havanna Bernal, Ciudad de Buenos Aires","lunes",21,0,-34.7110372,-58.2816637,2021-03-28
"17","Havanna Bernal, Ciudad de Buenos Aires","lunes",22,0,-34.7110372,-58.2816637,2021-03-28
"18","Havanna Bernal, Ciudad de Buenos Aires","lunes",23,0,-34.7110372,-58.2816637,2021-03-28
"19","Havanna Bernal, Ciudad de Buenos Aires","martes",6,0,-34.7110372,-58.2816637,2021-03-28
"20","Havanna Bernal, Ciudad de Buenos Aires","martes",7,0,-34.7110372,-58.2816637,2021-03-28
