"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Havanna Boedo, Ciudad de Buenos Aires","lunes",6,0,-34.6221761,-58.4165979,2021-03-28
"2","Havanna Boedo, Ciudad de Buenos Aires","lunes",7,0,-34.6221761,-58.4165979,2021-03-28
"3","Havanna Boedo, Ciudad de Buenos Aires","lunes",8,0,-34.6221761,-58.4165979,2021-03-28
"4","Havanna Boedo, Ciudad de Buenos Aires","lunes",9,13.5,-34.6221761,-58.4165979,2021-03-28
"5","Havanna Boedo, Ciudad de Buenos Aires","lunes",10,20.25,-34.6221761,-58.4165979,2021-03-28
"6","Havanna Boedo, Ciudad de Buenos Aires","lunes",11,25.5,-34.6221761,-58.4165979,2021-03-28
"7","Havanna Boedo, Ciudad de Buenos Aires","lunes",12,28.5,-34.6221761,-58.4165979,2021-03-28
"8","Havanna Boedo, Ciudad de Buenos Aires","lunes",13,31.5,-34.6221761,-58.4165979,2021-03-28
"9","Havanna Boedo, Ciudad de Buenos Aires","lunes",14,33.75,-34.6221761,-58.4165979,2021-03-28
"10","Havanna Boedo, Ciudad de Buenos Aires","lunes",15,33.75,-34.6221761,-58.4165979,2021-03-28
"11","Havanna Boedo, Ciudad de Buenos Aires","lunes",16,33,-34.6221761,-58.4165979,2021-03-28
"12","Havanna Boedo, Ciudad de Buenos Aires","lunes",17,40.5,-34.6221761,-58.4165979,2021-03-28
"13","Havanna Boedo, Ciudad de Buenos Aires","lunes",18,51,-34.6221761,-58.4165979,2021-03-28
"14","Havanna Boedo, Ciudad de Buenos Aires","lunes",19,51.75,-34.6221761,-58.4165979,2021-03-28
"15","Havanna Boedo, Ciudad de Buenos Aires","lunes",20,36.75,-34.6221761,-58.4165979,2021-03-28
"16","Havanna Boedo, Ciudad de Buenos Aires","lunes",21,0,-34.6221761,-58.4165979,2021-03-28
"17","Havanna Boedo, Ciudad de Buenos Aires","lunes",22,0,-34.6221761,-58.4165979,2021-03-28
"18","Havanna Boedo, Ciudad de Buenos Aires","lunes",23,0,-34.6221761,-58.4165979,2021-03-28
"19","Havanna Boedo, Ciudad de Buenos Aires","martes",6,0,-34.6221761,-58.4165979,2021-03-28
"20","Havanna Boedo, Ciudad de Buenos Aires","martes",7,0,-34.6221761,-58.4165979,2021-03-28
"21","Havanna Boedo, Ciudad de Buenos Aires","martes",8,0,-34.6221761,-58.4165979,2021-03-28
"22","Havanna Boedo, Ciudad de Buenos Aires","martes",9,15.75,-34.6221761,-58.4165979,2021-03-28
"23","Havanna Boedo, Ciudad de Buenos Aires","martes",10,25.5,-34.6221761,-58.4165979,2021-03-28
"24","Havanna Boedo, Ciudad de Buenos Aires","martes",11,33,-34.6221761,-58.4165979,2021-03-28
"25","Havanna Boedo, Ciudad de Buenos Aires","martes",12,34.5,-34.6221761,-58.4165979,2021-03-28
"26","Havanna Boedo, Ciudad de Buenos Aires","martes",13,30,-34.6221761,-58.4165979,2021-03-28
"27","Havanna Boedo, Ciudad de Buenos Aires","martes",14,26.25,-34.6221761,-58.4165979,2021-03-28
"28","Havanna Boedo, Ciudad de Buenos Aires","martes",15,29.25,-34.6221761,-58.4165979,2021-03-28
"29","Havanna Boedo, Ciudad de Buenos Aires","martes",16,42,-34.6221761,-58.4165979,2021-03-28
"30","Havanna Boedo, Ciudad de Buenos Aires","martes",17,57,-34.6221761,-58.4165979,2021-03-28
"31","Havanna Boedo, Ciudad de Buenos Aires","martes",18,60,-34.6221761,-58.4165979,2021-03-28
"32","Havanna Boedo, Ciudad de Buenos Aires","martes",19,45.75,-34.6221761,-58.4165979,2021-03-28
"33","Havanna Boedo, Ciudad de Buenos Aires","martes",20,25.5,-34.6221761,-58.4165979,2021-03-28
"34","Havanna Boedo, Ciudad de Buenos Aires","martes",21,0,-34.6221761,-58.4165979,2021-03-28
"35","Havanna Boedo, Ciudad de Buenos Aires","martes",22,0,-34.6221761,-58.4165979,2021-03-28
"36","Havanna Boedo, Ciudad de Buenos Aires","martes",23,0,-34.6221761,-58.4165979,2021-03-28
"37","Havanna Boedo, Ciudad de Buenos Aires","miercoles",6,0,-34.6221761,-58.4165979,2021-03-28
"38","Havanna Boedo, Ciudad de Buenos Aires","miercoles",7,0,-34.6221761,-58.4165979,2021-03-28
"39","Havanna Boedo, Ciudad de Buenos Aires","miercoles",8,0,-34.6221761,-58.4165979,2021-03-28
"40","Havanna Boedo, Ciudad de Buenos Aires","miercoles",9,14.25,-34.6221761,-58.4165979,2021-03-28
"41","Havanna Boedo, Ciudad de Buenos Aires","miercoles",10,21.75,-34.6221761,-58.4165979,2021-03-28
"42","Havanna Boedo, Ciudad de Buenos Aires","miercoles",11,27.75,-34.6221761,-58.4165979,2021-03-28
"43","Havanna Boedo, Ciudad de Buenos Aires","miercoles",12,30,-34.6221761,-58.4165979,2021-03-28
"44","Havanna Boedo, Ciudad de Buenos Aires","miercoles",13,28.5,-34.6221761,-58.4165979,2021-03-28
"45","Havanna Boedo, Ciudad de Buenos Aires","miercoles",14,24.75,-34.6221761,-58.4165979,2021-03-28
"46","Havanna Boedo, Ciudad de Buenos Aires","miercoles",15,24.75,-34.6221761,-58.4165979,2021-03-28
"47","Havanna Boedo, Ciudad de Buenos Aires","miercoles",16,35.25,-34.6221761,-58.4165979,2021-03-28
"48","Havanna Boedo, Ciudad de Buenos Aires","miercoles",17,53.25,-34.6221761,-58.4165979,2021-03-28
"49","Havanna Boedo, Ciudad de Buenos Aires","miercoles",18,67.5,-34.6221761,-58.4165979,2021-03-28
"50","Havanna Boedo, Ciudad de Buenos Aires","miercoles",19,63.75,-34.6221761,-58.4165979,2021-03-28
"51","Havanna Boedo, Ciudad de Buenos Aires","miercoles",20,43.5,-34.6221761,-58.4165979,2021-03-28
"52","Havanna Boedo, Ciudad de Buenos Aires","miercoles",21,0,-34.6221761,-58.4165979,2021-03-28
"53","Havanna Boedo, Ciudad de Buenos Aires","miercoles",22,0,-34.6221761,-58.4165979,2021-03-28
"54","Havanna Boedo, Ciudad de Buenos Aires","miercoles",23,0,-34.6221761,-58.4165979,2021-03-28
"55","Havanna Boedo, Ciudad de Buenos Aires","jueves",6,0,-34.6221761,-58.4165979,2021-03-28
"56","Havanna Boedo, Ciudad de Buenos Aires","jueves",7,0,-34.6221761,-58.4165979,2021-03-28
"57","Havanna Boedo, Ciudad de Buenos Aires","jueves",8,0,-34.6221761,-58.4165979,2021-03-28
"58","Havanna Boedo, Ciudad de Buenos Aires","jueves",9,21.75,-34.6221761,-58.4165979,2021-03-28
"59","Havanna Boedo, Ciudad de Buenos Aires","jueves",10,29.25,-34.6221761,-58.4165979,2021-03-28
"60","Havanna Boedo, Ciudad de Buenos Aires","jueves",11,30.75,-34.6221761,-58.4165979,2021-03-28
"61","Havanna Boedo, Ciudad de Buenos Aires","jueves",12,29.25,-34.6221761,-58.4165979,2021-03-28
"62","Havanna Boedo, Ciudad de Buenos Aires","jueves",13,29.25,-34.6221761,-58.4165979,2021-03-28
"63","Havanna Boedo, Ciudad de Buenos Aires","jueves",14,32.25,-34.6221761,-58.4165979,2021-03-28
"64","Havanna Boedo, Ciudad de Buenos Aires","jueves",15,34.5,-34.6221761,-58.4165979,2021-03-28
"65","Havanna Boedo, Ciudad de Buenos Aires","jueves",16,38.25,-34.6221761,-58.4165979,2021-03-28
"66","Havanna Boedo, Ciudad de Buenos Aires","jueves",17,48,-34.6221761,-58.4165979,2021-03-28
"67","Havanna Boedo, Ciudad de Buenos Aires","jueves",18,59.25,-34.6221761,-58.4165979,2021-03-28
"68","Havanna Boedo, Ciudad de Buenos Aires","jueves",19,57,-34.6221761,-58.4165979,2021-03-28
"69","Havanna Boedo, Ciudad de Buenos Aires","jueves",20,38.25,-34.6221761,-58.4165979,2021-03-28
"70","Havanna Boedo, Ciudad de Buenos Aires","jueves",21,0,-34.6221761,-58.4165979,2021-03-28
"71","Havanna Boedo, Ciudad de Buenos Aires","jueves",22,0,-34.6221761,-58.4165979,2021-03-28
"72","Havanna Boedo, Ciudad de Buenos Aires","jueves",23,0,-34.6221761,-58.4165979,2021-03-28
"73","Havanna Boedo, Ciudad de Buenos Aires","viernes",6,0,-34.6221761,-58.4165979,2021-03-28
"74","Havanna Boedo, Ciudad de Buenos Aires","viernes",7,0,-34.6221761,-58.4165979,2021-03-28
"75","Havanna Boedo, Ciudad de Buenos Aires","viernes",8,0,-34.6221761,-58.4165979,2021-03-28
"76","Havanna Boedo, Ciudad de Buenos Aires","viernes",9,14.25,-34.6221761,-58.4165979,2021-03-28
"77","Havanna Boedo, Ciudad de Buenos Aires","viernes",10,24,-34.6221761,-58.4165979,2021-03-28
"78","Havanna Boedo, Ciudad de Buenos Aires","viernes",11,30.75,-34.6221761,-58.4165979,2021-03-28
"79","Havanna Boedo, Ciudad de Buenos Aires","viernes",12,35.25,-34.6221761,-58.4165979,2021-03-28
"80","Havanna Boedo, Ciudad de Buenos Aires","viernes",13,36.75,-34.6221761,-58.4165979,2021-03-28
"81","Havanna Boedo, Ciudad de Buenos Aires","viernes",14,39,-34.6221761,-58.4165979,2021-03-28
"82","Havanna Boedo, Ciudad de Buenos Aires","viernes",15,42.75,-34.6221761,-58.4165979,2021-03-28
"83","Havanna Boedo, Ciudad de Buenos Aires","viernes",16,51.75,-34.6221761,-58.4165979,2021-03-28
"84","Havanna Boedo, Ciudad de Buenos Aires","viernes",17,63.75,-34.6221761,-58.4165979,2021-03-28
"85","Havanna Boedo, Ciudad de Buenos Aires","viernes",18,67.5,-34.6221761,-58.4165979,2021-03-28
"86","Havanna Boedo, Ciudad de Buenos Aires","viernes",19,52.5,-34.6221761,-58.4165979,2021-03-28
"87","Havanna Boedo, Ciudad de Buenos Aires","viernes",20,27,-34.6221761,-58.4165979,2021-03-28
"88","Havanna Boedo, Ciudad de Buenos Aires","viernes",21,0,-34.6221761,-58.4165979,2021-03-28
"89","Havanna Boedo, Ciudad de Buenos Aires","viernes",22,0,-34.6221761,-58.4165979,2021-03-28
"90","Havanna Boedo, Ciudad de Buenos Aires","viernes",23,0,-34.6221761,-58.4165979,2021-03-28
"91","Havanna Boedo, Ciudad de Buenos Aires","sabado",6,0,-34.6221761,-58.4165979,2021-03-28
"92","Havanna Boedo, Ciudad de Buenos Aires","sabado",7,0,-34.6221761,-58.4165979,2021-03-28
"93","Havanna Boedo, Ciudad de Buenos Aires","sabado",8,0,-34.6221761,-58.4165979,2021-03-28
"94","Havanna Boedo, Ciudad de Buenos Aires","sabado",9,17.25,-34.6221761,-58.4165979,2021-03-28
