"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",6,0,-34.6007059,-58.386599,2021-03-26
"2","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",7,1.5,-34.6007059,-58.386599,2021-03-26
"3","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",8,15,-34.6007059,-58.386599,2021-03-26
"4","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",9,37.5,-34.6007059,-58.386599,2021-03-26
"5","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",10,52.5,-34.6007059,-58.386599,2021-03-26
"6","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",11,45.75,-34.6007059,-58.386599,2021-03-26
"7","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",12,30,-34.6007059,-58.386599,2021-03-26
"8","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",13,21.75,-34.6007059,-58.386599,2021-03-26
"9","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",14,21.75,-34.6007059,-58.386599,2021-03-26
"10","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",15,22.5,-34.6007059,-58.386599,2021-03-26
"11","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",16,20.25,-34.6007059,-58.386599,2021-03-26
"12","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",17,14.25,-34.6007059,-58.386599,2021-03-26
"13","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",18,7.5,-34.6007059,-58.386599,2021-03-26
"14","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",19,2.25,-34.6007059,-58.386599,2021-03-26
"15","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",20,0,-34.6007059,-58.386599,2021-03-26
"16","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",21,0,-34.6007059,-58.386599,2021-03-26
"17","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",22,0,-34.6007059,-58.386599,2021-03-26
"18","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","lunes",23,0,-34.6007059,-58.386599,2021-03-26
"19","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",6,0,-34.6007059,-58.386599,2021-03-26
"20","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",7,2.25,-34.6007059,-58.386599,2021-03-26
"21","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",8,18,-34.6007059,-58.386599,2021-03-26
"22","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",9,49.5,-34.6007059,-58.386599,2021-03-26
"23","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",10,65.25,-34.6007059,-58.386599,2021-03-26
"24","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",11,50.25,-34.6007059,-58.386599,2021-03-26
"25","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",12,37.5,-34.6007059,-58.386599,2021-03-26
"26","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",13,39,-34.6007059,-58.386599,2021-03-26
"27","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",14,43.5,-34.6007059,-58.386599,2021-03-26
"28","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",15,45.75,-34.6007059,-58.386599,2021-03-26
"29","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",16,43.5,-34.6007059,-58.386599,2021-03-26
"30","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",17,38.25,-34.6007059,-58.386599,2021-03-26
"31","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",18,30.75,-34.6007059,-58.386599,2021-03-26
"32","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",19,22.5,-34.6007059,-58.386599,2021-03-26
"33","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",20,0,-34.6007059,-58.386599,2021-03-26
"34","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",21,0,-34.6007059,-58.386599,2021-03-26
"35","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",22,0,-34.6007059,-58.386599,2021-03-26
"36","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","martes",23,0,-34.6007059,-58.386599,2021-03-26
"37","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",6,0,-34.6007059,-58.386599,2021-03-26
"38","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",7,20.25,-34.6007059,-58.386599,2021-03-26
"39","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",8,38.25,-34.6007059,-58.386599,2021-03-26
"40","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",9,57.75,-34.6007059,-58.386599,2021-03-26
"41","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",10,69.75,-34.6007059,-58.386599,2021-03-26
"42","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",11,69.75,-34.6007059,-58.386599,2021-03-26
"43","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",12,60,-34.6007059,-58.386599,2021-03-26
"44","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",13,48,-34.6007059,-58.386599,2021-03-26
"45","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",14,42.75,-34.6007059,-58.386599,2021-03-26
"46","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",15,43.5,-34.6007059,-58.386599,2021-03-26
"47","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",16,44.25,-34.6007059,-58.386599,2021-03-26
"48","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",17,39,-34.6007059,-58.386599,2021-03-26
"49","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",18,27,-34.6007059,-58.386599,2021-03-26
"50","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",19,13.5,-34.6007059,-58.386599,2021-03-26
"51","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",20,0,-34.6007059,-58.386599,2021-03-26
"52","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",21,0,-34.6007059,-58.386599,2021-03-26
"53","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",22,0,-34.6007059,-58.386599,2021-03-26
"54","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","miercoles",23,0,-34.6007059,-58.386599,2021-03-26
"55","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","jueves",6,0,-34.6007059,-58.386599,2021-03-26
"56","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","jueves",7,3,-34.6007059,-58.386599,2021-03-26
"57","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","jueves",8,14.25,-34.6007059,-58.386599,2021-03-26
"58","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","jueves",9,33.75,-34.6007059,-58.386599,2021-03-26
"59","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","jueves",10,56.25,-34.6007059,-58.386599,2021-03-26
"60","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","jueves",11,68.25,-34.6007059,-58.386599,2021-03-26
"61","Havanna Cafe  - Uruguay y Viamonte, Ciudad de Buenos Aires","jueves",12,62.25,-34.6007059,-58.386599,2021-03-26
