"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Haysam, Ciudad de Buenos Aires","lunes",6,0,-34.5784375,-58.4495513,2021-03-27
"2","Haysam, Ciudad de Buenos Aires","lunes",7,0,-34.5784375,-58.4495513,2021-03-27
"3","Haysam, Ciudad de Buenos Aires","lunes",8,0,-34.5784375,-58.4495513,2021-03-27
"4","Haysam, Ciudad de Buenos Aires","lunes",9,0,-34.5784375,-58.4495513,2021-03-27
"5","Haysam, Ciudad de Buenos Aires","lunes",10,0,-34.5784375,-58.4495513,2021-03-27
"6","Haysam, Ciudad de Buenos Aires","lunes",11,0.75,-34.5784375,-58.4495513,2021-03-27
"7","Haysam, Ciudad de Buenos Aires","lunes",12,9.75,-34.5784375,-58.4495513,2021-03-27
"8","Haysam, Ciudad de Buenos Aires","lunes",13,17.25,-34.5784375,-58.4495513,2021-03-27
"9","Haysam, Ciudad de Buenos Aires","lunes",14,20.25,-34.5784375,-58.4495513,2021-03-27
"10","Haysam, Ciudad de Buenos Aires","lunes",15,16.5,-34.5784375,-58.4495513,2021-03-27
"11","Haysam, Ciudad de Buenos Aires","lunes",16,8.25,-34.5784375,-58.4495513,2021-03-27
"12","Haysam, Ciudad de Buenos Aires","lunes",17,3,-34.5784375,-58.4495513,2021-03-27
"13","Haysam, Ciudad de Buenos Aires","lunes",18,5.25,-34.5784375,-58.4495513,2021-03-27
"14","Haysam, Ciudad de Buenos Aires","lunes",19,17.25,-34.5784375,-58.4495513,2021-03-27
"15","Haysam, Ciudad de Buenos Aires","lunes",20,41.25,-34.5784375,-58.4495513,2021-03-27
"16","Haysam, Ciudad de Buenos Aires","lunes",21,61.5,-34.5784375,-58.4495513,2021-03-27
"17","Haysam, Ciudad de Buenos Aires","lunes",22,56.25,-34.5784375,-58.4495513,2021-03-27
"18","Haysam, Ciudad de Buenos Aires","lunes",23,31.5,-34.5784375,-58.4495513,2021-03-27
"19","Haysam, Ciudad de Buenos Aires","martes",6,0,-34.5784375,-58.4495513,2021-03-27
"20","Haysam, Ciudad de Buenos Aires","martes",7,0,-34.5784375,-58.4495513,2021-03-27
"21","Haysam, Ciudad de Buenos Aires","martes",8,0,-34.5784375,-58.4495513,2021-03-27
"22","Haysam, Ciudad de Buenos Aires","martes",9,0,-34.5784375,-58.4495513,2021-03-27
"23","Haysam, Ciudad de Buenos Aires","martes",10,0,-34.5784375,-58.4495513,2021-03-27
"24","Haysam, Ciudad de Buenos Aires","martes",11,3,-34.5784375,-58.4495513,2021-03-27
"25","Haysam, Ciudad de Buenos Aires","martes",12,19.5,-34.5784375,-58.4495513,2021-03-27
"26","Haysam, Ciudad de Buenos Aires","martes",13,33,-34.5784375,-58.4495513,2021-03-27
