"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Hell's Pizza, Ciudad de Buenos Aires","lunes",6,0,-34.5850306,-58.4359038,2021-03-26
"2","Hell's Pizza, Ciudad de Buenos Aires","lunes",7,0,-34.5850306,-58.4359038,2021-03-26
"3","Hell's Pizza, Ciudad de Buenos Aires","lunes",8,2.25,-34.5850306,-58.4359038,2021-03-26
"4","Hell's Pizza, Ciudad de Buenos Aires","lunes",9,3,-34.5850306,-58.4359038,2021-03-26
"5","Hell's Pizza, Ciudad de Buenos Aires","lunes",10,4.5,-34.5850306,-58.4359038,2021-03-26
"6","Hell's Pizza, Ciudad de Buenos Aires","lunes",11,6,-34.5850306,-58.4359038,2021-03-26
"7","Hell's Pizza, Ciudad de Buenos Aires","lunes",12,7.5,-34.5850306,-58.4359038,2021-03-26
"8","Hell's Pizza, Ciudad de Buenos Aires","lunes",13,9,-34.5850306,-58.4359038,2021-03-26
"9","Hell's Pizza, Ciudad de Buenos Aires","lunes",14,9.75,-34.5850306,-58.4359038,2021-03-26
"10","Hell's Pizza, Ciudad de Buenos Aires","lunes",15,9.75,-34.5850306,-58.4359038,2021-03-26
"11","Hell's Pizza, Ciudad de Buenos Aires","lunes",16,9,-34.5850306,-58.4359038,2021-03-26
"12","Hell's Pizza, Ciudad de Buenos Aires","lunes",17,7.5,-34.5850306,-58.4359038,2021-03-26
"13","Hell's Pizza, Ciudad de Buenos Aires","lunes",18,8.25,-34.5850306,-58.4359038,2021-03-26
"14","Hell's Pizza, Ciudad de Buenos Aires","lunes",19,14.25,-34.5850306,-58.4359038,2021-03-26
"15","Hell's Pizza, Ciudad de Buenos Aires","lunes",20,24.75,-34.5850306,-58.4359038,2021-03-26
"16","Hell's Pizza, Ciudad de Buenos Aires","lunes",21,33,-34.5850306,-58.4359038,2021-03-26
"17","Hell's Pizza, Ciudad de Buenos Aires","lunes",22,32.25,-34.5850306,-58.4359038,2021-03-26
"18","Hell's Pizza, Ciudad de Buenos Aires","lunes",23,22.5,-34.5850306,-58.4359038,2021-03-26
"19","Hell's Pizza, Ciudad de Buenos Aires","martes",0,9.75,-34.5850306,-58.4359038,2021-03-26
"20","Hell's Pizza, Ciudad de Buenos Aires","martes",6,0,-34.5850306,-58.4359038,2021-03-26
"21","Hell's Pizza, Ciudad de Buenos Aires","martes",7,0,-34.5850306,-58.4359038,2021-03-26
"22","Hell's Pizza, Ciudad de Buenos Aires","martes",8,0.75,-34.5850306,-58.4359038,2021-03-26
"23","Hell's Pizza, Ciudad de Buenos Aires","martes",9,0.75,-34.5850306,-58.4359038,2021-03-26
"24","Hell's Pizza, Ciudad de Buenos Aires","martes",10,2.25,-34.5850306,-58.4359038,2021-03-26
"25","Hell's Pizza, Ciudad de Buenos Aires","martes",11,4.5,-34.5850306,-58.4359038,2021-03-26
"26","Hell's Pizza, Ciudad de Buenos Aires","martes",12,9,-34.5850306,-58.4359038,2021-03-26
"27","Hell's Pizza, Ciudad de Buenos Aires","martes",13,18,-34.5850306,-58.4359038,2021-03-26
"28","Hell's Pizza, Ciudad de Buenos Aires","martes",14,18.75,-34.5850306,-58.4359038,2021-03-26
"29","Hell's Pizza, Ciudad de Buenos Aires","martes",15,11.25,-34.5850306,-58.4359038,2021-03-26
"30","Hell's Pizza, Ciudad de Buenos Aires","martes",16,9,-34.5850306,-58.4359038,2021-03-26
"31","Hell's Pizza, Ciudad de Buenos Aires","martes",17,8.25,-34.5850306,-58.4359038,2021-03-26
"32","Hell's Pizza, Ciudad de Buenos Aires","martes",18,8.25,-34.5850306,-58.4359038,2021-03-26
"33","Hell's Pizza, Ciudad de Buenos Aires","martes",19,12,-34.5850306,-58.4359038,2021-03-26
"34","Hell's Pizza, Ciudad de Buenos Aires","martes",20,21.75,-34.5850306,-58.4359038,2021-03-26
"35","Hell's Pizza, Ciudad de Buenos Aires","martes",21,32.25,-34.5850306,-58.4359038,2021-03-26
"36","Hell's Pizza, Ciudad de Buenos Aires","martes",22,32.25,-34.5850306,-58.4359038,2021-03-26
