"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Hola Jacoba, Ciudad de Buenos Aires","martes",6,0,-34.5868209,-58.4288867,2021-03-26
"2","Hola Jacoba, Ciudad de Buenos Aires","martes",7,0,-34.5868209,-58.4288867,2021-03-26
"3","Hola Jacoba, Ciudad de Buenos Aires","martes",8,0,-34.5868209,-58.4288867,2021-03-26
"4","Hola Jacoba, Ciudad de Buenos Aires","martes",9,0,-34.5868209,-58.4288867,2021-03-26
"5","Hola Jacoba, Ciudad de Buenos Aires","martes",10,0,-34.5868209,-58.4288867,2021-03-26
"6","Hola Jacoba, Ciudad de Buenos Aires","martes",11,0,-34.5868209,-58.4288867,2021-03-26
"7","Hola Jacoba, Ciudad de Buenos Aires","martes",12,3.75,-34.5868209,-58.4288867,2021-03-26
"8","Hola Jacoba, Ciudad de Buenos Aires","martes",13,5.25,-34.5868209,-58.4288867,2021-03-26
"9","Hola Jacoba, Ciudad de Buenos Aires","martes",14,5.25,-34.5868209,-58.4288867,2021-03-26
"10","Hola Jacoba, Ciudad de Buenos Aires","martes",15,5.25,-34.5868209,-58.4288867,2021-03-26
"11","Hola Jacoba, Ciudad de Buenos Aires","martes",16,4.5,-34.5868209,-58.4288867,2021-03-26
"12","Hola Jacoba, Ciudad de Buenos Aires","martes",17,0,-34.5868209,-58.4288867,2021-03-26
"13","Hola Jacoba, Ciudad de Buenos Aires","martes",18,0,-34.5868209,-58.4288867,2021-03-26
"14","Hola Jacoba, Ciudad de Buenos Aires","martes",19,0,-34.5868209,-58.4288867,2021-03-26
"15","Hola Jacoba, Ciudad de Buenos Aires","martes",20,25.5,-34.5868209,-58.4288867,2021-03-26
"16","Hola Jacoba, Ciudad de Buenos Aires","martes",21,30.75,-34.5868209,-58.4288867,2021-03-26
"17","Hola Jacoba, Ciudad de Buenos Aires","martes",22,27,-34.5868209,-58.4288867,2021-03-26
"18","Hola Jacoba, Ciudad de Buenos Aires","martes",23,0,-34.5868209,-58.4288867,2021-03-26
"19","Hola Jacoba, Ciudad de Buenos Aires","miercoles",6,0,-34.5868209,-58.4288867,2021-03-26
"20","Hola Jacoba, Ciudad de Buenos Aires","miercoles",7,0,-34.5868209,-58.4288867,2021-03-26
"21","Hola Jacoba, Ciudad de Buenos Aires","miercoles",8,0,-34.5868209,-58.4288867,2021-03-26
"22","Hola Jacoba, Ciudad de Buenos Aires","miercoles",9,0,-34.5868209,-58.4288867,2021-03-26
"23","Hola Jacoba, Ciudad de Buenos Aires","miercoles",10,0,-34.5868209,-58.4288867,2021-03-26
"24","Hola Jacoba, Ciudad de Buenos Aires","miercoles",11,0,-34.5868209,-58.4288867,2021-03-26
"25","Hola Jacoba, Ciudad de Buenos Aires","miercoles",12,4.5,-34.5868209,-58.4288867,2021-03-26
"26","Hola Jacoba, Ciudad de Buenos Aires","miercoles",13,6,-34.5868209,-58.4288867,2021-03-26
"27","Hola Jacoba, Ciudad de Buenos Aires","miercoles",14,7.5,-34.5868209,-58.4288867,2021-03-26
"28","Hola Jacoba, Ciudad de Buenos Aires","miercoles",15,6.75,-34.5868209,-58.4288867,2021-03-26
"29","Hola Jacoba, Ciudad de Buenos Aires","miercoles",16,6.75,-34.5868209,-58.4288867,2021-03-26
"30","Hola Jacoba, Ciudad de Buenos Aires","miercoles",17,0,-34.5868209,-58.4288867,2021-03-26
"31","Hola Jacoba, Ciudad de Buenos Aires","miercoles",18,0,-34.5868209,-58.4288867,2021-03-26
"32","Hola Jacoba, Ciudad de Buenos Aires","miercoles",19,0,-34.5868209,-58.4288867,2021-03-26
"33","Hola Jacoba, Ciudad de Buenos Aires","miercoles",20,30.75,-34.5868209,-58.4288867,2021-03-26
"34","Hola Jacoba, Ciudad de Buenos Aires","miercoles",21,36,-34.5868209,-58.4288867,2021-03-26
"35","Hola Jacoba, Ciudad de Buenos Aires","miercoles",22,30.75,-34.5868209,-58.4288867,2021-03-26
"36","Hola Jacoba, Ciudad de Buenos Aires","miercoles",23,0,-34.5868209,-58.4288867,2021-03-26
"37","Hola Jacoba, Ciudad de Buenos Aires","jueves",6,0,-34.5868209,-58.4288867,2021-03-26
"38","Hola Jacoba, Ciudad de Buenos Aires","jueves",7,0,-34.5868209,-58.4288867,2021-03-26
"39","Hola Jacoba, Ciudad de Buenos Aires","jueves",8,0,-34.5868209,-58.4288867,2021-03-26
"40","Hola Jacoba, Ciudad de Buenos Aires","jueves",9,0,-34.5868209,-58.4288867,2021-03-26
"41","Hola Jacoba, Ciudad de Buenos Aires","jueves",10,0,-34.5868209,-58.4288867,2021-03-26
"42","Hola Jacoba, Ciudad de Buenos Aires","jueves",11,0,-34.5868209,-58.4288867,2021-03-26
"43","Hola Jacoba, Ciudad de Buenos Aires","jueves",12,6.75,-34.5868209,-58.4288867,2021-03-26
"44","Hola Jacoba, Ciudad de Buenos Aires","jueves",13,8.25,-34.5868209,-58.4288867,2021-03-26
"45","Hola Jacoba, Ciudad de Buenos Aires","jueves",14,9,-34.5868209,-58.4288867,2021-03-26
"46","Hola Jacoba, Ciudad de Buenos Aires","jueves",15,9,-34.5868209,-58.4288867,2021-03-26
"47","Hola Jacoba, Ciudad de Buenos Aires","jueves",16,8.25,-34.5868209,-58.4288867,2021-03-26
"48","Hola Jacoba, Ciudad de Buenos Aires","jueves",17,0,-34.5868209,-58.4288867,2021-03-26
"49","Hola Jacoba, Ciudad de Buenos Aires","jueves",18,0,-34.5868209,-58.4288867,2021-03-26
"50","Hola Jacoba, Ciudad de Buenos Aires","jueves",19,0,-34.5868209,-58.4288867,2021-03-26
"51","Hola Jacoba, Ciudad de Buenos Aires","jueves",20,27,-34.5868209,-58.4288867,2021-03-26
"52","Hola Jacoba, Ciudad de Buenos Aires","jueves",21,37.5,-34.5868209,-58.4288867,2021-03-26
"53","Hola Jacoba, Ciudad de Buenos Aires","jueves",22,37.5,-34.5868209,-58.4288867,2021-03-26
"54","Hola Jacoba, Ciudad de Buenos Aires","jueves",23,0,-34.5868209,-58.4288867,2021-03-26
"55","Hola Jacoba, Ciudad de Buenos Aires","viernes",6,0,-34.5868209,-58.4288867,2021-03-26
"56","Hola Jacoba, Ciudad de Buenos Aires","viernes",7,0,-34.5868209,-58.4288867,2021-03-26
"57","Hola Jacoba, Ciudad de Buenos Aires","viernes",8,0,-34.5868209,-58.4288867,2021-03-26
"58","Hola Jacoba, Ciudad de Buenos Aires","viernes",9,0,-34.5868209,-58.4288867,2021-03-26
"59","Hola Jacoba, Ciudad de Buenos Aires","viernes",10,0,-34.5868209,-58.4288867,2021-03-26
"60","Hola Jacoba, Ciudad de Buenos Aires","viernes",11,0,-34.5868209,-58.4288867,2021-03-26
"61","Hola Jacoba, Ciudad de Buenos Aires","viernes",12,3.75,-34.5868209,-58.4288867,2021-03-26
"62","Hola Jacoba, Ciudad de Buenos Aires","viernes",13,6,-34.5868209,-58.4288867,2021-03-26
"63","Hola Jacoba, Ciudad de Buenos Aires","viernes",14,6.75,-34.5868209,-58.4288867,2021-03-26
"64","Hola Jacoba, Ciudad de Buenos Aires","viernes",15,6.75,-34.5868209,-58.4288867,2021-03-26
"65","Hola Jacoba, Ciudad de Buenos Aires","viernes",16,6,-34.5868209,-58.4288867,2021-03-26
"66","Hola Jacoba, Ciudad de Buenos Aires","viernes",17,0,-34.5868209,-58.4288867,2021-03-26
"67","Hola Jacoba, Ciudad de Buenos Aires","viernes",18,0,-34.5868209,-58.4288867,2021-03-26
"68","Hola Jacoba, Ciudad de Buenos Aires","viernes",19,0,-34.5868209,-58.4288867,2021-03-26
"69","Hola Jacoba, Ciudad de Buenos Aires","viernes",20,49.5,-34.5868209,-58.4288867,2021-03-26
"70","Hola Jacoba, Ciudad de Buenos Aires","viernes",21,66.75,-34.5868209,-58.4288867,2021-03-26
"71","Hola Jacoba, Ciudad de Buenos Aires","viernes",22,55.5,-34.5868209,-58.4288867,2021-03-26
"72","Hola Jacoba, Ciudad de Buenos Aires","viernes",23,0,-34.5868209,-58.4288867,2021-03-26
"73","Hola Jacoba, Ciudad de Buenos Aires","sabado",6,0,-34.5868209,-58.4288867,2021-03-26
"74","Hola Jacoba, Ciudad de Buenos Aires","sabado",7,0,-34.5868209,-58.4288867,2021-03-26
