"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",6,0,-34.5933333,-58.4016667,2021-03-27
"2","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",7,0,-34.5933333,-58.4016667,2021-03-27
"3","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",8,22.5,-34.5933333,-58.4016667,2021-03-27
"4","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",9,42,-34.5933333,-58.4016667,2021-03-27
"5","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",10,41.25,-34.5933333,-58.4016667,2021-03-27
"6","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",11,30,-34.5933333,-58.4016667,2021-03-27
"7","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",12,38.25,-34.5933333,-58.4016667,2021-03-27
"8","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",13,48.75,-34.5933333,-58.4016667,2021-03-27
"9","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",14,34.5,-34.5933333,-58.4016667,2021-03-27
"10","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",15,22.5,-34.5933333,-58.4016667,2021-03-27
"11","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",16,22.5,-34.5933333,-58.4016667,2021-03-27
"12","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",17,25.5,-34.5933333,-58.4016667,2021-03-27
"13","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",18,25.5,-34.5933333,-58.4016667,2021-03-27
"14","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",19,24,-34.5933333,-58.4016667,2021-03-27
"15","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",20,18.75,-34.5933333,-58.4016667,2021-03-27
"16","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",21,12,-34.5933333,-58.4016667,2021-03-27
"17","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",22,4.5,-34.5933333,-58.4016667,2021-03-27
"18","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","lunes",23,0.75,-34.5933333,-58.4016667,2021-03-27
"19","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",6,0,-34.5933333,-58.4016667,2021-03-27
"20","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",7,0.75,-34.5933333,-58.4016667,2021-03-27
"21","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",8,24,-34.5933333,-58.4016667,2021-03-27
"22","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",9,48,-34.5933333,-58.4016667,2021-03-27
"23","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",10,53.25,-34.5933333,-58.4016667,2021-03-27
"24","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",11,45.75,-34.5933333,-58.4016667,2021-03-27
"25","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",12,45.75,-34.5933333,-58.4016667,2021-03-27
"26","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",13,51.75,-34.5933333,-58.4016667,2021-03-27
"27","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",14,49.5,-34.5933333,-58.4016667,2021-03-27
"28","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",15,41.25,-34.5933333,-58.4016667,2021-03-27
"29","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","martes",16,36,-34.5933333,-58.4016667,2021-03-27
