"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Hope, Ciudad de Buenos Aires","jueves",6,0,-34.5965372,-58.4975112,2021-03-30
"2","Hope, Ciudad de Buenos Aires","jueves",7,0,-34.5965372,-58.4975112,2021-03-30
"3","Hope, Ciudad de Buenos Aires","jueves",8,0,-34.5965372,-58.4975112,2021-03-30
"4","Hope, Ciudad de Buenos Aires","jueves",9,0,-34.5965372,-58.4975112,2021-03-30
"5","Hope, Ciudad de Buenos Aires","jueves",10,0,-34.5965372,-58.4975112,2021-03-30
"6","Hope, Ciudad de Buenos Aires","jueves",11,0,-34.5965372,-58.4975112,2021-03-30
"7","Hope, Ciudad de Buenos Aires","jueves",12,0,-34.5965372,-58.4975112,2021-03-30
"8","Hope, Ciudad de Buenos Aires","jueves",13,0,-34.5965372,-58.4975112,2021-03-30
"9","Hope, Ciudad de Buenos Aires","jueves",14,0,-34.5965372,-58.4975112,2021-03-30
"10","Hope, Ciudad de Buenos Aires","jueves",15,0,-34.5965372,-58.4975112,2021-03-30
"11","Hope, Ciudad de Buenos Aires","jueves",16,0,-34.5965372,-58.4975112,2021-03-30
"12","Hope, Ciudad de Buenos Aires","jueves",17,0,-34.5965372,-58.4975112,2021-03-30
"13","Hope, Ciudad de Buenos Aires","jueves",18,0,-34.5965372,-58.4975112,2021-03-30
"14","Hope, Ciudad de Buenos Aires","jueves",19,0,-34.5965372,-58.4975112,2021-03-30
"15","Hope, Ciudad de Buenos Aires","jueves",20,0,-34.5965372,-58.4975112,2021-03-30
"16","Hope, Ciudad de Buenos Aires","jueves",21,6,-34.5965372,-58.4975112,2021-03-30
"17","Hope, Ciudad de Buenos Aires","jueves",22,9,-34.5965372,-58.4975112,2021-03-30
"18","Hope, Ciudad de Buenos Aires","jueves",23,9.75,-34.5965372,-58.4975112,2021-03-30
"19","Hope, Ciudad de Buenos Aires","viernes",0,7.5,-34.5965372,-58.4975112,2021-03-30
"20","Hope, Ciudad de Buenos Aires","viernes",1,4.5,-34.5965372,-58.4975112,2021-03-30
"21","Hope, Ciudad de Buenos Aires","viernes",2,2.25,-34.5965372,-58.4975112,2021-03-30
"22","Hope, Ciudad de Buenos Aires","viernes",3,0.75,-34.5965372,-58.4975112,2021-03-30
