"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Ieri pasta, Ciudad de Buenos Aires","martes",6,0,-34.563072,-58.452739,2021-03-27
"2","Ieri pasta, Ciudad de Buenos Aires","martes",7,0,-34.563072,-58.452739,2021-03-27
"3","Ieri pasta, Ciudad de Buenos Aires","martes",8,0,-34.563072,-58.452739,2021-03-27
"4","Ieri pasta, Ciudad de Buenos Aires","martes",9,0,-34.563072,-58.452739,2021-03-27
"5","Ieri pasta, Ciudad de Buenos Aires","martes",10,18.75,-34.563072,-58.452739,2021-03-27
"6","Ieri pasta, Ciudad de Buenos Aires","martes",11,27.75,-34.563072,-58.452739,2021-03-27
"7","Ieri pasta, Ciudad de Buenos Aires","martes",12,27.75,-34.563072,-58.452739,2021-03-27
"8","Ieri pasta, Ciudad de Buenos Aires","martes",13,18.75,-34.563072,-58.452739,2021-03-27
"9","Ieri pasta, Ciudad de Buenos Aires","martes",14,9,-34.563072,-58.452739,2021-03-27
"10","Ieri pasta, Ciudad de Buenos Aires","martes",15,9,-34.563072,-58.452739,2021-03-27
"11","Ieri pasta, Ciudad de Buenos Aires","martes",16,15,-34.563072,-58.452739,2021-03-27
"12","Ieri pasta, Ciudad de Buenos Aires","martes",17,21.75,-34.563072,-58.452739,2021-03-27
"13","Ieri pasta, Ciudad de Buenos Aires","martes",18,21.75,-34.563072,-58.452739,2021-03-27
"14","Ieri pasta, Ciudad de Buenos Aires","martes",19,15,-34.563072,-58.452739,2021-03-27
"15","Ieri pasta, Ciudad de Buenos Aires","martes",20,0,-34.563072,-58.452739,2021-03-27
"16","Ieri pasta, Ciudad de Buenos Aires","martes",21,0,-34.563072,-58.452739,2021-03-27
"17","Ieri pasta, Ciudad de Buenos Aires","martes",22,0,-34.563072,-58.452739,2021-03-27
"18","Ieri pasta, Ciudad de Buenos Aires","martes",23,0,-34.563072,-58.452739,2021-03-27
"19","Ieri pasta, Ciudad de Buenos Aires","miercoles",6,0,-34.563072,-58.452739,2021-03-27
"20","Ieri pasta, Ciudad de Buenos Aires","miercoles",7,0,-34.563072,-58.452739,2021-03-27
"21","Ieri pasta, Ciudad de Buenos Aires","miercoles",8,0,-34.563072,-58.452739,2021-03-27
"22","Ieri pasta, Ciudad de Buenos Aires","miercoles",9,0,-34.563072,-58.452739,2021-03-27
"23","Ieri pasta, Ciudad de Buenos Aires","miercoles",10,21.75,-34.563072,-58.452739,2021-03-27
"24","Ieri pasta, Ciudad de Buenos Aires","miercoles",11,27.75,-34.563072,-58.452739,2021-03-27
"25","Ieri pasta, Ciudad de Buenos Aires","miercoles",12,24.75,-34.563072,-58.452739,2021-03-27
"26","Ieri pasta, Ciudad de Buenos Aires","miercoles",13,18.75,-34.563072,-58.452739,2021-03-27
