"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Il Volo gelato, Ciudad de Buenos Aires","lunes",6,0,-34.6099171,-58.4881244,2021-03-28
"2","Il Volo gelato, Ciudad de Buenos Aires","lunes",7,0,-34.6099171,-58.4881244,2021-03-28
"3","Il Volo gelato, Ciudad de Buenos Aires","lunes",8,1.5,-34.6099171,-58.4881244,2021-03-28
"4","Il Volo gelato, Ciudad de Buenos Aires","lunes",9,1.5,-34.6099171,-58.4881244,2021-03-28
"5","Il Volo gelato, Ciudad de Buenos Aires","lunes",10,4.5,-34.6099171,-58.4881244,2021-03-28
"6","Il Volo gelato, Ciudad de Buenos Aires","lunes",11,9,-34.6099171,-58.4881244,2021-03-28
"7","Il Volo gelato, Ciudad de Buenos Aires","lunes",12,12,-34.6099171,-58.4881244,2021-03-28
"8","Il Volo gelato, Ciudad de Buenos Aires","lunes",13,9.75,-34.6099171,-58.4881244,2021-03-28
"9","Il Volo gelato, Ciudad de Buenos Aires","lunes",14,6.75,-34.6099171,-58.4881244,2021-03-28
"10","Il Volo gelato, Ciudad de Buenos Aires","lunes",15,8.25,-34.6099171,-58.4881244,2021-03-28
"11","Il Volo gelato, Ciudad de Buenos Aires","lunes",16,12.75,-34.6099171,-58.4881244,2021-03-28
"12","Il Volo gelato, Ciudad de Buenos Aires","lunes",17,18.75,-34.6099171,-58.4881244,2021-03-28
"13","Il Volo gelato, Ciudad de Buenos Aires","lunes",18,23.25,-34.6099171,-58.4881244,2021-03-28
"14","Il Volo gelato, Ciudad de Buenos Aires","lunes",19,23.25,-34.6099171,-58.4881244,2021-03-28
"15","Il Volo gelato, Ciudad de Buenos Aires","lunes",20,19.5,-34.6099171,-58.4881244,2021-03-28
"16","Il Volo gelato, Ciudad de Buenos Aires","lunes",21,13.5,-34.6099171,-58.4881244,2021-03-28
"17","Il Volo gelato, Ciudad de Buenos Aires","lunes",22,7.5,-34.6099171,-58.4881244,2021-03-28
"18","Il Volo gelato, Ciudad de Buenos Aires","lunes",23,3.75,-34.6099171,-58.4881244,2021-03-28
"19","Il Volo gelato, Ciudad de Buenos Aires","martes",6,0,-34.6099171,-58.4881244,2021-03-28
"20","Il Volo gelato, Ciudad de Buenos Aires","martes",7,0,-34.6099171,-58.4881244,2021-03-28
