"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","JAAM, Ciudad de Buenos Aires","jueves",6,0,-34.6187275,-58.3728911,2021-03-26
"2","JAAM, Ciudad de Buenos Aires","jueves",7,0,-34.6187275,-58.3728911,2021-03-26
"3","JAAM, Ciudad de Buenos Aires","jueves",8,0,-34.6187275,-58.3728911,2021-03-26
"4","JAAM, Ciudad de Buenos Aires","jueves",9,0,-34.6187275,-58.3728911,2021-03-26
"5","JAAM, Ciudad de Buenos Aires","jueves",10,0,-34.6187275,-58.3728911,2021-03-26
"6","JAAM, Ciudad de Buenos Aires","jueves",11,0,-34.6187275,-58.3728911,2021-03-26
"7","JAAM, Ciudad de Buenos Aires","jueves",12,0,-34.6187275,-58.3728911,2021-03-26
"8","JAAM, Ciudad de Buenos Aires","jueves",13,0,-34.6187275,-58.3728911,2021-03-26
"9","JAAM, Ciudad de Buenos Aires","jueves",14,0,-34.6187275,-58.3728911,2021-03-26
"10","JAAM, Ciudad de Buenos Aires","jueves",15,0,-34.6187275,-58.3728911,2021-03-26
"11","JAAM, Ciudad de Buenos Aires","jueves",16,0,-34.6187275,-58.3728911,2021-03-26
"12","JAAM, Ciudad de Buenos Aires","jueves",17,0,-34.6187275,-58.3728911,2021-03-26
"13","JAAM, Ciudad de Buenos Aires","jueves",18,0,-34.6187275,-58.3728911,2021-03-26
"14","JAAM, Ciudad de Buenos Aires","jueves",19,0,-34.6187275,-58.3728911,2021-03-26
"15","JAAM, Ciudad de Buenos Aires","jueves",20,37.5,-34.6187275,-58.3728911,2021-03-26
"16","JAAM, Ciudad de Buenos Aires","jueves",21,56.25,-34.6187275,-58.3728911,2021-03-26
"17","JAAM, Ciudad de Buenos Aires","jueves",22,60,-34.6187275,-58.3728911,2021-03-26
"18","JAAM, Ciudad de Buenos Aires","jueves",23,0,-34.6187275,-58.3728911,2021-03-26
"19","JAAM, Ciudad de Buenos Aires","viernes",6,0,-34.6187275,-58.3728911,2021-03-26
"20","JAAM, Ciudad de Buenos Aires","viernes",7,0,-34.6187275,-58.3728911,2021-03-26
"21","JAAM, Ciudad de Buenos Aires","viernes",8,0,-34.6187275,-58.3728911,2021-03-26
